person_id,election_cycle,display_candidate,chamber,district,best_cmo,public_education,school_choice,healthcare_medicaid,labor_unions,guns,abortion,taxes_budget,business_economic_development,ethics_government,lgbtq_cultural,gambling,infrastructure_energy,health_social_services,criminal_justice,environment,immigration,rural_hunting,public_employee_benefits,assisted_dying,healthcare_conscience,public_private_partnerships,occupational_licensing,anti_esg_governance,racial_civil_rights,minimum_wage_worker_pay
ALPERSON-ALAN-HARPER,2010,Alan Harper,house,61,24.05857612987002,L: Supports,L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Voted Yea; E: Sponsored,L: nan; L: Voted Yea; E: Sponsored,L: Voted Yea; L: Sponsored,?,L: Supports voter referendum; L: Voted Yea,?,L: Voted Yea; E: Sponsored,L: Voted Yea; E: Sponsored,L: Voted Yea; E: Sponsored,L: Voted Yea,?,E: Sponsored,L: Voted Yea,L: Voted Yea,L: Voted Yea; E: Sponsored,E: Sponsored,?,?,?
ALPERSON-BARBARA-BIGSBY-BOYD,2010,Barbara Bigsby Boyd,house,32,40.16708706446988,B: Supports; L: Voted Nay; E: Sponsored; L: Sponsored; L: Offered policy amendment,L: Voted Nay,L: Voted Nay; E: Sponsored,L: Voted Nay; L: Offered policy amendment,L: Voted Nay,L: Voted Nay,L: Voted Nay; E: Sponsored,L: Voted Nay; L: Voted Yea; L: Sponsored,L: Voted Yea; L: Sponsored,?,L: Voted Nay; L: Sponsored,?,L: Voted Nay; E: Sponsored,L: Voted Nay; L: Voted Yea; E: Sponsored; L: Offered policy amendment,L: Voted Nay; E: Sponsored,L: Voted Nay,L: Opposes hunter user fee increase,E: Sponsored,?,?,?,L: Voted Nay,L: Voted Nay,L: Offered policy amendment,?
ALPERSON-BILLY-BEASLEY,2010,Billy Beasley,senate,28,17.174310704986432,?,L: Voted Nay,L: Supports expansion,L: Voted Nay,L: Voted Nay; E: Sponsored,L: Voted Nay,L: Voted Nay; E: Sponsored,E: Sponsored,L: Voted Yea,L: Voted Nay,L: Voted Nay; L: Voted Yea; L: Offered policy amendment,?,L: Voted Nay; L: Voted Yea; L: Offered policy amendment,E: Sponsored,?,L: Opposes restrictive law; L: Voted Nay,L: Offered policy amendment,L: Voted Nay; E: Sponsored,?,?,E: Sponsored,E: Sponsored,?,E: Individual-character standard,?
ALPERSON-DRAMA-BRELAND,2010,Drama Breland,house,8,22.719643209401934,E: Supports,?,?,?,?,?,?,E: Jobs and wages,?,?,?,?,E: Supports,?,?,?,?,?,?,?,?,?,?,?,?
ALPERSON-GREG-VARNER,2010,Greg Varner,senate,13,15.46300589679028,?,?,?,?,?,?,E: Mixed/qualified,E: Business-friendly,?,?,?,?,?,?,?,L: Opposes restrictive law,?,?,?,?,?,?,?,?,?
ALPERSON-JAMES-C-FIELDS-JR,2010,James C. Fields Jr.,house,12,15.60316659430908,E: Supports; E: Sponsored,?,E: Sponsored,?,?,?,E: Mixed/qualified; L: nan; E: Sponsored,L: nan; E: Sponsored,?,?,?,L: Supports public investment,E: Sponsored,E: Sponsored,?,E: Sponsored,?,E: Sponsored,?,?,E: Sponsored,E: Sponsored,?,?,?
ALPERSON-JERRY-L-FIELDING,2010,Jerry Fielding,senate,11,18.21601389364433,?,L: Voted Yea,L: Opposes Affordable Care Act,L: Voted Nay; L: Sponsored,L: Gun-rights,L: Anti-abortion,L: Voted Nay,L: Industrial jobs,L: Voted Yea,L: Conservative,L: Voted Yea,L: Supports public investment,L: Voted Yea,?,?,L: Voted Nay,?,L: Voted Nay,?,?,?,?,?,?,?
ALPERSON-MARC-KEAHEY,2010,Marc Keahey,senate,22,27.95594433082924,?,L: Voted Nay,L: nan,E: Aligned; L: Voted Nay,E: Gun-rights; E: Sponsored,?,L: nan; L: Voted Nay,E: Sponsored; L: Sponsored,L: nan; L: Voted Yea; E: Sponsored,?,E: Supports voter referendum; E: Sponsored,E: Sponsored,E: Sponsored,E: Sponsored,?,L: Voted Yea,E: Sponsored,L: Voted Nay; E: Sponsored,?,E: Sponsored,E: Sponsored,?,?,?,?
ALPERSON-NAPOLEON-BRACY-JR,2010,Napoleon Bracy Jr.,house,98,20.69524874961392,L: Supports; L: Voted Nay; L: Offered policy amendment,L: Voted Nay,L: Supports expansion; L: Voted Nay,L: Voted Nay,L: Voted Yea; L: Voted Nay,L: Voted Nay; L: Voted Yea,L: Voted Nay,L: Workforce development; L: Voted Nay,L: Voted Nay; L: Voted Yea; L: Offered policy amendment,?,L: Voted Nay,L: Offered policy amendment,L: Voted Nay,L: Voted Nay; L: Offered policy amendment,L: Voted Nay; L: Offered policy amendment,L: Voted Nay,L: Opposes hunter user fee increase,L: Offered policy amendment,L: Voted Nay,L: Voted Nay; L: Offered policy amendment,L: Voted Nay,L: Voted Nay,L: Voted Nay,?,?
ALPERSON-NATHANIEL-LEDBETTER,2010,Nathaniel Ledbetter,house,24,22.120996946160894,L: Voted Yea; L: Offered policy amendment,L: Voted Yea,L: Voted Yea; L: Offered policy amendment,L: Voted Yea,L: Voted Yea,L: Anti-abortion; L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Conservative; L: Voted Yea,?,L: Offered policy amendment,L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Voted Yea,L: Supports hunter user fee,?,L: Voted Yea,L: Voted Yea; L: Offered policy amendment,L: Voted Yea,L: Voted Yea,L: Voted Yea,?,?
ALPERSON-RANDALL-WHITE,2010,Randall White,house,26,21.631200749515003,?,?,?,?,?,?,?,E: nan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
