cycle,cmo_democratic_candidate_cycles,exact_cycle_pct_profiles,mean_dimensions_scored,coverage_share
1994,72,0,,0.0
1998,85,26,8.692307692307692,0.3058823529411765
2002,74,9,8.444444444444445,0.12162162162162163
2006,62,15,8.666666666666666,0.24193548387096775
2010,63,8,8.0,0.12698412698412698
2014,58,2,8.5,0.034482758620689655
2018,64,18,7.555555555555555,0.28125
2022,33,0,,0.0
