ideology_tercile,candidate_cycles,people,mean_cmo,median_cmo,mean_federal,median_federal,mean_presidential,median_presidential
liberal,70,60,9.83070022747823,6.804004512998588,26.880121362864895,28.086373039005302,31.447300774745617,28.75703508998422
middle,69,57,22.63734751420286,23.533733639573743,34.30684014599491,32.41283113765735,36.6735247493177,33.31381958886491
conservative,70,62,26.90083805617605,26.404731116109325,43.568634696999204,40.803374625099316,42.13349432651333,40.181172722571816
