outcome,republican_incumbency_coefficient,democratic_ideology_after_common_incumbency,cluster_se,p_value,democratic_n,republican_n
candidate_cmo,4.519062574721992,13.07612353586852,2.889588476242718,1.5333137410878995e-05,209,198
candidate_statewide_overperformance,5.594215760610185,13.079997438624096,2.9308260248684523,1.963607181165475e-05,209,198
candidate_federal_overperformance,10.690856241560162,18.927904144040582,5.354621057581956,0.0006061548137514205,187,173
candidate_presidential_overperformance,9.115649406260648,10.981217531543189,3.9793540824777365,0.006830887747301822,199,190
