candidate_issues,session_year,chamber,bill_number,bill_id,roll_call_id,vote_date,vote_description,title,legiscan_subjects,primary_sponsor,sponsor_party,sponsor_district,yea,nay,dem_yea_share,rep_yea_share,party_gap,focal_candidates_voting,focal_candidate_votes,bill_url,bill_state_link,anchor_priority_score,reviewed_issue,substantive_final_passage,yea_policy_direction,ideological_valence,summary_sufficient_for_coding,human_confidence,human_review_note
abortion,2016,house,SB363,864917,542204,2016-05-04,Motion to Read a Third Time and Pass,"Abortion, Alabama Unborn Child Protection from Dismemberment Abortion Act, prohibits and punishes person performing unless necessary to prevent serious health risk to mother",Abortion,Phillip Williams,R,SD-010,74,26,0.0714285714285714,1.0,0.9285714285714286,7,Barbara Bigsby Boyd: Nay | Alan Harper: Yea | Johnny Mack Morrow: Nay | Craig Ford: Yea | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay,https://legiscan.com/AL/bill/SB363/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB363,12.085714285714287,,,,,,,
abortion,2017,house,HB98,947271,619077,2017-03-16,Motion to Read a Third Time and Pass,"Children, Alabama's commitment to the right to life of unborn children, affirmed, const amend.",Constitutional Amendments,Matt Fridy,R,HD-073,67,14,0.0,1.0,1.0,5,Alan Harper: Yea | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay | Anthony Daniels: Nay,https://legiscan.com/AL/bill/HB98/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB98&WIN_TYPE=SELECTED_STATUS,12.0,,,,,,,
abortion,2016,house,HB45,834755,500169,2016-02-17,Motion to Read a Third Time and Pass,"Unborn infants, bodily remains disposition regulated, sale or unlawful disposition of bodily remains of unborn infant prohibited, use of unborn infant for certain research or transplantation, prohibited, criminal penalties, Unborn Infants Dignity of Life Act",Infants,April Weaver,R,HD-049,76,24,0.1428571428571428,1.0,0.8571428571428572,7,Barbara Bigsby Boyd: Nay | Alan Harper: Yea | Richard Lindsey: Yea | Craig Ford: Yea | Napoleon Bracy Jr.: Yea | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay,https://legiscan.com/AL/bill/HB45/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB45,11.371428571428574,,,,,,,
abortion,2016,house,HB183,845468,513197,2016-03-03,Motion to Read a Third Time and Pass,"Sonogram, specific information regarding unborn child, required notice, penalty for violation, Ultrasound Access Act",Abortion,Kerry Rich,R,HD-026,57,42,0.0,0.8142857142857143,0.8142857142857143,8,Barbara Bigsby Boyd: Nay | Alan Harper: Yea | Richard Lindsey: Nay | Johnny Mack Morrow: Nay | Craig Ford: Nay | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay,https://legiscan.com/AL/bill/HB183/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB183,11.342857142857142,,,,,,,
abortion,2019,senate,HB314,1248096,863723,2019-05-14,Motion to Read a Third Time and Pass,"Abortion, prohibited under certain conditions, Class A felony; attempted abortion a Class C felony, exceptions",Abortion,Terri Collins,R,HD-008,25,6,0.0,1.0,1.0,3,"Billy Beasley: Nay | Vivian Davis Figures: Nay | David ""Coach"" Burkette: Nay",https://legiscan.com/AL/bill/HB314/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB314&WIN_TYPE=SELECTED_STATUS,11.2,,,,,,,
criminal_justice,2012,senate,SB396,414839,182375,2012-04-05,Motion to Read a Third Time and Pass,"Appropriations, supplemental appropriations for fiscal year ending September 30, 2012, from various funds to various state agencies, departments, boards, etc., certain appropriations to Corrections Department reduced, certain unexpended line-item appropriations deleted",Appropriations--General Appropriations Act,Arthur Orr,R,SD-003,21,13,0.0,1.0,1.0,5,Tammy Irons: Nay | Billy Beasley: Nay | Marc Keahey: Nay | Vivian Davis Figures: Nay | Jerry Fielding: Nay,https://legiscan.com/AL/bill/SB396/2012,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB396,12.0,,,,,,,
criminal_justice,2019,house,HB380,1250323,862047,2019-05-09,Motion to Read a Third Time and Pass,"Pardons and Paroles Board, Governor, appointment of bd. members, nominations, appointment of Director of Pardons and Paroles, responsibilities, criteria for board to determine consideration for parole, procedures for deviations, AG to reveiw, Secs. 15-22-20, 15-22-21, 15-22-26, 15-22-28, 15-22-36, 15-22-37 am'd.",Corrections Department,Connie Rowe,R,HD-013,73,27,0.0,1.0,1.0,5,Barbara Bigsby Boyd: Nay | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay | Anthony Daniels: Nay,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS,12.0,,,,,,,
criminal_justice,2015,house,SB41,788531,473455,2015-08-11,Motion to Read a Third Time and Pass,"Corrections Department, appropriation in 2014-2015 General Fund budget, earmarking for Wetumpka Women's Facility deleted, Act 2014-284, 2014 Reg. Sess., am'd.",Appropriations,Arthur Orr,R,SD-003,59,21,0.0869565217391304,1.0,0.9130434782608696,7,Barbara Bigsby Boyd: Nay | Alan Harper: Yea | Richard Lindsey: Yea | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay | Anthony Daniels: Nay,https://legiscan.com/AL/bill/SB41/2015/X1,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB41,11.930434782608696,,,,,,,
criminal_justice,2015,house,HB18,728940,409509,2015-03-11,Motion to Read a Third Time and Pass,"Death penalty, execution by electrocution required under certain conditions, Sec. 15-18-82.1 am'd.",Crimes and Offenses,Lynn Greer,R,HD-002,76,26,0.1333333333333333,1.0,0.8666666666666667,8,Barbara Bigsby Boyd: Nay | Alan Harper: Yea | Richard Lindsey: Yea | Craig Ford: Yea | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay | Anthony Daniels: Nay,https://legiscan.com/AL/bill/HB18/2015,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB18,11.866666666666667,,,,,,,
criminal_justice,2023,house,SB198,1754857,1335966,2023-05-31,Read a Third Time and Pass,"Relating to sentencing; to amend Sections 12-25-34.2, 13A-4-1, 13A-4-2, 13A-4-3, 13A-5-6, 15-18-8, and 15-22-54, Code of Alabama 1975, to add additional offenses that would be subject to the presumptive sentencing guidelines; to modify the criminal penalties for criminal solicitation, attempt, and criminal conspiracy; to give a judge discretion when sentencing a person convicted of a Class C or Class D felony offense; to make nonsubstantive, technical revisions to update the existing code language to current style; and in connection therewith would have as its purpose or effect the requirement of a new or increased expenditure of local funds within the meaning of Section 111.05 of the Constitution of Alabama of 2022.",,Arthur Orr,R,SD-003,74,27,0.037037037037037,0.9864864864864864,0.9494494494494494,5,Barbara Bigsby Boyd: Nay | Napoleon Bracy Jr.: Nay | Nathaniel Ledbetter: Yea | Barbara A. Drummond: Nay | Anthony Daniels: Nay,https://legiscan.com/AL/bill/SB198/2023,https://alison.legislature.state.al.us/bill-search,11.494494494494495,,,,,,,
