cycle,chamber,district,party,votes,candidate,canonical_source,person_id,canonical_candidate_id,incumbent,winner,candidate_code,expected_cmo_total_oof,cmo_total_oof,expected_cmo_total_cycle_holdout,cmo_total_cycle_holdout,expected_cmo_total_district_grouped,cmo_total_district_grouped,expected_cmo_total_final,cmo_total_final,cmo_total_stability_low,cmo_total_stability_high,expected_cmo_resource_adjusted_oof,cmo_resource_adjusted_oof,expected_cmo_resource_adjusted_cycle_holdout,cmo_resource_adjusted_cycle_holdout,expected_cmo_resource_adjusted_district_grouped,cmo_resource_adjusted_district_grouped,expected_cmo_resource_adjusted_final,cmo_resource_adjusted_final,cmo_resource_adjusted_stability_low,cmo_resource_adjusted_stability_high,expected_cmo_fundraising_adjusted_oof,cmo_fundraising_adjusted_oof,expected_cmo_fundraising_adjusted_cycle_holdout,cmo_fundraising_adjusted_cycle_holdout,expected_cmo_fundraising_adjusted_district_grouped,cmo_fundraising_adjusted_district_grouped,expected_cmo_fundraising_adjusted_final,cmo_fundraising_adjusted_final,cmo_fundraising_adjusted_stability_low,cmo_fundraising_adjusted_stability_high,raw_overperformance_x,candidate_cmo_total_oof,candidate_cmo_total_cycle_holdout,candidate_cmo_total_district_grouped,candidate_cmo_total_final,candidate_cmo_resource_adjusted_oof,candidate_cmo_resource_adjusted_cycle_holdout,candidate_cmo_resource_adjusted_district_grouped,candidate_cmo_resource_adjusted_final,candidate_cmo_fundraising_adjusted_oof,candidate_cmo_fundraising_adjusted_cycle_holdout,candidate_cmo_fundraising_adjusted_district_grouped,candidate_cmo_fundraising_adjusted_final,candidate_cmo_total_stability_low,candidate_cmo_total_stability_high,candidate_cmo_resource_adjusted_stability_low,candidate_cmo_resource_adjusted_stability_high,candidate_cmo_fundraising_adjusted_stability_low,candidate_cmo_fundraising_adjusted_stability_high,candidate_cmo_specification_range,candidate_cmo_sign_consistent,candidate_war_oof,candidate_war_final,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,dem_incumbent,rep_incumbent,core_index_margin,core_index_offices,core_index_complete,statewide_index_margin,raw_overperformance_y,nonwhite_share,white_college_share,log_spending_ratio_d_to_r,finance_complete,log_fundraising_ratio_d_to_r,ftm_finance_complete,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,cmo_geography_low,cmo_geography_high,cmo_geography_mean,cmo_geography_range,robust_cmo_median,cmo_method_range,robust_positive,district_context,abortion_position,economic_ideology,guns_position,labor_position,social_ideology,available_issue_dimensions,issue_ideology_mean
2010,house,32,D,7238.0,BARBARA BIGSBY BOYD,alabama_sos,ALPERSON-BARBARA-BIGSBY-BOYD,AL-2010-house-32-D-BARBARA-BIGSBY-BOYD,1,1,AL-2010-house-32-D-BARBARA-BIGSBY-BOYD,18.47502252676498,40.16708706446988,-25.125356342135493,83.76746593337036,18.503639789490936,40.13846980174392,19.626504419978616,39.01560517125625,-6.406407336869727,86.7405814658095,18.23806209176149,40.40404749947337,-21.98543429700908,80.62754388824393,18.275468966599803,40.36664062463506,19.42177461503775,39.22033497619711,-2.8217207359130896,83.62981573485983,15.694984255571494,42.94712533566337,-29.676938310247017,88.31904790148188,14.187968552491604,44.45414103874326,17.059021238887905,41.58308835234696,-4.684440407345527,90.57869107867228,58.64210959123486,40.16708706446988,83.76746593337036,40.13846980174392,39.01560517125625,40.40404749947337,80.62754388824393,40.36664062463506,39.22033497619711,42.94712533566337,88.31904790148188,44.45414103874326,41.58308835234696,-6.406407336869727,86.7405814658095,-2.8217207359130896,83.62981573485983,-4.684440407345527,90.57869107867228,2.78003827119349,True,40.16708706446988,39.01560517125625,7238.0,2903.0,10141.0,42.74726358347303,True,True,False,-15.894846007761831,2,True,-15.894846007761831,58.64210959123486,,,,False,,False,,,,,,,,,,,,,,,,,,,,,40.08682645571773,40.16708706446988,40.103629993131925,0.0802606087521553,40.16708706446988,43.62899613162644,True,mixed_or_demographics_missing,,,,,,,
2018,house,32,D,7761.0,Barbara Bigsby Boyd,alabama_sos,ALPERSON-BARBARA-BIGSBY-BOYD,AL-2018-house-32-D-BARBARA-BIGSBY-BOYD,1,1,AL-2018-house-32-D-BARBARA-BIGSBY-BOYD,34.76161872982672,18.54155804427397,44.53918293620143,8.763993837899264,35.137619858201035,18.165556915899657,37.44141095561008,15.86176581849061,-28.03193635706564,65.11505244561357,38.53525884097753,14.767917933123163,48.780553471128336,4.522623302972356,37.96997048659641,15.333206287504282,41.04870724895031,12.254469525150384,-28.457850302263296,57.993686168509626,52.04582661599181,1.2573501581088848,69.4473882241071,-16.14421145000641,52.04569255565227,1.2574842184484183,53.21929668207141,0.0838800920292826,-46.374215584900014,48.88891590111778,53.30317677410069,18.54155804427397,8.763993837899264,18.165556915899657,15.86176581849061,14.767917933123163,4.522623302972356,15.333206287504282,12.254469525150384,1.2573501581088848,-16.14421145000641,1.2574842184484183,0.0838800920292826,-28.03193635706564,65.11505244561357,-28.457850302263296,57.993686168509626,-46.374215584900014,48.88891590111778,17.284207886165085,True,18.54155804427397,15.86176581849061,7761.0,4513.0,12274.0,26.46244093205149,True,True,False,-26.8407358420492,2,True,-26.8407358420492,53.30317677410069,0.5983051247550929,0.1565456209948123,4.727481265673471,True,5.116747527143756,True,5694.3602263263065,9575.531649996828,15269.891876323134,-25.417150658993894,0.1208131592955814,True,4889.795935412292,10373.033474115304,15262.829409527596,-35.92543290354921,0.0643813587477324,True,-10.508282244555314,,,,,,,,18.54155804427396,21.96913578192558,21.2733085265916,3.427577737651617,18.165556915899657,9.777564206374706,True,majority_nonwhite,,,,,,,
2022,house,32,D,5522.0,Barbara Bigsby Boyd,alabama_sos,ALPERSON-BARBARA-BIGSBY-BOYD,AL-2022-house-32-D-BARBARA-BIGSBY-BOYD,1,1,AL-2022-house-32-D-BARBARA-BIGSBY-BOYD,41.53261990644021,14.758347766172662,49.0326007152276,7.258366957385277,41.14574964796778,15.14521802464509,43.109353782021984,13.181613890590889,-31.815146635166947,61.33184216751227,42.13890408741914,14.15206358519373,47.32263554384073,8.96833212877214,41.09824761191268,15.19272006070019,43.25974247408181,13.031225198531068,-29.07370465019273,57.37783182058019,38.32301381086906,17.96795386174381,44.54875428211725,11.742213390495628,35.56292340645661,20.72804426615626,40.461169465002094,15.82979820761078,-29.66361188126509,65.59951960475271,56.29096767261287,14.758347766172662,7.258366957385277,15.14521802464509,13.181613890590889,14.15206358519373,8.96833212877214,15.19272006070019,13.031225198531068,17.96795386174381,11.742213390495628,20.72804426615626,15.82979820761078,-31.815146635166947,61.33184216751227,-29.07370465019273,57.37783182058019,-29.66361188126509,65.59951960475271,3.8158902765500784,True,14.758347766172662,13.181613890590889,5522.0,4390.0,9912.0,11.420500403551252,True,True,False,-44.87046726906162,2,True,-44.87046726906162,56.29096767261287,0.6237994089397858,0.1418976298926889,0.6053409587648401,True,,False,,,,,,,4764.92607540269,9991.35063023822,14756.27670564091,-35.41831492518444,0.256516049505855,True,,5604.724028908456,11424.736380030974,17029.46040893943,-34.17614070770772,0.1254782793455069,True,1.2421742174767232,14.758347766172667,19.173338699323743,18.280961380857093,4.414990933151074,14.758347766172662,7.886851067259812,True,majority_nonwhite,,,,,,,
2010,house,84,D,7763.0,BERRY FORTE,alabama_sos,ALPERSON-BERRY-FORTE,AL-2010-house-84-D-BERRY-FORTE,0,1,AL-2010-house-84-D-BERRY-FORTE,3.7839815313339873,-2.2196090272874134,-42.158708504303945,43.72308100835052,2.921884746647139,-1.3575122426005652,3.2727461077111126,-1.7083736036645387,-48.79310342862702,44.3538853740522,4.152859630932962,-2.5884871268863883,-38.2133828181611,39.77775532220768,3.007457592490411,-1.443085088443837,3.4974212140130048,-1.9330487099664309,-45.814255362272846,40.63728110850008,14.038989486291191,-12.47461698224462,-30.83135260016901,32.395725104215586,13.926946181682096,-12.362573677635522,12.774938452948565,-11.21056594890199,-60.10618272525352,35.15694876076428,1.564372504046574,-2.2196090272874134,43.72308100835052,-1.3575122426005652,-1.7083736036645387,-2.5884871268863883,39.77775532220768,-1.443085088443837,-1.9330487099664309,-12.47461698224462,32.395725104215586,-12.362573677635522,-11.21056594890199,-48.79310342862702,44.3538853740522,-45.814255362272846,40.63728110850008,-60.10618272525352,35.15694876076428,10.255007954957206,True,-2.2196090272874134,-1.7083736036645387,7763.0,4152.0,11915.0,30.30633655056652,True,False,False,28.74196404651994,2,True,28.74196404651994,1.564372504046574,,,,False,2.2279563890154,True,,,,,,,,,,,,,,,,,,,,,-2.219609027287412,-1.826924958693116,-1.9176143728042987,0.3926840685942956,-1.3575122426005652,45.94269003563793,False,mixed_or_demographics_missing,,,,,,,
2014,house,84,D,7365.0,Berry Forte,alabama_sos,ALPERSON-BERRY-FORTE,AL-2014-house-84-D-BERRY-FORTE,1,1,AL-2014-house-84-D-BERRY-FORTE,29.87249218404889,-28.680215970036947,8.291348601562087,-7.099072387550139,33.5945689324653,-32.40229271845335,30.14329912124928,-28.95102290723733,-75.25371037137656,17.89327843130266,30.992561336665755,-29.800285122653808,7.996585249683751,-6.804309035671803,34.22625245412937,-33.033976240117426,30.66882055582909,-29.476544341817142,-73.02605335804027,13.425483112732651,32.54087596564675,-31.3485997516348,14.143668182442523,-12.951391968430578,36.07246335279292,-34.88018713878097,32.37261804930723,-31.18034183529528,-78.9801654946437,16.2829659913741,1.1922762140119474,-28.680215970036947,-7.099072387550139,-32.40229271845335,-28.95102290723733,-29.800285122653808,-6.804309035671803,-33.033976240117426,-29.476544341817142,-31.3485997516348,-12.951391968430578,-34.88018713878097,-31.18034183529528,-75.25371037137656,17.89327843130266,-73.02605335804027,13.425483112732651,-78.9801654946437,16.2829659913741,2.668383781597853,True,-28.680215970036947,-28.95102290723733,7365.0,4316.0,11681.0,26.10221727591816,True,True,False,24.90994106190621,2,True,24.90994106190621,1.1922762140119474,0.5956053425247738,0.1970777158184513,1.464760280691971,True,1.406228304028469,True,7000.265284152076,6408.437588531928,13408.702872684004,4.413757999111234,0.1823767127478875,False,,,,,,,,,,,,,,,-28.68021597003694,-26.90823766426284,-27.264951225039045,1.771978305774102,-28.680215970036947,25.303220330903216,False,majority_nonwhite,,,,,,,
2010,senate,28,D,28581.0,BILLY BEASLEY,alabama_sos,ALPERSON-BILLY-BEASLEY,AL-2010-senate-28-D-BILLY-BEASLEY,0,1,AL-2010-senate-28-D-BILLY-BEASLEY,1.7465435324696568,17.174310704986432,-43.861902454242426,62.78275669169851,0.8309911884965877,18.0898630489595,2.257959053631902,16.662895183824183,-29.399183696353177,63.74780510632604,1.8625308464617605,17.058323390994328,-39.96846998529629,58.88932422275238,0.9822956968307208,17.938558540625365,2.429691775261483,16.491162462194605,-26.167444844392133,60.28409162638079,3.4487685633153844,15.472085674140702,-42.71094360312718,61.63179784058326,0.7277234781473765,18.193130759308712,3.869290573028434,15.051563664427654,-32.1594800688682,63.1036514171496,18.920854237456087,17.174310704986432,62.78275669169851,18.0898630489595,16.662895183824183,17.058323390994328,58.88932422275238,17.938558540625365,16.491162462194605,15.472085674140702,61.63179784058326,18.193130759308712,15.051563664427654,-29.399183696353177,63.74780510632604,-26.167444844392133,60.28409162638079,-32.1594800688682,63.1036514171496,1.7022250308457298,True,17.174310704986432,16.662895183824183,28581.0,12028.0,40609.0,40.76190007141274,True,False,False,21.84104583395665,2,True,21.84104583395665,18.920854237456087,,,,False,,False,,,,,,,,,,,,,,,,,,,,,17.074801881518546,17.174310704986432,17.0984593406927,0.099508823467886,18.0898630489595,45.60844598671208,True,mixed_or_demographics_missing,,,,,,,
2014,senate,28,D,17144.0,Billy Beasley,alabama_sos,ALPERSON-BILLY-BEASLEY,AL-2014-senate-28-D-BILLY-BEASLEY,1,1,AL-2014-senate-28-D-BILLY-BEASLEY,32.09541491494888,-10.508058145304744,11.67818482440557,9.909171945238562,28.643829627467287,-7.056472857823156,31.525565193475693,-9.93820842383156,-57.08155254664435,36.065436256034864,27.447050694858643,-5.859693925214511,9.582823753524153,12.00453301611998,25.132222188950188,-3.5448654193060563,27.68749053007184,-6.100133760427703,-49.08546216060097,37.36607431017195,28.159534177121927,-6.572177407477795,12.888731602480853,8.698625167163279,23.45139500320893,-1.8640382335647985,28.61463544085449,-7.027278671210361,-54.20374315048669,41.059388335531104,21.58735676964413,-10.508058145304744,9.909171945238562,-7.056472857823156,-9.93820842383156,-5.859693925214511,12.00453301611998,-3.5448654193060563,-6.100133760427703,-6.572177407477795,8.698625167163279,-1.8640382335647985,-7.027278671210361,-57.08155254664435,36.065436256034864,-49.08546216060097,37.36607431017195,-54.20374315048669,41.059388335531104,4.648364220090233,True,-10.508058145304744,-9.93820842383156,17144.0,7416.0,24560.0,39.60912052117264,True,True,False,18.021763751528507,2,True,18.021763751528507,21.58735676964413,0.6522925302427882,0.1818819633485813,-3.170725376037272,True,,False,27152.803612849813,23459.534677378844,50612.338290228654,7.297171125136499,0.1714552609888556,False,,,,,,,,,,,,,,,-10.50805814530474,-6.756487214242821,-7.518970921454146,3.75157093106192,-7.056472857823156,20.417230090543303,False,majority_nonwhite,,,,,,,
2014,senate,13,D,9623.0,Darrell Turner,alabama_sos,ALPERSON-DARRELL-TURNER,AL-2014-senate-13-D-DARRELL-TURNER,0,0,AL-2014-senate-13-D-DARRELL-TURNER,-1.6536033094356846,4.4413062137511226,-25.293230612641374,28.08093351695681,-1.5223646055319249,4.310067509847363,-1.859105975132934,4.646808879448372,-42.13218818758848,51.014800615090735,-8.666796003732133,11.45449890804757,-28.13663429841449,30.924337202729927,-8.96986572147958,11.757568625795018,-7.805540057696073,10.593242962011512,-31.77126932733889,54.68026714343403,-1.2118993041099069,3.999602208425345,-20.105968696193287,22.893671600508725,-1.4502314456348646,4.237934349950303,-1.5749384159655273,4.362641320280965,-43.63196353458356,51.63116795143424,2.787702904315438,4.4413062137511226,28.08093351695681,4.310067509847363,4.646808879448372,11.45449890804757,30.924337202729927,11.757568625795018,10.593242962011512,3.999602208425345,22.893671600508725,4.237934349950303,4.362641320280965,-42.13218818758848,51.014800615090735,-31.77126932733889,54.68026714343403,-43.63196353458356,51.63116795143424,7.454896699622226,True,4.4413062137511226,4.646808879448372,9623.0,15159.0,24782.0,-22.33879428617545,True,False,True,-25.126497190490888,2,True,-25.126497190490888,2.787702904315438,0.255507053654024,0.1619790797307071,-7.332156639191853,True,-1.413976965023851,True,19388.49125878499,35894.14664876954,55282.63790755453,-29.85685201488732,0.2352178365241648,True,,,,,,,,,,,,,,,4.328468595102484,4.4413062137511226,4.357226962783295,0.1128376186486388,4.4413062137511226,23.770866007109447,True,mixed_or_demographics_missing,,-1.0,,-2.0,,2.0,-1.5
2018,senate,13,D,12839.0,Darrell Turner,alabama_sos,ALPERSON-DARRELL-TURNER,AL-2018-senate-13-D-DARRELL-TURNER,0,0,AL-2018-senate-13-D-DARRELL-TURNER,1.3221882383017904,-6.295617079204739,6.774204796112358,-11.747633637015308,0.6418281184910679,-5.615256959394016,0.6409430280771655,-5.614371868980114,-52.86911148054435,40.27787732213487,2.303860396911518,-7.277289237814466,5.84720698583052,-10.820635826733469,1.1162076254891788,-6.089636466392127,1.743463107400796,-6.716891948303744,-50.503057473200926,35.948478997572,-5.542951763918365,0.5695229230154171,5.2887215708601385,-10.262150411763088,-6.044271252974892,1.0708424120719435,-5.609024687714619,0.6355958468116709,-47.06204281999348,48.20108866602432,-4.973428840902948,-6.295617079204739,-11.747633637015308,-5.615256959394016,-5.614371868980114,-7.277289237814466,-10.820635826733469,-6.089636466392127,-6.716891948303744,0.5695229230154171,-10.262150411763088,1.0708424120719435,0.6355958468116709,-52.86911148054435,40.27787732213487,-50.503057473200926,35.948478997572,-47.06204281999348,48.20108866602432,7.8468121608298835,True,-6.295617079204739,-5.614371868980114,12839.0,31614.0,44453.0,-42.23561964321868,True,False,False,-37.262190802315736,2,True,-37.262190802315736,-4.973428840902948,0.2698368213442446,0.1820947651336344,,False,-2.4930792952061043,True,20371.98826180693,39821.15911662127,60193.1473784282,-32.31127080386638,0.4376549633781496,True,16783.233568240474,41259.4960780584,58042.72964629888,-42.169385656001225,0.2062902349287772,True,-9.858114852134849,,,,,,,,-6.538469886052011,-6.295617079204738,-6.484951105471889,0.2428528068472735,-6.295617079204739,6.132376677621292,False,mixed_or_demographics_missing,,,,,,,
2010,house,85,D,6668.0,DEXTER GRIMSLEY,alabama_sos,ALPERSON-DEXTER-GRIMSLEY,AL-2010-house-85-D-DEXTER-GRIMSLEY,0,1,AL-2010-house-85-D-DEXTER-GRIMSLEY,2.5897486270263714,3.557996825916482,-42.158708504303945,48.3064539572468,3.91411861380314,2.2336268391397134,3.2727461077111126,2.874999345231741,-43.015497575423126,50.13149122725609,2.7346101326657024,3.413135320277151,-38.2133828181611,44.36112827110395,4.050115238216005,2.0976302147268484,3.4974212140130048,2.6503242389298487,-39.81263291510931,46.63890355566361,2.19416069076966,3.953584762173194,-40.632875415801465,46.78062086874432,3.576427164209063,2.5713182887337904,2.6715748226831693,3.476170630259684,-43.677980980835706,51.58515050518209,6.1477454529428535,3.557996825916482,48.3064539572468,2.2336268391397134,2.874999345231741,3.413135320277151,44.36112827110395,2.0976302147268484,2.6503242389298487,3.953584762173194,46.78062086874432,2.5713182887337904,3.476170630259684,-43.015497575423126,50.13149122725609,-39.81263291510931,46.63890355566361,-43.677980980835706,51.58515050518209,0.540449441896043,True,3.557996825916482,2.874999345231741,6668.0,6243.0,12911.0,3.2917667105568893,True,False,False,-2.855978742385964,2,True,-2.855978742385964,6.1477454529428535,,,,False,-0.5237810908075691,True,,,,,,,,,,,,,,,,,,,,,3.557996825916482,3.933221087644638,3.846875094773977,0.3752242617281558,3.557996825916482,46.072827118107085,True,mixed_or_demographics_missing,,,,,,,
