person_id,candidate,election_cycle,legiscan_people_id,bill_id,bill_number,session_year,session_name,history_order,action_date,action,chamber,importance,matched_name,activity_timing,bill_url,bill_title,bill_description,subject_names
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,3360,1592221,SB224,2022,Regular Session 2022,13,2022-04-06,Boyd 1st Amendment Offered,H,0,Boyd,post_election,https://legiscan.com/AL/bill/SB224/2022,"Unemployment compensation, individual required to search for work a certain number of times per week to be eligible to receive benefits, Sec. 25-4-77 am'd.","Unemployment compensation, individual required to search for work a certain number of times per week to be eligible to receive benefits, Sec. 25-4-77 am'd.",Unemployment Compensation
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,3360,1592221,SB224,2022,Regular Session 2022,17,2022-04-06,Boyd 2nd Amendment Offered,H,0,Boyd,post_election,https://legiscan.com/AL/bill/SB224/2022,"Unemployment compensation, individual required to search for work a certain number of times per week to be eligible to receive benefits, Sec. 25-4-77 am'd.","Unemployment compensation, individual required to search for work a certain number of times per week to be eligible to receive benefits, Sec. 25-4-77 am'd.",Unemployment Compensation
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,98257,SB121,2010,Regular Session 2010,111,2010-04-21,Beasley substitute motion to Table adopted Roll Call 1119,,0,Beasley,pre_or_during_election,https://legiscan.com/AL/bill/SB121/2010,"Highways and other roads, Alabama Trust Fund, $100 million transferred annually in 2010 to 2020, inclusive, distrib. of portion after appropriation to Transportation Department, portions earmarked for special projects, distrib. of portion to counties and municipalities for transportation purposes, transfers from Alabama Trust Fund to Municipal Government Capital Improvement Fund and County Government Capital Improvement Fund, const. amend.","Highways and other roads, Alabama Trust Fund, $100 million transferred annually in 2010 to 2020, inclusive, distrib. of portion after appropriation to Transportation Department, portions earmarked for special projects, distrib. of portion to counties and municipalities for transportation purposes, transfers from Alabama Trust Fund to Municipal Government Capital Improvement Fund and County Government Capital Improvement Fund, const. amend.",Constitutional Amendments
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,299907,HB255,2011,Regular Session 2011,11,2011-06-02,Beasley Amendment Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/HB255/2011,"Prosthetics and Orthotics Act, terms redefined, licensure or registration, application requirements, duties of board updated, maximum fees exceeded under certain conditions, Secs. 34-25A-3, 34-25A-5, 34-25A-7, 34-25A-12 am'd.; Act 2010-145, 2010 Reg. Sess. am'd.","Prosthetics and Orthotics Act, terms redefined, licensure or registration, application requirements, duties of board updated, maximum fees exceeded under certain conditions, Secs. 34-25A-3, 34-25A-5, 34-25A-7, 34-25A-12 am'd.; Act 2010-145, 2010 Reg. Sess. am'd.","Prosthetists and Orthotists, State Board of"
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,420137,SB474,2012,Regular Session 2012,4,2012-04-19,Beasley Amendment Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/SB474/2012,"Barbour Co., sales and use tax, county commission authorized to levy additional, 1/2 cent sales tax with distribution to county general fund, penalties","Barbour Co., sales and use tax, county commission authorized to levy additional, 1/2 cent sales tax with distribution to county general fund, penalties",Barbour County
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,397703,SB316,2012,Regular Session 2012,4,2012-04-26,Beasley Amendment Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/SB316/2012,"Sales and use tax, vitamins, minerals, supplements sold or prescribed by physicians and other health care providers, exemption clarified, Sec. 40-9-27 am'd","Sales and use tax, vitamins, minerals, supplements sold or prescribed by physicians and other health care providers, exemption clarified, Sec. 40-9-27 am'd",Taxation
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,389595,HB156,2012,Regular Session 2012,24,2012-05-01,Beasley Amendment Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/HB156/2012,"Veterinarians, employed by 501(c)(3) entity exempt from certain employment and ownership restrictions, Sec. 34-29-87 am'd.","Veterinarians, employed by 501(c)(3) entity exempt from certain employment and ownership restrictions, Sec. 34-29-87 am'd.",Veterinarians
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,420081,HB658,2012,Regular Session 2012,20,2012-05-09,Beasley first Substitute Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/HB658/2012,"Immigration law, provision barring unlawfully present alien from attending postsecondary school clarified, lawsuits for failure to enforce laws, procedures revised, documentation for lawful presence, military identification authorized, voter registration provisions modified, certain lawful presence verification for certain subsequent issuance and renewals of certain licenses, procedures and penalties for employing unauthorized alien, penalties for certain lawsuits relating to employment practices, Secs. 31-13-3, 31-13-5, 31-13-6, 31-13-8, 31-13-9, 31-13-13, 31-13-19, 31-13-20, 31-13-23, 31-13-26, 31-13-28, 31-13-29, 32-6-9, 32-6-10.1 am'd; Act 2011-535, 2011 Reg. Sess., am'd","Immigration law, provision barring unlawfully present alien from attending postsecondary school clarified, lawsuits for failure to enforce laws, procedures revised, documentation for lawful presence, military identification authorized, voter registration provisions modified, certain lawful presence verification for certain subsequent issuance and renewals of certain licenses, procedures and penalties for employing unauthorized alien, penalties for certain lawsuits relating to employment practices, Secs. 31-13-3, 31-13-5, 31-13-6, 31-13-8, 31-13-9, 31-13-13, 31-13-19, 31-13-20, 31-13-23, 31-13-26, 31-13-28, 31-13-29, 32-6-9, 32-6-10.1 am'd; Act 2011-535, 2011 Reg. Sess., am'd",Immigration Law
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,420081,HB658,2012,Regular Session 2012,34,2012-05-16,Beasley 1st Amendment Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/HB658/2012,"Immigration law, provision barring unlawfully present alien from attending postsecondary school clarified, lawsuits for failure to enforce laws, procedures revised, documentation for lawful presence, military identification authorized, voter registration provisions modified, certain lawful presence verification for certain subsequent issuance and renewals of certain licenses, procedures and penalties for employing unauthorized alien, penalties for certain lawsuits relating to employment practices, Secs. 31-13-3, 31-13-5, 31-13-6, 31-13-8, 31-13-9, 31-13-13, 31-13-19, 31-13-20, 31-13-23, 31-13-26, 31-13-28, 31-13-29, 32-6-9, 32-6-10.1 am'd; Act 2011-535, 2011 Reg. Sess., am'd","Immigration law, provision barring unlawfully present alien from attending postsecondary school clarified, lawsuits for failure to enforce laws, procedures revised, documentation for lawful presence, military identification authorized, voter registration provisions modified, certain lawful presence verification for certain subsequent issuance and renewals of certain licenses, procedures and penalties for employing unauthorized alien, penalties for certain lawsuits relating to employment practices, Secs. 31-13-3, 31-13-5, 31-13-6, 31-13-8, 31-13-9, 31-13-13, 31-13-19, 31-13-20, 31-13-23, 31-13-26, 31-13-28, 31-13-29, 32-6-9, 32-6-10.1 am'd; Act 2011-535, 2011 Reg. Sess., am'd",Immigration Law
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,420081,HB658,2012,Regular Session 2012,36,2012-05-16,Beasley 2nd Amendment Offered,,0,Beasley,post_election,https://legiscan.com/AL/bill/HB658/2012,"Immigration law, provision barring unlawfully present alien from attending postsecondary school clarified, lawsuits for failure to enforce laws, procedures revised, documentation for lawful presence, military identification authorized, voter registration provisions modified, certain lawful presence verification for certain subsequent issuance and renewals of certain licenses, procedures and penalties for employing unauthorized alien, penalties for certain lawsuits relating to employment practices, Secs. 31-13-3, 31-13-5, 31-13-6, 31-13-8, 31-13-9, 31-13-13, 31-13-19, 31-13-20, 31-13-23, 31-13-26, 31-13-28, 31-13-29, 32-6-9, 32-6-10.1 am'd; Act 2011-535, 2011 Reg. Sess., am'd","Immigration law, provision barring unlawfully present alien from attending postsecondary school clarified, lawsuits for failure to enforce laws, procedures revised, documentation for lawful presence, military identification authorized, voter registration provisions modified, certain lawful presence verification for certain subsequent issuance and renewals of certain licenses, procedures and penalties for employing unauthorized alien, penalties for certain lawsuits relating to employment practices, Secs. 31-13-3, 31-13-5, 31-13-6, 31-13-8, 31-13-9, 31-13-13, 31-13-19, 31-13-20, 31-13-23, 31-13-26, 31-13-28, 31-13-29, 32-6-9, 32-6-10.1 am'd; Act 2011-535, 2011 Reg. Sess., am'd",Immigration Law
