sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value
R:omit_2014,candidate_cmo,party_leave_cycle_out,157,137,absolute_conservatism_z,estimated,-2.0128457563526774,6.3358124802832645,-14.431038217707876,10.405346705002522,0.751204779924964
R:omit_2018,candidate_cmo,party_leave_cycle_out,163,137,absolute_conservatism_z,estimated,-7.0459133413399995,6.731549646114151,-20.239750647723735,6.147923965043735,0.29709464501483435
R:2008_2014,candidate_cmo,party_era_context,83,67,absolute_conservatism_z,estimated,-5.583028876998672,10.650200959397566,-26.4574227574179,15.291365003420555,0.6018829636294719
R:post_2016,candidate_cmo,party_era_context,35,35,absolute_conservatism_z,estimated,-6.918303688416282,10.135015744207255,-26.782934547062503,12.946327170229937,0.49947561382082695
R:pre_2008,candidate_cmo,party_era_context,80,79,absolute_conservatism_z,estimated,1.7429735745797075,9.230491762581906,-16.348790280080827,19.834737429240242,0.8507182269934752
all,candidate_statewide_overperformance,total_context,407,328,absolute_conservatism_z,estimated,-5.261873181848726,5.771224774020016,-16.57347373892796,6.049727375230505,0.3625757207727378
all,candidate_statewide_overperformance,total_context,407,328,democratic_x_absolute,estimated,20.775561794414376,6.506918343243292,8.022001841657524,33.52912174717123,0.0015457517529014145
all,candidate_statewide_overperformance,common_incumbency,407,328,absolute_conservatism_z,estimated,-3.8817707831040145,5.687181410049266,-15.028646346800576,7.265104780592546,0.4953761190700313
all,candidate_statewide_overperformance,common_incumbency,407,328,democratic_x_absolute,estimated,19.411568233938812,6.41904107822855,6.8302477206108545,31.99288874726677,0.002691457557461815
all,candidate_statewide_overperformance,common_incumbency,407,328,incumbent_i,estimated,6.138334856499678,2.424069724118932,1.3871581972265705,10.889511515772785,0.011801091108751523
all,candidate_statewide_overperformance,party_specific_incumbency,407,328,absolute_conservatism_z,estimated,-4.004676700470456,5.7539649854882375,-15.2824480720274,7.273094671086489,0.4869322187194711
all,candidate_statewide_overperformance,party_specific_incumbency,407,328,democratic_x_absolute,estimated,19.329783875390728,6.476176915729653,6.636477120560608,32.02309063022085,0.0030519424624309626
all,candidate_statewide_overperformance,party_specific_incumbency,407,328,incumbent_i,estimated,7.9435654904117525,3.0725031970462933,1.9214592242010182,13.965671756622488,0.01015979955403858
all,candidate_statewide_overperformance,party_specific_incumbency,407,328,democratic_x_incumbency,estimated,-4.002194743016158,3.9858140573151974,-11.814390295353945,3.810000809321629,0.31606815459289767
all,candidate_statewide_overperformance,mediator_adjusted_incumbency_finance,327,264,absolute_conservatism_z,estimated,-2.4590192408008,5.5971910057138885,-13.42951361200002,8.511475130398422,0.6607825007328096
all,candidate_statewide_overperformance,mediator_adjusted_incumbency_finance,327,264,democratic_x_absolute,estimated,18.070091463001695,6.367031423514626,5.590709872913029,30.54947305309036,0.0048925317660924094
