sample,specification,outcome,n,people,status,coefficient_per_sd,cluster_se,ci_low,ci_high,p_value
headline_1998_2018,cycle_chamber_total,candidate_cmo_total_oof,209,179,estimated,7.5683293619573515,0.8181338684821746,5.964786979732289,9.171871744182415,6.954924231699255e-17
headline_1998_2018,plus_district_context,candidate_cmo_total_oof,209,179,estimated,4.941650317272492,1.056899827480157,2.8701266554113842,7.013173979133599,5.772258320687459e-06
headline_1998_2018,plus_incumbency,candidate_cmo_total_oof,209,179,estimated,4.956131572122233,1.0583042321580467,2.8818552770924617,7.030407867152005,5.58786661494249e-06
headline_1998_2018,plus_incumbency_finance,candidate_cmo_total_oof,158,137,estimated,4.659464196183795,1.0817498615386412,2.5392344675680585,6.779693924799532,3.1435433726606456e-05
headline_1998_2018,cycle_chamber_total,federal_index_overperformance,187,171,estimated,5.514300970483593,1.4258841692536262,2.7195679987464856,8.3090339422207,0.00015649361295145262
headline_1998_2018,plus_district_context,federal_index_overperformance,187,171,estimated,7.163026932566543,2.0016981764164083,3.239698506790383,11.086355358342704,0.00045051905150830514
headline_1998_2018,plus_incumbency,federal_index_overperformance,187,171,estimated,7.148093071965835,2.0029152593776027,3.222379163585734,11.073806980345937,0.00046619631616700793
headline_1998_2018,plus_incumbency_finance,federal_index_overperformance,139,131,estimated,8.186738996039916,2.2725739429773477,3.732494067804314,12.640983924275517,0.0004475023188406939
headline_1998_2018,cycle_chamber_total,presidential_overperformance,199,170,estimated,4.326648316361875,1.371299512604186,1.6389012716576703,7.01439536106608,0.0018993701825384978
headline_1998_2018,plus_district_context,presidential_overperformance,199,170,estimated,4.10145351350077,1.3605152752124057,1.434843574084455,6.768063452917085,0.002969622456195439
headline_1998_2018,plus_incumbency,presidential_overperformance,199,170,estimated,4.165892286106204,1.3529471376464646,1.5141158963191335,6.817668675893275,0.002423485925357981
headline_1998_2018,plus_incumbency_finance,presidential_overperformance,150,129,estimated,2.3591391508402895,1.813964548131461,-1.196231363497374,5.9145096651779525,0.1957515445032235
pre_election_service,cycle_chamber_total,candidate_cmo_total_oof,177,152,estimated,7.169590008644094,0.8530530399328178,5.49760605037577,8.841573966912417,2.956845976416602e-14
pre_election_service,plus_district_context,candidate_cmo_total_oof,177,152,estimated,5.228933969016347,1.0761431701531174,3.1196933555162367,7.338174582516457,2.9260619359119113e-06
pre_election_service,plus_incumbency,candidate_cmo_total_oof,177,152,estimated,5.224101317812323,1.0787524680075478,3.1097464805175297,7.338456155107117,3.1406925304897304e-06
pre_election_service,plus_incumbency_finance,candidate_cmo_total_oof,131,114,estimated,5.374114617653532,1.1748246753267457,3.071458254013111,7.676770981293954,1.2311594882206163e-05
pre_election_service,cycle_chamber_total,federal_index_overperformance,157,145,estimated,5.237219624214426,1.5869104420249784,2.1268751578454688,8.347564090583385,0.001217691792679583
pre_election_service,plus_district_context,federal_index_overperformance,157,145,estimated,6.89795266666827,2.152997998708055,2.678076589200482,11.117828744136059,0.0016696331548574626
pre_election_service,plus_incumbency,federal_index_overperformance,157,145,estimated,6.860537070725994,2.1548884742207326,2.6369556612533582,11.08411848019863,0.0017821278485817863
pre_election_service,plus_incumbency_finance,federal_index_overperformance,114,109,estimated,8.186367934563123,2.5826461384452886,3.1243815032103575,13.248354365915887,0.00198530151248412
pre_election_service,cycle_chamber_total,presidential_overperformance,170,146,estimated,3.775113816699219,1.4310646101849591,0.9702271807366993,6.580000452661739,0.009250671232414229
pre_election_service,plus_district_context,presidential_overperformance,170,146,estimated,4.547859970247508,1.398687274050365,1.8064329131087926,7.289287027386223,0.0014275995839018688
pre_election_service,plus_incumbency,presidential_overperformance,170,146,estimated,4.564352168515923,1.4051471766836183,1.8102637022160315,7.318440634815815,0.0014426930212707368
pre_election_service,plus_incumbency_finance,presidential_overperformance,125,108,estimated,2.9354979319386163,2.1044949603295255,-1.189312190307254,7.060308054184487,0.16594377788283346
canonical_federal_geography,cycle_chamber_total,candidate_cmo_total_oof,56,48,estimated,6.5183516588145,2.1619452473503973,2.2809389740077215,10.755764343621278,0.004134393386848844
canonical_federal_geography,plus_district_context,candidate_cmo_total_oof,56,48,estimated,1.9286865422107922,1.8996069579520274,-1.7945430953751815,5.651916179796766,0.3151572710669742
canonical_federal_geography,plus_incumbency,candidate_cmo_total_oof,56,48,estimated,1.8048973348789104,1.900319428945386,-1.9197287458540462,5.529523415611867,0.34707943895425897
canonical_federal_geography,plus_incumbency_finance,candidate_cmo_total_oof,49,45,estimated,3.55217652877154,1.8803373626328483,-0.1332847019888428,7.237637759531923,0.06547783962551595
canonical_federal_geography,cycle_chamber_total,federal_index_overperformance,56,48,estimated,3.3564854944407165,3.2317674078229994,-2.977778624892362,9.690749613773795,0.3043086285880812
canonical_federal_geography,plus_district_context,federal_index_overperformance,56,48,estimated,0.9819002786141193,3.577181907392392,-6.029376259874969,7.9931768171032065,0.7849111045247958
canonical_federal_geography,plus_incumbency,federal_index_overperformance,56,48,estimated,1.0232720863343792,3.7419511609435103,-6.310952189114901,8.35749636178366,0.7856981516662647
canonical_federal_geography,plus_incumbency_finance,federal_index_overperformance,49,45,estimated,5.414644889771441,3.9001687400828744,-2.2296858407909923,13.058975620333875,0.1720317846133918
canonical_federal_geography,cycle_chamber_total,presidential_overperformance,54,46,estimated,0.35157937587136256,3.052181331123238,-5.630696033130184,6.333854784872909,0.9088073601471284
canonical_federal_geography,plus_district_context,presidential_overperformance,54,46,estimated,-3.134825666403488,3.161903118414116,-9.332155778495157,3.0625044456881794,0.3267738880789709
canonical_federal_geography,plus_incumbency,presidential_overperformance,54,46,estimated,-3.5590509527506615,3.1192660615014565,-9.672812433293515,2.554710527792193,0.2599100463018764
canonical_federal_geography,plus_incumbency_finance,presidential_overperformance,48,44,estimated,-3.122046081959371,3.8607838297156203,-10.689182388201987,4.445090224283245,0.4231647365018597
