cycle,chamber,district,party,canonical_votes,candidate,canonical_source,person_id,canonical_candidate_id,incumbent,winner,raw_overperformance,scenario,expected_cmo_total_oof,cmo_total_oof,candidate_cmo_total_oof
2010,house,2,D,6284.0,MIKE CURTIS,alabama_sos,ALPERSON-MIKE-CURTIS,AL-2010-house-2-D-MIKE-CURTIS,1,0,18.147393511496514,conflict_county_fallback,18.394817744047522,-0.24742423255100832,-0.24742423255100832
2010,house,2,D,6284.0,MIKE CURTIS,alabama_sos,ALPERSON-MIKE-CURTIS,AL-2010-house-2-D-MIKE-CURTIS,1,0,18.147393511496514,prefer_direct,18.39715155219323,-0.24975804069671526,-0.24975804069671526
2010,house,2,D,6284.0,MIKE CURTIS,alabama_sos,ALPERSON-MIKE-CURTIS,AL-2010-house-2-D-MIKE-CURTIS,1,0,18.147393511496514,prefer_source_transfer,18.39417526707896,-0.24678175558244675,-0.24678175558244675
2010,house,2,D,6284.0,MIKE CURTIS,alabama_sos,ALPERSON-MIKE-CURTIS,AL-2010-house-2-D-MIKE-CURTIS,1,0,18.147393511496507,production_canonical_weights,18.579047260576683,-0.4316537490801764,-0.4316537490801764
2010,house,2,D,6284.0,MIKE CURTIS,alabama_sos,ALPERSON-MIKE-CURTIS,AL-2010-house-2-D-MIKE-CURTIS,1,0,18.147393511496514,strict_consensus,18.394817744047522,-0.24742423255100832,-0.24742423255100832
2010,house,2,R,7599.0,LYNN GREER,alabama_sos,ALPERSON-LYNN-GREER,AL-2010-house-2-R-LYNN-GREER,0,1,18.147393511496514,conflict_county_fallback,18.394817744047522,-0.24742423255100832,0.24742423255100832
2010,house,2,R,7599.0,LYNN GREER,alabama_sos,ALPERSON-LYNN-GREER,AL-2010-house-2-R-LYNN-GREER,0,1,18.147393511496514,prefer_direct,18.39715155219323,-0.24975804069671526,0.24975804069671526
2010,house,2,R,7599.0,LYNN GREER,alabama_sos,ALPERSON-LYNN-GREER,AL-2010-house-2-R-LYNN-GREER,0,1,18.147393511496514,prefer_source_transfer,18.39417526707896,-0.24678175558244675,0.24678175558244675
2010,house,2,R,7599.0,LYNN GREER,alabama_sos,ALPERSON-LYNN-GREER,AL-2010-house-2-R-LYNN-GREER,0,1,18.147393511496507,production_canonical_weights,18.579047260576683,-0.4316537490801764,0.4316537490801764
2010,house,2,R,7599.0,LYNN GREER,alabama_sos,ALPERSON-LYNN-GREER,AL-2010-house-2-R-LYNN-GREER,0,1,18.147393511496514,strict_consensus,18.394817744047522,-0.24742423255100832,0.24742423255100832
2010,house,4,D,5244.0,VAUGHN GOODWIN,alabama_sos,ALPERSON-VAUGHN-GOODWIN,AL-2010-house-4-D-VAUGHN-GOODWIN,0,0,-1.892772768084221,conflict_county_fallback,-2.1311673680524823,0.2383945999682613,0.2383945999682613
2010,house,4,D,5244.0,VAUGHN GOODWIN,alabama_sos,ALPERSON-VAUGHN-GOODWIN,AL-2010-house-4-D-VAUGHN-GOODWIN,0,0,-1.892772768084221,prefer_direct,-2.1197176054601714,0.2269448373759504,0.2269448373759504
2010,house,4,D,5244.0,VAUGHN GOODWIN,alabama_sos,ALPERSON-VAUGHN-GOODWIN,AL-2010-house-4-D-VAUGHN-GOODWIN,0,0,-1.892772768084221,prefer_source_transfer,-2.1177081370229365,0.22493536893871546,0.22493536893871546
2010,house,4,D,5244.0,VAUGHN GOODWIN,alabama_sos,ALPERSON-VAUGHN-GOODWIN,AL-2010-house-4-D-VAUGHN-GOODWIN,0,0,-1.892772768084221,production_canonical_weights,-2.5100595521619686,0.6172867840777476,0.6172867840777476
2010,house,4,D,5244.0,VAUGHN GOODWIN,alabama_sos,ALPERSON-VAUGHN-GOODWIN,AL-2010-house-4-D-VAUGHN-GOODWIN,0,0,-1.892772768084221,strict_consensus,-2.1311673680524823,0.2383945999682613,0.2383945999682613
2010,house,4,R,12153.0,MICKY HAMMON,alabama_sos,ALPERSON-MICKY-HAMMON,AL-2010-house-4-R-MICKY-HAMMON,1,1,-1.892772768084221,conflict_county_fallback,-2.1311673680524823,0.2383945999682613,-0.2383945999682613
2010,house,4,R,12153.0,MICKY HAMMON,alabama_sos,ALPERSON-MICKY-HAMMON,AL-2010-house-4-R-MICKY-HAMMON,1,1,-1.892772768084221,prefer_direct,-2.1197176054601714,0.2269448373759504,-0.2269448373759504
2010,house,4,R,12153.0,MICKY HAMMON,alabama_sos,ALPERSON-MICKY-HAMMON,AL-2010-house-4-R-MICKY-HAMMON,1,1,-1.892772768084221,prefer_source_transfer,-2.1177081370229365,0.22493536893871546,-0.22493536893871546
2010,house,4,R,12153.0,MICKY HAMMON,alabama_sos,ALPERSON-MICKY-HAMMON,AL-2010-house-4-R-MICKY-HAMMON,1,1,-1.892772768084221,production_canonical_weights,-2.5100595521619686,0.6172867840777476,-0.6172867840777476
2010,house,4,R,12153.0,MICKY HAMMON,alabama_sos,ALPERSON-MICKY-HAMMON,AL-2010-house-4-R-MICKY-HAMMON,1,1,-1.892772768084221,strict_consensus,-2.1311673680524823,0.2383945999682613,-0.2383945999682613
2010,house,5,D,5402.0,HENRY A. WHITE,alabama_sos,ALPERSON-HENRY-A-WHITE,AL-2010-house-5-D-HENRY-A-WHITE,1,0,14.55366353193596,conflict_county_fallback,18.83499124526758,-4.2813277133316205,-4.2813277133316205
2010,house,5,D,5402.0,HENRY A. WHITE,alabama_sos,ALPERSON-HENRY-A-WHITE,AL-2010-house-5-D-HENRY-A-WHITE,1,0,14.55366353193596,prefer_direct,18.834150774685803,-4.280487242749842,-4.280487242749842
2010,house,5,D,5402.0,HENRY A. WHITE,alabama_sos,ALPERSON-HENRY-A-WHITE,AL-2010-house-5-D-HENRY-A-WHITE,1,0,14.55366353193596,prefer_source_transfer,18.83040435282203,-4.276740820886069,-4.276740820886069
2010,house,5,D,5402.0,HENRY A. WHITE,alabama_sos,ALPERSON-HENRY-A-WHITE,AL-2010-house-5-D-HENRY-A-WHITE,1,0,14.55366353193596,production_canonical_weights,18.963874334935856,-4.410210802999895,-4.410210802999895
2010,house,5,D,5402.0,HENRY A. WHITE,alabama_sos,ALPERSON-HENRY-A-WHITE,AL-2010-house-5-D-HENRY-A-WHITE,1,0,14.55366353193596,strict_consensus,18.83499124526758,-4.2813277133316205,-4.2813277133316205
2010,house,5,R,8807.0,DAN WILLIAMS,alabama_sos,ALPERSON-DAN-WILLIAMS,AL-2010-house-5-R-DAN-WILLIAMS,0,1,14.55366353193596,conflict_county_fallback,18.83499124526758,-4.2813277133316205,4.2813277133316205
2010,house,5,R,8807.0,DAN WILLIAMS,alabama_sos,ALPERSON-DAN-WILLIAMS,AL-2010-house-5-R-DAN-WILLIAMS,0,1,14.55366353193596,prefer_direct,18.834150774685803,-4.280487242749842,4.280487242749842
2010,house,5,R,8807.0,DAN WILLIAMS,alabama_sos,ALPERSON-DAN-WILLIAMS,AL-2010-house-5-R-DAN-WILLIAMS,0,1,14.55366353193596,prefer_source_transfer,18.83040435282203,-4.276740820886069,4.276740820886069
2010,house,5,R,8807.0,DAN WILLIAMS,alabama_sos,ALPERSON-DAN-WILLIAMS,AL-2010-house-5-R-DAN-WILLIAMS,0,1,14.55366353193596,production_canonical_weights,18.963874334935856,-4.410210802999895,4.410210802999895
2010,house,5,R,8807.0,DAN WILLIAMS,alabama_sos,ALPERSON-DAN-WILLIAMS,AL-2010-house-5-R-DAN-WILLIAMS,0,1,14.55366353193596,strict_consensus,18.83499124526758,-4.2813277133316205,4.2813277133316205
2010,house,7,D,6911.0,JOHN 'Jody' LETSON,alabama_sos,ALPERSON-JOHN-JODY-LETSON,AL-2010-house-7-D-JOHN-JODY-LETSON,1,0,13.316318093088675,conflict_county_fallback,20.532627236489468,-7.216309143400792,-7.216309143400792
2010,house,7,D,6911.0,JOHN 'Jody' LETSON,alabama_sos,ALPERSON-JOHN-JODY-LETSON,AL-2010-house-7-D-JOHN-JODY-LETSON,1,0,13.316318093088675,prefer_direct,20.53451029469985,-7.218192201611174,-7.218192201611174
2010,house,7,D,6911.0,JOHN 'Jody' LETSON,alabama_sos,ALPERSON-JOHN-JODY-LETSON,AL-2010-house-7-D-JOHN-JODY-LETSON,1,0,13.316318093088675,prefer_source_transfer,20.531770082330237,-7.215451989241561,-7.215451989241561
2010,house,7,D,6911.0,JOHN 'Jody' LETSON,alabama_sos,ALPERSON-JOHN-JODY-LETSON,AL-2010-house-7-D-JOHN-JODY-LETSON,1,0,13.316318093088674,production_canonical_weights,20.906880163538037,-7.590562070449364,-7.590562070449364
2010,house,7,D,6911.0,JOHN 'Jody' LETSON,alabama_sos,ALPERSON-JOHN-JODY-LETSON,AL-2010-house-7-D-JOHN-JODY-LETSON,1,0,13.316318093088675,strict_consensus,20.532627236489468,-7.216309143400792,-7.216309143400792
2010,house,7,R,7096.0,KEN JOHNSON,alabama_sos,ALPERSON-KEN-JOHNSON,AL-2010-house-7-R-KEN-JOHNSON,0,1,13.316318093088675,conflict_county_fallback,20.532627236489468,-7.216309143400792,7.216309143400792
2010,house,7,R,7096.0,KEN JOHNSON,alabama_sos,ALPERSON-KEN-JOHNSON,AL-2010-house-7-R-KEN-JOHNSON,0,1,13.316318093088675,prefer_direct,20.53451029469985,-7.218192201611174,7.218192201611174
2010,house,7,R,7096.0,KEN JOHNSON,alabama_sos,ALPERSON-KEN-JOHNSON,AL-2010-house-7-R-KEN-JOHNSON,0,1,13.316318093088675,prefer_source_transfer,20.531770082330237,-7.215451989241561,7.215451989241561
2010,house,7,R,7096.0,KEN JOHNSON,alabama_sos,ALPERSON-KEN-JOHNSON,AL-2010-house-7-R-KEN-JOHNSON,0,1,13.316318093088674,production_canonical_weights,20.906880163538037,-7.590562070449364,7.590562070449364
2010,house,7,R,7096.0,KEN JOHNSON,alabama_sos,ALPERSON-KEN-JOHNSON,AL-2010-house-7-R-KEN-JOHNSON,0,1,13.316318093088675,strict_consensus,20.532627236489468,-7.216309143400792,7.216309143400792
2010,house,8,D,5147.0,DRAMA BRELAND,alabama_sos,ALPERSON-DRAMA-BRELAND,AL-2010-house-8-D-DRAMA-BRELAND,0,0,24.677273125155548,conflict_county_fallback,1.6626033343607958,23.014669790794752,23.014669790794752
2010,house,8,D,5147.0,DRAMA BRELAND,alabama_sos,ALPERSON-DRAMA-BRELAND,AL-2010-house-8-D-DRAMA-BRELAND,0,0,24.677273125155548,prefer_direct,1.6425360348157998,23.034737090339746,23.034737090339746
2010,house,8,D,5147.0,DRAMA BRELAND,alabama_sos,ALPERSON-DRAMA-BRELAND,AL-2010-house-8-D-DRAMA-BRELAND,0,0,24.677273125155548,prefer_source_transfer,1.6361844429925103,23.041088682163036,23.041088682163036
2010,house,8,D,5147.0,DRAMA BRELAND,alabama_sos,ALPERSON-DRAMA-BRELAND,AL-2010-house-8-D-DRAMA-BRELAND,0,0,24.677273125155548,production_canonical_weights,1.9576299157536123,22.719643209401937,22.719643209401937
2010,house,8,D,5147.0,DRAMA BRELAND,alabama_sos,ALPERSON-DRAMA-BRELAND,AL-2010-house-8-D-DRAMA-BRELAND,0,0,24.677273125155548,strict_consensus,1.6626033343607958,23.014669790794752,23.014669790794752
2010,house,8,R,6574.0,TERRI COLLINS,alabama_sos,ALPERSON-TERRI-COLLINS,AL-2010-house-8-R-TERRI-COLLINS,0,1,24.677273125155548,conflict_county_fallback,1.6626033343607958,23.014669790794752,-23.014669790794752
2010,house,8,R,6574.0,TERRI COLLINS,alabama_sos,ALPERSON-TERRI-COLLINS,AL-2010-house-8-R-TERRI-COLLINS,0,1,24.677273125155548,prefer_direct,1.6425360348157998,23.034737090339746,-23.034737090339746
2010,house,8,R,6574.0,TERRI COLLINS,alabama_sos,ALPERSON-TERRI-COLLINS,AL-2010-house-8-R-TERRI-COLLINS,0,1,24.677273125155548,prefer_source_transfer,1.6361844429925103,23.041088682163036,-23.041088682163036
2010,house,8,R,6574.0,TERRI COLLINS,alabama_sos,ALPERSON-TERRI-COLLINS,AL-2010-house-8-R-TERRI-COLLINS,0,1,24.677273125155548,production_canonical_weights,1.9576299157536123,22.719643209401937,-22.719643209401937
2010,house,8,R,6574.0,TERRI COLLINS,alabama_sos,ALPERSON-TERRI-COLLINS,AL-2010-house-8-R-TERRI-COLLINS,0,1,24.677273125155548,strict_consensus,1.6626033343607958,23.014669790794752,-23.014669790794752
2010,house,9,D,4294.0,KATHY WHITE GOODWIN,alabama_sos,ALPERSON-KATHY-WHITE-GOODWIN,AL-2010-house-9-D-KATHY-WHITE-GOODWIN,0,0,-3.653236455441956,conflict_county_fallback,4.020619850255278,-7.6738563056972335,-7.6738563056972335
2010,house,9,D,4294.0,KATHY WHITE GOODWIN,alabama_sos,ALPERSON-KATHY-WHITE-GOODWIN,AL-2010-house-9-D-KATHY-WHITE-GOODWIN,0,0,-3.653236455441956,prefer_direct,3.9980325200217717,-7.6512689754637275,-7.6512689754637275
2010,house,9,D,4294.0,KATHY WHITE GOODWIN,alabama_sos,ALPERSON-KATHY-WHITE-GOODWIN,AL-2010-house-9-D-KATHY-WHITE-GOODWIN,0,0,-3.653236455441956,prefer_source_transfer,3.990710298624432,-7.643946754066388,-7.643946754066388
2010,house,9,D,4294.0,KATHY WHITE GOODWIN,alabama_sos,ALPERSON-KATHY-WHITE-GOODWIN,AL-2010-house-9-D-KATHY-WHITE-GOODWIN,0,0,-3.65323645544197,production_canonical_weights,4.144914142224942,-7.798150597666912,-7.798150597666912
2010,house,9,D,4294.0,KATHY WHITE GOODWIN,alabama_sos,ALPERSON-KATHY-WHITE-GOODWIN,AL-2010-house-9-D-KATHY-WHITE-GOODWIN,0,0,-3.653236455441956,strict_consensus,4.020619850255278,-7.6738563056972335,-7.6738563056972335
2010,house,9,R,11405.0,ED HENRY,alabama_sos,ALPERSON-ED-HENRY,AL-2010-house-9-R-ED-HENRY,0,1,-3.653236455441956,conflict_county_fallback,4.020619850255278,-7.6738563056972335,7.6738563056972335
2010,house,9,R,11405.0,ED HENRY,alabama_sos,ALPERSON-ED-HENRY,AL-2010-house-9-R-ED-HENRY,0,1,-3.653236455441956,prefer_direct,3.9980325200217717,-7.6512689754637275,7.6512689754637275
2010,house,9,R,11405.0,ED HENRY,alabama_sos,ALPERSON-ED-HENRY,AL-2010-house-9-R-ED-HENRY,0,1,-3.653236455441956,prefer_source_transfer,3.990710298624432,-7.643946754066388,7.643946754066388
2010,house,9,R,11405.0,ED HENRY,alabama_sos,ALPERSON-ED-HENRY,AL-2010-house-9-R-ED-HENRY,0,1,-3.65323645544197,production_canonical_weights,4.144914142224942,-7.798150597666912,7.798150597666912
