party,shor_observed,candidate_cycles,people,winner_share,incumbent_share,mean_cmo,mean_federal_overperformance
D,False,300,283,0.21333333333333335,0.016666666666666666,-7.686317975426682,7.364095273880317
D,True,209,179,0.8373205741626795,0.22009569377990432,9.95875667269438,34.97460254132691
R,False,311,302,0.2733118971061093,0.012861736334405145,-5.732926074810218,-24.860257314390157
R,True,198,154,0.9343434343434344,0.36363636363636365,10.138662915660895,-9.29602669487336
