cycle,chamber,district,party,candidate,canonical_candidate_id,person_id,incumbent,winner,candidate_cmo_total_oof,match_status,match_method,similarity,suggested_source_name,shor_u_id,shor_np_score,served_by_election,first_observed_service_year,legislative_dem_margin,statewide_index_margin,prior_pres_dem_margin,nonwhite_share,white_college_share,canonical_finance_complete,canonical_log_fundraising_ratio_d_to_r,us_house_dem_margin,us_senate_dem_margin,us_house_two_party_votes,us_senate_two_party_votes,federal_index_margin,federal_components,contested_federal_votes,all_federal_major_votes,federal_contested_coverage,federal_allocation_method,democratic_i,incumbent_i,party_direction,candidate_cmo,candidate_statewide_overperformance,candidate_federal_overperformance,candidate_presidential_overperformance,candidate_finance_advantage,candidate_federal_baseline,baseline_hostility_z,absolute_np_z,national_party_conservative_percentile,democratic_x_ideology,cross_party_moderation,democratic_x_moderation,center_proximity,democratic_x_center_proximity,moderation_x_hostility,democratic_x_incumbency
1998,house,1,D,Starkey,AL-1998-house-1-D-STARKEY,ALPERSON-STARKEY,0,1,10.016340350915574,matched,winner_or_incumbent_unique_surname,90.0,"Starkey, Nelson Jr.",AL1996L101,-0.053,True,1996.0,20.333863275039747,7.037908481449138,-2.828994562278981,0.184473259507423,0.2102270558024268,1,-0.2126117365531454,39.59720150927541,-20.69964995451088,12751.690774508032,12565.751363061923,9.448775777382265,2.0,25317.44213756996,25317.44213756996,1.0000000000000002,legislative_activity_provisional,1,0,1.0,10.016340350915574,13.295954793590608,10.885087497657482,23.16285783731873,-0.2126117365531454,9.448775777382265,0.027434663610715806,-0.08019101021971199,90.8975766275437,-0.08019101021971199,-0.08019101021971199,-0.08019101021971199,-0.058985508535555356,-0.058985508535555356,-0.002200013389981272,0
1998,house,2,D,Hamilton,AL-1998-house-2-D-HAMILTON,ALPERSON-HAMILTON,0,1,21.57885094095501,matched,winner_or_incumbent_unique_surname,90.0,"Hamilton, James",AL1996L058,0.36,True,1996.0,32.555312424021395,7.388402586465636,-0.2616356734754035,0.0438768470839872,0.1414730585396077,0,,42.35791906221031,-20.80674749459468,12594.309225491968,12356.248636938077,10.775585783807813,2.0,24950.55786243004,24950.55786243004,1.0,legislative_activity_provisional,1,0,1.0,21.57885094095501,25.166909837555757,21.779726640213582,32.8169480974968,,10.775585783807813,-0.011034249205049832,0.37945078270829485,98.62365954572321,0.37945078270829485,0.37945078270829485,0.37945078270829485,-0.4006562843924515,-0.4006562843924515,-0.004186954497454539,0
1998,house,3,D,Black,AL-1998-house-3-D-BLACK,ALPERSON-BLACK,0,1,22.66538460284132,matched,election_year_roster_name,90.0,"Black, Marcel",AL1996L028,-0.223,True,1996.0,44.25544183364567,18.114903508477845,14.177027603974096,0.2004661393016312,0.1403785701537749,0,,44.58250386323029,-7.852359854256962,14099.2857609957,13880.770628312195,18.365072004486667,2.0,27980.05638930789,27980.05638930789,1.0,county_population_fallback,1,0,1.0,22.66538460284132,26.140538325167824,25.890369829159003,30.078414229671573,,18.365072004486667,-0.2310802861853508,-0.2693898111828141,84.91091784176307,-0.2693898111828141,-0.2693898111828141,-0.2693898111828141,-0.24818430949865744,-0.24818430949865744,0.06225067466354229,0
1998,house,4,D,Mancuso,AL-1998-house-4-D-MANCUSO,ALPERSON-MANCUSO,0,1,20.599206684225543,matched,normalized_exact,100.0,Mancuso,AL1999L086,-0.16,False,1999.0,15.095813059410103,-7.231570292892554,-7.597614214579154,0.1320992624834559,0.2958540377176548,1,0.149561212742466,29.924142508798838,-46.91381036874694,17266.388201468064,16937.729530594097,-8.494833929974051,2.0,34204.117732062165,34204.117732062165,1.0,county_population_fallback,1,0,1.0,20.599206684225543,22.327383352302657,23.590646989384155,22.693427273989258,0.149561212742466,-8.494833929974051,0.5476833458557495,-0.19927496141413506,87.34273410453433,-0.19927496141413506,-0.19927496141413506,-0.19927496141413506,-0.17806945972997845,-0.17806945972997845,-0.10913957761256887,0
1998,house,5,D,Carter,AL-1998-house-5-D-CARTER,ALPERSON-CARTER,0,1,21.035268272151864,matched,winner_or_incumbent_unique_surname,90.0,"Carter, Tommy",AL1996L035,0.092,True,1996.0,21.374153498871333,-3.4082949073859856,-18.84785910018816,0.1250940874725816,0.155141684382344,1,1.4057049384491818,29.9554085898256,-46.39063488406993,14376.258467292184,14111.228458808491,-8.217613147122167,2.0,28487.486926100675,28487.486926100675,1.0,county_population_fallback,1,0,1.0,21.035268272151864,24.78244840625732,29.591766645993502,40.2220125990595,1.4057049384491818,-8.217613147122167,0.5396457352901061,0.08118443766058096,94.95904753863041,0.08118443766058096,0.08118443766058096,0.08118443766058096,-0.1023899393447376,-0.1023899393447376,0.04381083555545799,0
1998,house,6,D,Schmitz,AL-1998-house-6-D-SCHMITZ,ALPERSON-SCHMITZ,0,1,3.144782123528897,matched,normalized_exact,100.0,Schmitz,AL1999L024,-0.187,False,1999.0,1.2347441296124473,-3.406815922354386,-11.395285628863594,0.1877725393293048,0.312181783404524,1,-0.6521815368371233,32.884706151910386,-43.01258182784783,14598.43592569394,14385.17378513211,-5.063937837968719,2.0,28983.60971082605,28983.609710826047,1.0000000000000002,county_population_fallback,1,0,1.0,3.144782123528897,4.641560051966834,6.2986819675811665,12.630029758476041,-0.6521815368371233,-5.063937837968719,0.44820953875139363,-0.22932418274356892,86.18593261842439,-0.22932418274356892,-0.22932418274356892,-0.22932418274356892,-0.2081186810594123,-0.2081186810594123,-0.10278528617203533,0
1998,house,8,D,Dukes,AL-1998-house-8-D-DUKES,ALPERSON-DUKES,0,1,36.601781576159446,matched,winner_or_incumbent_unique_surname,90.0,"Dukes, Bill",AL1996L041,0.059,True,1996.0,44.12837345003647,3.847308875189525,,0.1806253194264251,0.1657186974971238,1,1.3642396108817936,41.1903542925381,-33.02557081038037,12474.127669455584,12310.9952537637,4.082391741078865,2.0,24785.122923219285,24785.122923219285,1.0,legislative_activity_provisional,1,0,1.0,36.601781576159446,40.281064574846944,40.045981708957605,,1.3642396108817936,4.082391741078865,0.1830251088355167,0.044457611591272914,94.08089166596302,0.044457611591272914,0.044457611591272914,0.044457611591272914,-0.06566311327542955,-0.06566311327542955,0.008136859200059854,0
1998,house,9,D,Grantland,AL-1998-house-9-D-GRANTLAND,ALPERSON-GRANTLAND,0,1,4.137965261084103,matched,winner_or_incumbent_unique_surname,90.0,"Grantland, Ronald",AL1999L105,-0.075,False,1999.0,2.536310427053978,-4.191956613111324,,0.0952376865208938,0.1438426960407086,1,-0.0937541815706323,32.30511691535879,-45.13924849270297,14147.981778527404,13915.362819667544,-6.41706578867209,2.0,28063.344598194948,28063.34459819495,1.0,county_population_fallback,1,0,1.0,4.137965261084103,6.728267040165301,8.953376215726069,,-0.0937541815706323,-6.41706578867209,0.48744150181475376,-0.10467556093258402,90.19674069070336,-0.10467556093258402,-0.10467556093258402,-0.10467556093258402,-0.08347005924842739,-0.08347005924842739,-0.05102321262428052,0
1998,house,10,D,Smith,AL-1998-house-10-D-SMITH,ALPERSON-SMITH,0,0,-5.609195418709156,matched,normalized_exact,100.0,Smith,AL1996L005,0.149,True,1996.0,-19.283958205285803,-15.501486286266749,-29.41995579737051,0.1040120555970756,0.4407583581668863,1,-1.2305121077855026,27.01747996242455,-56.58676354908018,13651.02759151881,13480.80227084673,-14.784641793327816,2.0,27131.829862365543,27131.829862365543,1.0,county_population_fallback,1,0,1.0,-5.609195418709156,-3.782471919019054,-4.499316411957986,10.135997592084706,-1.2305121077855026,-14.784641793327816,0.7300471124474137,0.14462168268938577,96.16651186354808,0.14462168268938577,0.14462168268938577,0.14462168268938577,-0.1658271843735424,-0.1658271843735424,0.1055806418446722,0
1998,house,12,D,Morrison,AL-1998-house-12-D-MORRISON,ALPERSON-MORRISON,0,1,27.88615336635641,matched,normalized_exact,100.0,Morrison,AL1996L020,0.254,True,1996.0,26.653161626392706,-4.951414461755172,-19.40327161100228,0.0173608084819821,0.0791158540824709,0,,-20.058646627065265,-38.70942743632687,14491.795796023856,14354.270193449269,-29.384037031696067,2.0,28846.065989473125,28846.065989473125,1.0,legislative_activity_provisional,1,0,1.0,27.88615336635641,31.604576088147876,56.03719865808877,46.056433237394984,,-29.384037031696067,1.153335194288698,0.2614797656371841,97.69484083424808,0.2614797656371841,0.2614797656371841,0.2614797656371841,-0.28268526732134075,-0.28268526732134075,0.301573816303725,0
