person_id,candidate,election_cycle,issue,issue_label,reviewed_vote_records,yea_votes,nay_votes,distinct_roll_calls,distinct_bills,observed_pattern,first_vote_date,last_vote_date,source_urls
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,guns,Firearms,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2016-04-05,2017-04-18,https://legiscan.com/AL/bill/SB14/2016 | https://legiscan.com/AL/bill/SB24/2017
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,immigration,Immigration,4,0,4,4,3,The candidate opposed all 4 reviewed motions in this issue sample.,2012-04-19,2025-04-17,https://legiscan.com/AL/bill/HB100/2017 | https://legiscan.com/AL/bill/HB7/2025 | https://legiscan.com/AL/bill/HB658/2012
ALPERSON-ALAN-HARPER,Alan Harper,2010,immigration,Immigration,2,2,0,2,2,The candidate supported all 2 reviewed motions in this issue sample.,2012-04-19,2017-02-14,https://legiscan.com/AL/bill/HB100/2017 | https://legiscan.com/AL/bill/HB658/2012
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,immigration,Immigration,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2012-04-19,2017-02-14,https://legiscan.com/AL/bill/HB100/2017 | https://legiscan.com/AL/bill/HB658/2012
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,immigration,Immigration,3,0,3,3,3,The candidate opposed all 3 reviewed motions in this issue sample.,2012-04-19,2025-04-17,https://legiscan.com/AL/bill/HB100/2017 | https://legiscan.com/AL/bill/HB7/2025 | https://legiscan.com/AL/bill/HB658/2012
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,immigration,Immigration,3,3,0,3,2,The candidate supported all 3 reviewed motions in this issue sample.,2017-02-14,2025-04-17,https://legiscan.com/AL/bill/HB100/2017 | https://legiscan.com/AL/bill/HB7/2025
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,immigration,Immigration,3,0,3,3,2,The candidate opposed all 3 reviewed motions in this issue sample.,2017-02-14,2025-04-17,https://legiscan.com/AL/bill/HB100/2017 | https://legiscan.com/AL/bill/HB7/2025
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,immigration,Immigration,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2017-02-14,2017-02-14,https://legiscan.com/AL/bill/HB100/2017
ALPERSON-ALAN-HARPER,Alan Harper,2010,assisted_dying,Assisted dying,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB96/2017
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,assisted_dying,Assisted dying,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB96/2017
