sample,outcome,specification,term,coefficient,cluster_se,ci_low,ci_high,p_value
all,candidate_cmo,party_specific_incumbency,intercept,-0.4778248192113347,2.2204643646931013,-4.829934974009813,3.874285335587144,0.8298104664344673
all,candidate_cmo,party_specific_incumbency,democratic_i,17.459339432968022,2.084327347179607,13.374057832495993,21.544621033440052,5.5866939908445736e-15
all,candidate_cmo,party_specific_incumbency,incumbent_i,8.523205514542862,2.9675180500612703,2.706870136422773,14.339540892662953,0.004461073777240436
all,candidate_cmo,party_specific_incumbency,democratic_x_incumbency,-5.278414648292716,4.17041875683261,-13.452435411684633,2.8956061150991994,0.20691957147615922
all,candidate_cmo,party_specific_incumbency,cycle_2002,8.545561171308496,2.457656529297584,3.728554373885231,13.36256796873176,0.000606803276057519
all,candidate_cmo,party_specific_incumbency,cycle_2006,10.24384182266971,2.793037230052428,4.76948885176695,15.718194793572469,0.0003047135170623138
all,candidate_cmo,party_specific_incumbency,cycle_2010,-5.5588811946014065,2.6182480656869336,-10.690647403347796,-0.4271149858550167,0.034820855114337954
all,candidate_cmo,party_specific_incumbency,cycle_2014,-7.1484831680022936,3.132263732194601,-13.28772008310371,-1.0092462529008754,0.023399229846299795
all,candidate_cmo,party_specific_incumbency,cycle_2018,-4.019397073997215,3.4785390345578584,-10.837333581730618,2.7985394337361873,0.24910163170486302
all,candidate_cmo,party_specific_incumbency,chamber_senate,0.7017331432812778,1.6720386383527217,-2.5754625878900566,3.9789288744526123,0.6751091968577523
all,candidate_cmo,party_specific_incumbency_plus_ideology,intercept,2.753969527681185,6.286642516923404,-9.567849805488686,15.075788860851057,0.6617525810013378
all,candidate_cmo,party_specific_incumbency_plus_ideology,democratic_i,17.188327650580447,6.431614669953943,4.58236289747072,29.794292403690175,0.008073153737721559
all,candidate_cmo,party_specific_incumbency_plus_ideology,incumbent_i,7.175694854790917,2.944874465214514,1.40374090297047,12.947648806611365,0.01558971823273136
all,candidate_cmo,party_specific_incumbency_plus_ideology,democratic_x_incumbency,-3.8690284367456207,4.085433211519447,-11.876477531323738,4.138420657832496,0.3446260310447118
all,candidate_cmo,party_specific_incumbency_plus_ideology,absolute_np_z,-4.556351289716998,6.130623782590837,-16.57237390359504,7.459671324161043,0.4581186417592792
all,candidate_cmo,party_specific_incumbency_plus_ideology,democratic_x_ideology,24.029748626325855,6.640078516926195,11.015194733150512,37.0443025195012,0.0003644224568026145
all,candidate_cmo,party_specific_incumbency_plus_ideology,cycle_2002,8.778304018901709,2.356915466984693,4.1587497036117105,13.397858334191707,0.00024673067070405834
all,candidate_cmo,party_specific_incumbency_plus_ideology,cycle_2006,10.741857162892643,2.6333086235863887,5.580572260663321,15.903142065121965,6.248206642029841e-05
all,candidate_cmo,party_specific_incumbency_plus_ideology,cycle_2010,-4.475062714656093,2.6595047230353455,-9.68769197180537,0.7375665424931839,0.09380830588889243
all,candidate_cmo,party_specific_incumbency_plus_ideology,cycle_2014,-4.345057082901808,3.040437570034913,-10.304314720170236,1.6142005543666214,0.15434717237535323
all,candidate_cmo,party_specific_incumbency_plus_ideology,cycle_2018,-1.6779600648216362,3.3759534987652238,-8.294828922401475,4.938908792758202,0.6196447584592975
all,candidate_cmo,party_specific_incumbency_plus_ideology,chamber_senate,2.33648894653687,1.6056238568032668,-0.8105338127975328,5.483511705871273,0.14699188633644197
all,candidate_cmo,party_specific_plus_ideology_context,intercept,3.1072440844961893,6.433601858940194,-9.50261555902659,15.71710372801897,0.6295796449559017
all,candidate_cmo,party_specific_plus_ideology_context,democratic_i,18.3739509541088,6.545356056689497,5.545053082997386,31.202848825220215,0.005430532596196992
all,candidate_cmo,party_specific_plus_ideology_context,incumbent_i,6.517753515871739,3.0279598029443764,0.582952302100761,12.452554729642717,0.032406280446267956
all,candidate_cmo,party_specific_plus_ideology_context,democratic_x_incumbency,-3.688635389176751,4.028853556020652,-11.58518835897723,4.207917580623728,0.3608678586906712
all,candidate_cmo,party_specific_plus_ideology_context,absolute_np_z,-4.281675986774862,6.228569056900713,-16.48967133830026,7.926319364750536,0.49251342367402495
all,candidate_cmo,party_specific_plus_ideology_context,democratic_x_ideology,19.60479538725511,7.0470697421654975,5.792538692610734,33.417052081899485,0.005855246260718582
all,candidate_cmo,party_specific_plus_ideology_context,nonwhite_share,-14.019458870162884,5.720254626586092,-25.231157938271622,-2.8077598020541448,0.015004636093494318
