person_id,candidate,evidence_items,dimensions_coded,high_confidence_items,sources,temporally_eligible_items
ALPERSON-ALAN-HARPER,Alan Harper,2,2,2,2,1
ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2,2,1,1,2
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",1,1,1,1,1
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,5,5,1,4,1
ALPERSON-BAKER,Alan Baker,1,1,1,1,0
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,5,5,0,5,1
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,4,4,3,3,3
ALPERSON-BEDDINGFIELD,David Beddingfield,3,3,2,3,3
ALPERSON-BILLY-BEASLEY,Billy Beasley,1,1,1,1,1
ALPERSON-CRAIG-FORD,Craig Ford,4,4,1,3,1
ALPERSON-DARRELL-TURNER,Darrell Turner,5,5,4,3,5
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2,2,0,2,2
ALPERSON-DENNIS-W-STEPHENS,Dennis W. Stephens,1,1,1,1,1
ALPERSON-DRAMA-BRELAND,Drama Breland,1,1,1,1,1
ALPERSON-FELICIA-STEWART,Felicia Stewart,3,3,3,2,3
ALPERSON-GREG-VARNER,Greg Varner,1,1,0,1,0
ALPERSON-HENRY-A-WHITE,Henry A. White,4,4,4,3,4
ALPERSON-HOLMES,Mike Holmes,2,1,2,2,1
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,3,3,3,3,3
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,4,3,2,4,3
ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,3,3,2,2,3
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,3,3,2,3,1
ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,3,3,2,2,3
ALPERSON-JOHN-ROBINSON,John Robinson,2,2,1,2,2
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,8,5,6,4,8
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,3,3,3,2,3
ALPERSON-LARRY-MEANS,Larry Means,6,5,3,4,6
ALPERSON-LINDA-MEIGS,Linda Meigs,2,2,1,1,2
ALPERSON-LOUISE-ALEXANDER,Louise Alexander,1,1,1,1,1
ALPERSON-MARC-KEAHEY,Marc Keahey,2,1,0,2,2
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,1,1,1,1,0
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2,2,1,2,1
ALPERSON-RANDALL-WHITE,Randall White,2,2,1,2,2
ALPERSON-REX-CHEATHAM,Rex Cheatham,2,2,2,1,2
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,4,4,3,4,3
ALPERSON-TAMMY-L-IRONS,Tammy Irons,5,4,2,5,4
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2,2,2,2,2
