person_id,candidate,election_cycle,roll_call_id,bill_number,vote_date,human_issue_code,policy_direction_of_yea,vote,candidate_position,evidence_timing,source_url,state_link
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,85995,SB419,2011-05-24,public_employee_benefits,increases retiree PEEHIP cost-sharing and tightens employer contribution policy,Nay,opposes: increases retiree PEEHIP cost-sharing and tightens employer contribution policy,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,85995,SB419,2011-05-24,public_employee_benefits,increases retiree PEEHIP cost-sharing and tightens employer contribution policy,Nay,opposes: increases retiree PEEHIP cost-sharing and tightens employer contribution policy,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,85995,SB419,2011-05-24,public_employee_benefits,increases retiree PEEHIP cost-sharing and tightens employer contribution policy,Nay,opposes: increases retiree PEEHIP cost-sharing and tightens employer contribution policy,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,85995,SB419,2011-05-24,public_employee_benefits,increases retiree PEEHIP cost-sharing and tightens employer contribution policy,Nay,opposes: increases retiree PEEHIP cost-sharing and tightens employer contribution policy,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,85995,SB419,2011-05-24,public_employee_benefits,increases retiree PEEHIP cost-sharing and tightens employer contribution policy,Nay,opposes: increases retiree PEEHIP cost-sharing and tightens employer contribution policy,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,85995,SB419,2011-05-24,labor_unions,increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,Nay,opposes: increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,85995,SB419,2011-05-24,labor_unions,increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,Nay,opposes: increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,85995,SB419,2011-05-24,labor_unions,increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,Nay,opposes: increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,85995,SB419,2011-05-24,labor_unions,increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,Nay,opposes: increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,85995,SB419,2011-05-24,labor_unions,increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,Nay,opposes: increases education-employee retiree health cost-sharing and reduces the supermajority requirement for changing participant costs,post_election,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419
