alabama_democratic_third,candidate_cycles,mean_absolute_np,median_absolute_np,mean_national_democratic_percentile
liberal,70,-0.5511142857142858,-0.504,65.99136319224135
middle,69,-0.13555072463768117,-0.13,88.06498549256149
conservative,70,0.16307142857142856,0.1175,95.5574721655951
