sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value,primary_bh_q_value,congruence_bh_q_value
R,candidate_statewide_overperformance,issue_total:family:environment_resources,22,22,issue_conservative_environment_resources,estimated,2.101710865351015,6.474795028597691,-10.588887390700458,14.792309121402488,0.7486959892384897,,
R,candidate_statewide_overperformance,issue_mediator_adjusted:family:environment_resources,16,16,issue_conservative_environment_resources,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:environment_resources,22,22,issue_conservative_environment_resources,estimated,12.20530732270195,10.00252806462832,-7.399647683969556,31.810262329373458,0.23590669795148378,,
R,candidate_statewide_overperformance,issue_district_congruence:family:environment_resources,22,22,issue_congruence_environment_resources,estimated,27.72096745578938,11.68023664771034,4.827703626277117,50.61423128530164,0.027249725264779888,,
R:2008_2014,candidate_statewide_overperformance,issue_era:family:environment_resources,10,10,issue_conservative_environment_resources,underpowered,,,,,,,
R:pre_2008,candidate_statewide_overperformance,issue_era:family:environment_resources,12,12,issue_conservative_environment_resources,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_total:family:environment_resources,22,22,issue_conservative_environment_resources,estimated,-5.692651081641043,8.98931766956047,-23.311713713979564,11.92641155069748,0.5333949689947761,,
R,candidate_federal_overperformance,issue_mediator_adjusted:family:environment_resources,16,16,issue_conservative_environment_resources,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:environment_resources,22,22,issue_conservative_environment_resources,estimated,11.081656928300525,7.29120813016413,-3.2091110068211695,25.372424863422218,0.14345871854896863,,
R,candidate_federal_overperformance,issue_district_congruence:family:environment_resources,22,22,issue_congruence_environment_resources,estimated,32.49927727195409,9.416563497274835,14.042812817295417,50.95574172661277,0.0023916460787746126,,
R:2008_2014,candidate_federal_overperformance,issue_era:family:environment_resources,10,10,issue_conservative_environment_resources,underpowered,,,,,,,
R:pre_2008,candidate_federal_overperformance,issue_era:family:environment_resources,12,12,issue_conservative_environment_resources,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_total:family:environment_resources,21,21,issue_conservative_environment_resources,estimated,-0.7684063462797208,7.803163831573452,-16.062607456163686,14.525794763604246,0.9225364370595769,,
R,candidate_presidential_overperformance,issue_mediator_adjusted:family:environment_resources,15,15,issue_conservative_environment_resources,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_district_congruence:family:environment_resources,21,21,issue_conservative_environment_resources,estimated,9.29952765125453,12.416831902853298,-15.037462878337932,33.63651818084699,0.4626083856165272,,
R,candidate_presidential_overperformance,issue_district_congruence:family:environment_resources,21,21,issue_congruence_environment_resources,estimated,26.37791241003742,13.09541871394117,0.7108917307127278,52.04493308936212,0.057626527612923244,,
R:2008_2014,candidate_presidential_overperformance,issue_era:family:environment_resources,10,10,issue_conservative_environment_resources,underpowered,,,,,,,
R:pre_2008,candidate_presidential_overperformance,issue_era:family:environment_resources,11,11,issue_conservative_environment_resources,underpowered,,,,,,,
all,candidate_cmo,issue_pooled_convergence:family:environment_resources,42,42,issue_convergence_environment_resources,estimated,2.6158707103837378,6.535029961256182,-10.192788013678378,15.424529434445855,0.6910251436479067,,
all,candidate_statewide_overperformance,issue_pooled_convergence:family:environment_resources,42,42,issue_convergence_environment_resources,estimated,-2.568665702037952,6.264865342918733,-14.847801774158668,9.710470370082763,0.6839322266849277,,
all,candidate_federal_overperformance,issue_pooled_convergence:family:environment_resources,42,42,issue_convergence_environment_resources,estimated,8.744908546966311,9.68880512807181,-10.245149504054435,27.734966597987057,0.37202183040788006,,
all,candidate_presidential_overperformance,issue_pooled_convergence:family:environment_resources,40,40,issue_convergence_environment_resources,estimated,9.894640738710855,9.967490548759459,-9.641640736857685,29.430922214279395,0.32697984565386007,,
D,candidate_cmo,issue_total:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_cmo,issue_mediator_adjusted:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_cmo,issue_district_congruence:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_cmo,issue_district_congruence:family:institutional_reform,4,4,issue_congruence_institutional_reform,underpowered,,,,,,,
D:2008_2014,candidate_cmo,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
D:post_2016,candidate_cmo,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_total:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_mediator_adjusted:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_district_congruence:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_district_congruence:family:institutional_reform,4,4,issue_congruence_institutional_reform,underpowered,,,,,,,
D:2008_2014,candidate_statewide_overperformance,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
D:post_2016,candidate_statewide_overperformance,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_total:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_mediator_adjusted:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_district_congruence:family:institutional_reform,4,4,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_district_congruence:family:institutional_reform,4,4,issue_congruence_institutional_reform,underpowered,,,,,,,
D:2008_2014,candidate_federal_overperformance,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
D:post_2016,candidate_federal_overperformance,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_total:family:institutional_reform,3,3,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_mediator_adjusted:family:institutional_reform,3,3,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:institutional_reform,3,3,issue_conservative_institutional_reform,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:institutional_reform,3,3,issue_congruence_institutional_reform,underpowered,,,,,,,
D:2008_2014,candidate_presidential_overperformance,issue_era:family:institutional_reform,1,1,issue_conservative_institutional_reform,underpowered,,,,,,,
D:post_2016,candidate_presidential_overperformance,issue_era:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_cmo,issue_total:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
R,candidate_cmo,issue_mediator_adjusted:family:institutional_reform,2,2,issue_conservative_institutional_reform,underpowered,,,,,,,
