cycle,district_context,n,median_oof_cmo,mean_oof_cmo,median_raw_overperformance,robust_positive_share
2010,mixed_or_demographics_missing,63,-1.6808771177207298,-0.3890518845271992,13.316318093088674,0.42857142857142855
2014,majority_nonwhite,12,0.20867742450941856,3.286657957086193,26.28224127802108,0.4166666666666667
2014,majority_white_higher_college,2,9.780731509671082,9.780731509671082,-0.43812120092541207,1.0
2014,majority_white_lower_college,22,4.0651143424415555,7.367795477408472,16.019742210498944,0.5454545454545454
2014,mixed_or_demographics_missing,20,-8.609437621401188,-10.211400027964725,-7.561089970024593,0.4
2018,majority_nonwhite,6,10.36105163982885,7.672996995451449,20.69901076785643,0.3333333333333333
2018,majority_white_higher_college,14,0.40521123783016666,4.078463322138302,-7.312158712781297,0.42857142857142855
2018,majority_white_lower_college,13,-3.850121561272406,-0.7583050405349686,-5.51711272552599,0.23076923076923078
2018,mixed_or_demographics_missing,31,-4.192815978631836,-3.546583244402725,-5.09502275856546,0.22580645161290322
2022,majority_nonwhite,9,6.476796078587959,2.876565107408946,13.74662883798458,0.4444444444444444
2022,majority_white_higher_college,3,3.583549294790896,1.750060752847632,0.8167255066005055,0.3333333333333333
2022,majority_white_lower_college,4,-3.4417329743587786,-2.090270437721326,2.345228823215507,0.25
2022,mixed_or_demographics_missing,17,-3.560545092217289,-0.6613669985868826,0.903066071873326,0.4117647058823529
