person_id,candidate,cycle,chamber,district,incumbent,nonwhite_share,shor_np_score,shor_al_dem_conservative_percentile,candidate_cmo_total_oof,candidate_cmo_total_district_grouped,candidate_cmo_resource_adjusted_oof,cmo_geography_low,cmo_geography_high
ALPERSON-GREG-BURDINE,Greg Burdine,2014,house,1,1,0.1932156192646035,-0.304,76.31578947368422,-3.3907055893279896,1.7220286399130806,0.2438182233059862,-5.851265857730777,-3.390705589327993
ALPERSON-MARCEL-BLACK,Marcel Black,2014,house,3,1,0.2803276557014692,-0.223,81.57894736842105,11.899633882960536,11.66313495345295,10.485518246265077,11.397653323844793,11.899633882960526
ALPERSON-HENRY-A-WHITE,Henry A. White,2014,house,5,0,0.2309144211075861,-0.23,78.94736842105263,29.729306552658905,30.145823951525127,30.87876666443029,29.72930655265891,32.08219571398673
ALPERSON-JOHNNY-MACK-MORROW,Johnny MacK Morrow,2014,house,18,1,0.1899286016148046,0.002,94.73684210526316,27.68915461454625,27.13655061541477,27.64065824918615,27.68915461454626,28.188691382190648
ALPERSON-JOHN-ROBINSON,John Robinson,2014,house,23,1,0.1103062086129504,-0.169,86.8421052631579,4.459305773794949,2.817747279185614,4.793356971154481,3.85355252538076,4.459305773794945
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,house,27,0,0.0683775592525565,-0.016,92.10526315789474,37.692109000464725,37.40624981040256,36.53321630391131,35.29411564316436,37.692109000464725
ALPERSON-CRAIG-FORD,Craig Ford,2014,house,28,1,0.365463672162361,-0.152,89.47368421052632,23.68662617909687,23.684031113758977,22.874717004097988,8.101932268469518,23.68662617909688
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,house,39,1,0.1094398571747378,-0.13,92.10526315789474,40.756299374806446,38.8175771183882,36.18161897758856,40.75629937480645,41.11060943033105
ALPERSON-MIKE-CURTIS,Mike Curtis,2014,senate,1,0,0.1836483478733834,-0.146,100.0,13.901878265861908,14.823355724586564,9.642925364371363,11.791372013238044,13.901878265861916
ALPERSON-ROGER-BEDFORD-JR,"Roger Bedford, Jr.",2014,senate,6,1,0.2294089800080113,-0.396,81.81818181818183,-8.15760301655309,-7.643122141118425,-10.168478588360284,-9.750162141468484,-8.157603016553079
ALPERSON-LARRY-MEANS,Larry Means,2014,senate,10,0,0.1901295208022688,0.143,100.0,29.13324637426904,31.70308562448537,24.647819818074773,28.7920874252652,29.13324637426905
ALPERSON-PHIL-POOLE,Phil Poole,2014,senate,21,0,0.2081564986737401,-0.161,100.0,12.941014600513608,9.70023089052942,12.324244794026136,11.109609888353626,12.941014600513604
ALPERSON-ELAINE-BEECH,Elaine Beech,2018,house,65,1,0.4090782576425291,0.091,100.0,-5.143623559004892,-6.37331494674496,-4.620624246457572,-5.143623559004892,-4.297843779766309
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,senate,6,0,0.2312443260458678,0.002,100.0,31.14717422709608,31.53066346960719,30.740636755323703,30.2020616523975,31.14717422709608
