cycle,chamber,district,candidate,candidate_cmo_total_oof,shor_match_status,shor_similarity,shor_suggested_name
2014,house,7,John (Jody) Letson,37.152067339362816,ambiguous_multiple_scores,100.0,Letson
2010,house,5,HENRY A. WHITE,-4.410210802999908,fuzzy_review,95.0,henry white
2010,house,16,"WILLIAM E. THIGPEN, SR.",1.1014822904799324,fuzzy_review,95.0,thigpen william
2014,house,16,Daniel H. Boman,-64.72643785224722,fuzzy_review,95.0,boman daniel
2014,house,52,John W. Rogers  Jr.,1.0888403999084844,fuzzy_review,95.0,john rogers
2014,house,69,Kelvin J. Lawrence,-8.713631177625967,fuzzy_review,95.0,kelvin lawrence
2018,house,97,Adline C. Clarke,-16.62946314389688,fuzzy_review,95.0,adline clarke
2022,house,12,"James C. Fields, Jr.",12.042137747654712,fuzzy_review,95.0,fields james
2022,house,68,"Thomas E. ""Action"" Jackson",-13.119345423671165,fuzzy_review,95.0,jackson thomas
2022,house,69,Kelvin J. Lawrence,-4.784382154295706,fuzzy_review,95.0,kelvin lawrence
2022,senate,33,Vivian Davis Figures,-5.037608023441571,fuzzy_review,95.0,figures vivian
2010,house,27,JEFF McLAUGHLIN,16.835914301678343,fuzzy_review,90.9090909090909,jeffrey mclaughlin
2010,house,7,JOHN 'Jody' LETSON,-7.59056207044936,fuzzy_review,90.0,letson
2010,house,29,JOHN G. 'Jack' PAGE III,-9.569465662579733,fuzzy_review,90.0,john page
2010,senate,25,DOUG 'Smitty' SMITH,-50.60951043424632,fuzzy_review,90.0,smith
2014,senate,4,"Angelo ""Doc"" Mancuso",3.670922911088162,fuzzy_review,90.0,mancuso
2014,senate,22,Susan Smith,-8.036951697889567,fuzzy_review,90.0,smith
2018,house,66,Susan E. Smith,-7.130589447113426,fuzzy_review,90.0,smith
2018,senate,16,Lindsey Deckard,7.123816242528923,fuzzy_review,90.0,lindsey
2018,senate,26,"David ""Coach"" Burkette",23.543047828356347,fuzzy_review,90.0,burke
2014,house,10,Means,-62.20544920521216,fuzzy_review,90.0,larry means
2010,house,9,KATHY WHITE GOODWIN,-7.7981505976669245,unmatched,85.5,henry white
2010,house,42,JAMES M. 'Jimmy' MARTIN,-3.735957989780367,unmatched,85.5,buskey james
2010,house,73,JOSEPH LISTER 'Joe' HUBBARD,-15.448586423927622,unmatched,85.5,carothers joe
2010,house,81,BETTY CAROL GRAHAM,-16.54774351007314,unmatched,85.5,betty graham
2010,senate,17,T. E. 'Tommy' HUDSON,-25.46014676432937,unmatched,85.5,d little t
2010,senate,30,'Walking' WENDELL MITCHELL,-20.52471357901929,unmatched,85.5,joseph mitchell
2014,house,22,Dennis W. Stephens,-5.445905221774051,unmatched,85.5,mcdaniel w
2018,house,5,Brian D Williams,-3.691930857671956,unmatched,85.5,d little t
2018,house,20,Linda Meigs,15.120380750211098,unmatched,85.5,coleman linda madison
2018,house,32,Barbara Bigsby Boyd,18.54155804427397,unmatched,85.5,barbara boyd
2018,house,37,Charlotte A. Clark-Frieson,-0.8794073976738286,unmatched,85.5,clark william
2018,house,40,Pamela Jean Howard,-5.01994716502157,unmatched,85.5,hawk howard
2018,house,51,Veronica R. Johnson,9.396655238669217,unmatched,85.5,e johnson
2018,house,79,Mary Wynne Kling,4.553879013317703,unmatched,85.5,mary moore
2022,house,15,Richard P. Rouco,-5.292916462301196,unmatched,85.5,p parker
2022,house,32,Barbara Bigsby Boyd,14.758347766172662,unmatched,85.5,barbara boyd
2022,house,62,Brenda T. Cephus,-11.302087391343305,unmatched,85.5,d little t
2022,house,82,Pebblin Walker Warren,11.757015253148449,unmatched,85.5,james warren
2010,senate,4,ZEB LITTLE,-2.581864430760426,unmatched,83.33333333333334,little zebulon
2010,house,13,TOMMY SHERER,-18.42592988311932,unmatched,80.0,sherer thomas
2014,senate,28,Billy Beasley,-10.508058145304744,unmatched,78.57142857142857,beasley william
2010,house,86,MERRITT CAROTHERS,-10.919907768033768,unmatched,77.72727272727272,carothers joe
2018,house,38,Brian McGee,-8.142814732245341,unmatched,77.14285714285715,ghee
2018,senate,21,Rick Burnham,1.2500376907511512,unmatched,77.14285714285715,turnham
2022,house,33,"Fred Crum, Sr.",-5.443061031123301,unmatched,77.14285714285715,reed
2022,senate,27,Sherri Reese,-1.449806608799696,unmatched,77.14285714285715,reed
2010,senate,9,TIM MITCHELL,0.8268087940844913,unmatched,76.0,joseph mitchell
2010,house,26,RANDALL WHITE,21.631200749515003,unmatched,75.86206896551724,frank paul white
2018,house,90,Joanne Whetstone,-5.460621110998908,unmatched,75.00000000000001,letson
2022,house,92,Steve Hubbard,-13.51975354982246,unmatched,75.0,hurst steve
