organization,records
Business Council of Alabama,65
Alabama Association of Realtors,62
Alabama Grocers Association,38
Alabama Retail Association,34
Conservative Christians of Alabama,17
Emerge America,14
Run for Something,6
League of Southeastern Credit Unions,4
Eagle Forum,3
International Brotherhood of Boilermakers,3
Home Builders of Association of Alabama,2
Veterans For America First,2
AIPAC PAC (American Israel Public Affairs Committee),1
CASA in Action,1
Campaign for Working Families,1
National Association of Home Builders,1
Sportsmen's and Animal Owners' Voting Alliance,1
VoteVets,1
Women's Campaign Fund,1
