primitive_axis,era,n,negative_pole,middle,positive_pole,minority_pole_count,minority_pole_share,stance_mean,stance_sd,stance_min,stance_q25,stance_median,stance_q75,stance_max,variation_class
abortion_access,2008_2014,29,15,5,9,9,0.3103448275862069,-0.15804597701149428,0.7169797307585167,-1.0,-1.0,-0.25,0.3333333333333333,1.0,weakly_two_sided
abortion_access,post_2016,30,4,0,26,4,0.13333333333333333,0.7333333333333333,0.6456455974820031,-1.0,1.0,1.0,1.0,1.0,one_sided
abortion_access,pre_2008,75,45,11,19,19,0.25333333333333335,-0.2928253968253968,0.6802159500016121,-1.0,-1.0,-0.3333333333333333,0.1,1.0,two_sided_usable
abortion_public_funding,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
abortion_public_funding,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
affirmative_action,post_2016,6,0,0,6,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
anti_discrimination,2008_2014,27,2,1,24,2,0.07407407407407407,0.8148148148148148,0.557262335477027,-1.0,1.0,1.0,1.0,1.0,sparse
anti_discrimination,post_2016,25,2,0,23,2,0.08,0.84,0.5537749241945382,-1.0,1.0,1.0,1.0,1.0,sparse
anti_discrimination,pre_2008,48,35,0,13,13,0.2708333333333333,-0.4131944444444444,0.7718370087047551,-1.0,-1.0,-1.0,0.3333333333333333,1.0,two_sided_usable
bioethics_end_of_life,2008_2014,5,5,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
bioethics_end_of_life,post_2016,12,1,3,8,1,0.08333333333333333,0.5833333333333334,0.6685579234215214,-1.0,0.0,1.0,1.0,1.0,sparse
business_subsidy,2008_2014,51,0,0,51,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
business_subsidy,post_2016,12,0,0,12,0,0.0,0.9530303030303031,0.08508919025364815,0.8,0.9545454545454546,1.0,1.0,1.0,sparse
business_subsidy,pre_2008,15,0,0,15,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
campaign_finance_disclosure,2008_2014,23,0,2,21,0,0.0,0.9130434782608695,0.2881040655200304,0.0,1.0,1.0,1.0,1.0,sparse
campaign_finance_disclosure,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
campaign_finance_restrictions,2008_2014,34,0,1,33,0,0.0,0.8970588235294118,0.2595473458114451,0.0,1.0,1.0,1.0,1.0,sparse
campaign_finance_restrictions,post_2016,20,2,0,18,2,0.1,0.8,0.6155870112510925,-1.0,1.0,1.0,1.0,1.0,sparse
campaign_finance_restrictions,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
campaign_public_funding,post_2016,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
childcare_support,2008_2014,4,0,0,4,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
childcare_support,post_2016,5,0,0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
childcare_support,pre_2008,36,0,0,36,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
civil_social_liberty,2008_2014,48,37,8,3,3,0.0625,-0.5930555555555556,0.5586609426632293,-1.0,-1.0,-1.0,-0.2,1.0,one_sided
civil_social_liberty,post_2016,26,9,2,15,9,0.34615384615384615,0.3474358974358974,0.7734582127287853,-1.0,-0.3333333333333333,1.0,1.0,1.0,weakly_two_sided
civil_social_liberty,pre_2008,80,30,9,41,30,0.375,-0.0022916666666666584,0.7707571777285024,-1.0,-1.0,0.29166666666666663,0.6,1.0,two_sided_usable
climate_energy,2008_2014,9,2,6,1,1,0.1111111111111111,-0.1111111111111111,0.6009252125773316,-1.0,0.0,0.0,0.0,1.0,sparse
confederate_commemoration,2008_2014,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
confederate_commemoration,post_2016,8,5,1,2,2,0.25,-0.375,0.9161253813129043,-1.0,-1.0,-1.0,0.25,1.0,sparse
confederate_commemoration,pre_2008,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
conservation_preservation,2008_2014,24,2,0,22,2,0.08333333333333333,0.8333333333333334,0.5646597025732799,-1.0,1.0,1.0,1.0,1.0,sparse
conservation_preservation,post_2016,3,0,0,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
conservation_preservation,pre_2008,9,1,0,8,1,0.1111111111111111,0.7777777777777778,0.6666666666666666,-1.0,1.0,1.0,1.0,1.0,sparse
constitutional_reform,2008_2014,22,0,0,22,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
constitutional_reform,post_2016,6,0,0,6,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
constitutional_reform,pre_2008,4,0,0,4,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
criminal_punishment,2008_2014,55,18,1,36,18,0.32727272727272727,0.20872303284067992,0.8709771291928153,-1.0,-1.0,0.6923076923076923,0.8786764705882353,1.0,two_sided_usable
criminal_punishment,post_2016,30,13,1,16,13,0.43333333333333335,0.005291005291005281,0.7420480032960947,-1.0,-0.8333333333333333,0.3333333333333333,0.4285714285714285,1.0,two_sided_usable
criminal_punishment,pre_2008,99,4,8,87,4,0.04040404040404041,0.6228624977472146,0.41202759736292666,-1.0,0.37857142857142856,0.6666666666666666,1.0,1.0,one_sided
defense_spending,post_2016,2,1,0,1,1,0.5,0.0,1.4142135623730951,-1.0,-0.5,0.0,0.5,1.0,sparse
deficit_discipline,2008_2014,12,12,0,0,0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
deficit_discipline,post_2016,5,4,1,0,0,0.0,-0.8,0.44721359549995804,-1.0,-1.0,-1.0,-1.0,0.0,sparse
deficit_discipline,pre_2008,23,4,0,19,4,0.17391304347826086,0.6521739130434783,0.7751067757631797,-1.0,1.0,1.0,1.0,1.0,one_sided
digital_content_regulation,post_2016,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
digital_privacy,2008_2014,37,0,0,37,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
