canonical_candidate_id,election_year,candidate_name,ballotpedia_url,section,subsection_year,link_text,link_url,source_category
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_The Alabama Legislature_, ""Representative Morrow, Johnny Mack District/Biography,"" accessed April 14, 2017",http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Morrow&OID_SPONSOR=85932&OID_PERSON=1058&SESSNAME=Regular%20Session%202017,official_or_election_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Democrats,_ ""Qualified candidates for public office list,"" accessed February 27, 2014",http://aldemocrats.org/images/uploads/2014_Qualified_Candidates_press.xls,other_external_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Republican Party,_ ""State Senate,"" accessed February 27, 2014",http://algop.org/elections-2014/2014-qualified-state-republican-candidates/state-senate/,other_external_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official Democratic Primary Results,"" accessed June 20, 2014",http://www.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-CertifiedResults-DemParty_2014-06-13.pdf,official_or_election_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official Republican Primary Results,"" accessed June 20, 2014",http://www.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-CertifiedResults-RepParty_2014-06-13.pdf,official_or_election_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_waaytv.com_, ""Election Results,"" accessed November 6, 2014",http://web.waaytv.com/election/,news_article_or_profile
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Democratic primary results and runoff candidates,"" June 11, 2010",http://www.sos.state.al.us/downloads/election/2010/primaryro/2010-Primary-DemCert-2010-06-11.pdf,other_external_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official 2010 General election results,"" accessed July 8, 2015",http://www.alabamavotes.gov/downloads/election/2010/general/2010GeneralResults-AllStateAndFederalOfficesAndAmendments-CompleteWithWrite-inAppendix.pdf,official_or_election_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official 2006 election results,"" accessed April 15, 2014",http://www.alabamavotes.gov/downloads/election/2006/general/alhouse-certificate-of-election-12-29-2006.pdf,official_or_election_source
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Project Vote Smart_, ""Johnny Mack Morrow's Biography,"" accessed July 18, 2015",http://votesmart.org/candidate/biography/5688,candidate_or_campaign_site
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_The Alabama Legislature_, ""Representative Morrow, Johnny Mack District/Biography,"" accessed April 14, 2017",http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Morrow&OID_SPONSOR=85932&OID_PERSON=1058&SESSNAME=Regular%20Session%202017,official_or_election_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Democrats,_ ""Qualified candidates for public office list,"" accessed February 27, 2014",http://aldemocrats.org/images/uploads/2014_Qualified_Candidates_press.xls,other_external_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Republican Party,_ ""State Senate,"" accessed February 27, 2014",http://algop.org/elections-2014/2014-qualified-state-republican-candidates/state-senate/,other_external_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official Democratic Primary Results,"" accessed June 20, 2014",http://www.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-CertifiedResults-DemParty_2014-06-13.pdf,official_or_election_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official Republican Primary Results,"" accessed June 20, 2014",http://www.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-CertifiedResults-RepParty_2014-06-13.pdf,official_or_election_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_waaytv.com_, ""Election Results,"" accessed November 6, 2014",http://web.waaytv.com/election/,news_article_or_profile
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Democratic primary results and runoff candidates,"" June 11, 2010",http://www.sos.state.al.us/downloads/election/2010/primaryro/2010-Primary-DemCert-2010-06-11.pdf,other_external_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official 2010 General election results,"" accessed July 8, 2015",http://www.alabamavotes.gov/downloads/election/2010/general/2010GeneralResults-AllStateAndFederalOfficesAndAmendments-CompleteWithWrite-inAppendix.pdf,official_or_election_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official 2006 election results,"" accessed April 15, 2014",http://www.alabamavotes.gov/downloads/election/2006/general/alhouse-certificate-of-election-12-29-2006.pdf,official_or_election_source
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Project Vote Smart_, ""Johnny Mack Morrow's Biography,"" accessed July 18, 2015",http://votesmart.org/candidate/biography/5688,candidate_or_campaign_site
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_The Alabama Legislature_, ""Representative Morrow, Johnny Mack District/Biography,"" accessed April 14, 2017",http://www.legislature.state.al.us/aliswww/ISD/ALRepresentative.aspx?NAME=Morrow&OID_SPONSOR=85932&OID_PERSON=1058&SESSNAME=Regular%20Session%202017,official_or_election_source
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Democrats,_ ""Qualified candidates for public office list,"" accessed February 27, 2014",http://aldemocrats.org/images/uploads/2014_Qualified_Candidates_press.xls,other_external_source
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Republican Party,_ ""State Senate,"" accessed February 27, 2014",http://algop.org/elections-2014/2014-qualified-state-republican-candidates/state-senate/,other_external_source
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official Democratic Primary Results,"" accessed June 20, 2014",http://www.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-CertifiedResults-DemParty_2014-06-13.pdf,official_or_election_source
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Footnotes,,"_Alabama Secretary of State_, ""Official Republican Primary Results,"" accessed June 20, 2014",http://www.alabamavotes.gov/downloads/election/2014/primary/2014-Pri-CertifiedResults-RepParty_2014-06-13.pdf,official_or_election_source
