canonical_candidate_id,election_cycle,primitive_axis,person_id,candidate_name,issue_valence,absolute_evidence_weight,evidence_records,source_types,source_type_count,conflict_ratio,position_status,issue_score_available,model_issue_valence
AL-2014-senate-19-D-PRISCILLA-DUNN,2014.0,immigration_enforcement,ALPERSON-PRISCILLA-DUNN,Priscilla Dunn,0.0,26.0,26,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-100-R-VICTOR-GASTON,2014.0,healthcare_access,ALPERSON-VICTOR-GASTON,Victor Gaston,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-2-R-LYNN-GREER,2014.0,healthcare_access,ALPERSON-LYNN-GREER,Lynn Greer,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-41-R-MIKE-HILL,2014.0,healthcare_access,ALPERSON-MIKE-HILL,Mike Hill,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-49-R-APRIL-WEAVER,2014.0,healthcare_access,ALPERSON-APRIL-WEAVER,April Weaver,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-5-R-DAN-WILLIAMS,2014.0,healthcare_access,ALPERSON-DAN-WILLIAMS,Dan Williams,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-51-R-ALLEN-TREADAWAY,2014.0,healthcare_access,ALPERSON-ALLEN-TREADAWAY,Allen Treadaway,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-66-R-ALAN-BAKER,2014.0,healthcare_access,ALPERSON-ALAN-BAKER,Alan Baker,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-79-R-MIKE-HUBBARD,2014.0,healthcare_access,ALPERSON-MIKE-HUBBARD,Mike Hubbard,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-88-R-PAUL-BECKMAN,2014.0,healthcare_access,ALPERSON-PAUL-BECKMAN,Paul Beckman,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
AL-2014-house-96-R-RANDY-DAVIS,2014.0,healthcare_access,ALPERSON-RANDY-DAVIS,Randy Davis,0.0,12.0,12,legislative_rollcall,1,1.0,conflicted,False,
