session_year,chamber,source_system,rollcalls,member_votes,identified_member_votes,source_expected,source_present,identified_vote_share,low_rollcall_volume,coverage_flag
1998,house,adah_journal,1626,111097,107021,True,True,0.9633113405402486,False,covered
1998,senate,adah_journal,207,5644,5247,True,True,0.9296598157335223,True,member_identity_below_95pct
1999,house,adah_journal,1656,131086,128528,True,True,0.9804860930991868,False,covered
1999,senate,adah_journal,804,22412,21736,True,True,0.9698375870069605,False,covered
2000,house,adah_journal,1991,157260,154291,True,True,0.9811204374920514,False,covered
2000,senate,,0,0,0,True,False,,False,missing_session_chamber
2001,house,adah_journal,1880,147556,145921,True,True,0.9889194610859606,False,covered
2001,senate,adah_journal,1373,38658,37485,True,True,0.9696569920844327,False,covered
2002,house,adah_journal,1008,83059,82113,True,True,0.9886105057850444,False,covered
2002,senate,adah_journal,1058,30015,29215,True,True,0.9733466600033317,False,covered
2003,house,adah_journal,1620,132102,127728,True,True,0.9668892219648454,False,covered
2003,senate,adah_journal,1440,43258,43166,True,True,0.9978732257617088,False,covered
2004,house,adah_journal,1317,103641,100037,True,True,0.9652261170772185,False,covered
2004,senate,adah_journal,1520,43257,43255,True,True,0.9999537647086021,False,covered
2005,house,adah_journal,1177,92436,89433,True,True,0.9675126574062054,False,covered
2005,senate,adah_journal,820,24972,24970,True,True,0.9999199102995355,False,covered
2006,house,adah_journal,1321,117462,112873,True,True,0.9609320461085287,False,covered
2006,senate,adah_journal,1451,42865,42864,True,True,0.9999766709436604,False,covered
2007,house,adah_journal,1201,107250,105038,True,True,0.9793752913752913,False,covered
2007,senate,adah_journal,901,27184,26692,True,True,0.9819011183048852,False,covered
2008,house,adah_journal,1292,114615,112489,True,True,0.9814509444662566,False,covered
2008,senate,adah_journal,917,26153,24752,True,True,0.9464306198141704,False,member_identity_below_95pct
2009,house,adah_journal,1517,133693,131111,True,True,0.9806870965570373,False,covered
2009,senate,adah_journal,1374,35942,34633,True,True,0.9635802125646875,False,covered
2010,house,legiscan,404,41658,41658,True,True,1.0,False,covered
2010,senate,legiscan,376,13160,13160,True,True,1.0,False,covered
2011,house,legiscan,914,95456,95456,True,True,1.0,False,covered
2011,senate,legiscan,746,26110,26110,True,True,1.0,False,covered
2012,house,legiscan,1173,123165,123165,True,True,1.0,False,covered
2012,senate,legiscan,965,33775,33775,True,True,1.0,False,covered
2013,house,legiscan,872,90408,90408,True,True,1.0,False,covered
2013,senate,legiscan,864,30110,30110,True,True,1.0,False,covered
2014,house,legiscan,725,75214,75214,True,True,1.0,False,covered
2014,senate,legiscan,709,24815,24815,True,True,1.0,False,covered
2015,house,legiscan,1011,106028,106028,True,True,1.0,False,covered
2015,senate,legiscan,928,32480,32480,True,True,1.0,False,covered
2016,house,legiscan,762,79685,79685,True,True,1.0,False,covered
2016,senate,legiscan,751,26285,26285,True,True,1.0,False,covered
2017,house,legiscan,742,77331,77331,True,True,1.0,False,covered
2017,senate,legiscan,789,27615,27615,True,True,1.0,False,covered
2018,house,legiscan,828,84511,84511,True,True,1.0,False,covered
2018,senate,legiscan,775,26350,26350,True,True,1.0,False,covered
2019,house,legiscan,832,86574,86574,True,True,1.0,False,covered
2019,senate,legiscan,835,29225,29225,True,True,1.0,False,covered
2020,house,legiscan,360,37795,37795,True,True,1.0,False,covered
2020,senate,legiscan,323,11305,11305,True,True,1.0,False,covered
2021,house,legiscan,1292,133336,133336,True,True,1.0,False,covered
2021,senate,legiscan,1295,44125,44125,True,True,1.0,False,covered
2022,house,legiscan,1030,105500,105500,True,True,1.0,False,covered
2022,senate,legiscan,867,30345,30345,True,True,1.0,False,covered
2023,house,legiscan,768,80502,80502,True,True,1.0,False,covered
2023,senate,legiscan,749,26215,26215,True,True,1.0,False,covered
2024,house,legiscan,1143,117658,117658,True,True,1.0,False,covered
2024,senate,legiscan,1004,35096,35096,True,True,1.0,False,covered
2025,house,legiscan,1682,174577,174577,True,True,1.0,False,covered
2025,senate,legiscan,1169,39746,39746,True,True,1.0,False,covered
2026,house,legiscan,1908,199258,199258,True,True,1.0,False,covered
2026,senate,legiscan,1642,57470,57470,True,True,1.0,False,covered
