election_year,coding_status,size,share
1996.0,non_scorable,22,0.10138248847926268
1996.0,position_only,3,0.013824884792626729
1996.0,rule_mapped,23,0.10599078341013825
1996.0,unmapped,169,0.7788018433179723
1998.0,non_scorable,13,0.10236220472440945
1998.0,position_only,11,0.08661417322834646
1998.0,rule_mapped,85,0.6692913385826772
1998.0,unmapped,18,0.14173228346456693
2000.0,non_scorable,22,0.08764940239043825
2000.0,position_only,3,0.01195219123505976
2000.0,rule_mapped,34,0.13545816733067728
2000.0,unmapped,192,0.7649402390438247
2002.0,non_scorable,13,0.10743801652892562
2002.0,position_only,15,0.12396694214876033
2002.0,rule_mapped,77,0.6363636363636364
2002.0,unmapped,16,0.1322314049586777
2004.0,non_scorable,22,0.09777777777777778
2004.0,position_only,2,0.008888888888888889
2004.0,rule_mapped,39,0.17333333333333334
2004.0,unmapped,162,0.72
2006.0,non_scorable,13,0.1092436974789916
2006.0,position_only,13,0.1092436974789916
2006.0,rule_mapped,76,0.6386554621848739
2006.0,unmapped,17,0.14285714285714285
2008.0,non_scorable,17,0.08854166666666667
2008.0,position_only,2,0.010416666666666666
2008.0,rule_mapped,25,0.13020833333333334
2008.0,unmapped,148,0.7708333333333334
2010.0,non_scorable,12,0.12121212121212122
2010.0,position_only,6,0.06060606060606061
2010.0,rule_mapped,52,0.5252525252525253
2010.0,unmapped,29,0.29292929292929293
2014.0,position_only,4,0.044444444444444446
2014.0,rule_mapped,49,0.5444444444444444
2014.0,unmapped,37,0.4111111111111111
2016.0,non_scorable,1,0.02127659574468085
2016.0,position_only,1,0.02127659574468085
2016.0,rule_mapped,18,0.3829787234042553
2016.0,unmapped,27,0.574468085106383
2018.0,rule_mapped,28,0.5384615384615384
2018.0,unmapped,24,0.46153846153846156
2022.0,rule_mapped,22,0.44
2022.0,unmapped,28,0.56
2024.0,rule_mapped,4,0.16666666666666666
2024.0,unmapped,20,0.8333333333333334
