canonical_candidate_id,year,issue_code,sponsorship_issue_score,directional_sponsored_bills,primary_sponsored_bills
AL-2010-house-6-R-PHIL-WILLIAMS,2010,immigration,1.0,1,1
AL-2010-house-6-R-PHIL-WILLIAMS,2010,school_choice,1.0,2,2
AL-2010-house-6-R-PHIL-WILLIAMS,2010,taxes_budget,-1.0,1,1
AL-2010-house-25-R-MAC-MCCUTCHEON,2010,immigration,1.0,1,1
AL-2010-house-25-R-MAC-MCCUTCHEON,2010,taxes_budget,0.0,2,2
AL-2010-house-27-D-JEFF-MCLAUGHLIN,2010,taxes_budget,-1.0,1,1
AL-2010-house-31-R-BARRY-MASK,2010,immigration,1.0,1,1
AL-2010-house-37-D-RICHARD-LAIRD,2010,taxes_budget,1.0,7,7
AL-2010-house-51-R-ALLEN-TREADAWAY,2010,immigration,1.0,1,1
AL-2010-house-56-D-LAWRENCE-MCADORY,2010,criminal_justice,1.0,1,1
AL-2010-house-73-D-JOSEPH-LISTER-JOE-HUBBARD,2010,immigration,1.0,1,1
AL-2010-house-73-D-JOSEPH-LISTER-JOE-HUBBARD,2010,school_choice,1.0,2,2
AL-2010-house-73-D-JOSEPH-LISTER-JOE-HUBBARD,2010,taxes_budget,1.0,1,1
AL-2010-house-94-R-JOE-FAUST,2010,immigration,1.0,1,1
AL-2010-house-94-R-JOE-FAUST,2010,taxes_budget,1.0,1,1
AL-2010-house-95-R-STEVE-MCMILLAN,2010,immigration,1.0,1,1
AL-2010-house-95-R-STEVE-MCMILLAN,2010,taxes_budget,1.0,2,2
AL-2010-house-104-R-JIM-BARTON,2010,immigration,1.0,1,1
AL-2010-house-104-R-JIM-BARTON,2010,taxes_budget,1.0,2,2
AL-2010-senate-4-D-ZEB-LITTLE,2010,immigration,1.0,1,1
AL-2010-senate-4-D-ZEB-LITTLE,2010,taxes_budget,1.0,1,1
AL-2010-senate-7-R-PAUL-L-SANFORD,2010,immigration,1.0,2,2
AL-2010-senate-7-R-PAUL-L-SANFORD,2010,school_choice,1.0,1,1
AL-2010-senate-19-D-PRISCILLA-DUNN,2010,taxes_budget,1.0,3,3
AL-2010-senate-22-D-MARC-KEAHEY,2010,taxes_budget,1.0,2,2
AL-2010-senate-23-D-HANK-SANDERS,2010,criminal_justice,1.0,2,2
AL-2010-senate-23-D-HANK-SANDERS,2010,taxes_budget,1.0,3,3
AL-2010-senate-31-R-JIMMY-W-HOLLEY,2010,immigration,1.0,2,2
AL-2010-senate-31-R-JIMMY-W-HOLLEY,2010,taxes_budget,1.0,1,1
AL-2010-senate-32-R-TRIP-PITTMAN,2010,criminal_justice,-1.0,1,1
AL-2010-senate-32-R-TRIP-PITTMAN,2010,immigration,1.0,3,3
AL-2010-senate-32-R-TRIP-PITTMAN,2010,taxes_budget,1.0,1,1
AL-2010-senate-34-R-RUSTY-GLOVER,2010,immigration,1.0,3,3
AL-2010-senate-34-R-RUSTY-GLOVER,2010,lgbtq_rights,1.0,1,1
AL-2010-senate-34-R-RUSTY-GLOVER,2010,school_choice,1.0,1,1
AL-2014-house-1-D-GREG-BURDINE,2014,taxes_budget,1.0,2,0
AL-2014-house-2-R-LYNN-GREER,2014,abortion,1.0,3,1
AL-2014-house-2-R-LYNN-GREER,2014,guns,1.0,2,0
AL-2014-house-2-R-LYNN-GREER,2014,immigration,1.0,3,3
AL-2014-house-2-R-LYNN-GREER,2014,taxes_budget,1.0,4,2
AL-2014-house-3-D-MARCEL-BLACK,2014,taxes_budget,1.0,3,0
