primitive_axis,n,negative_pole,middle,positive_pole,minority_pole_count,minority_pole_share,stance_mean,stance_sd,stance_min,stance_q25,stance_median,stance_q75,stance_max,variation_class
abortion_access,134,64,16,54,54,0.40298507462686567,-0.033919687277896224,0.7940400401782657,-1.0,-1.0,0.0,1.0,1.0,two_sided_usable
abortion_public_funding,2,1,0,1,1,0.5,0.0,1.4142135623730951,-1.0,-0.5,0.0,0.5,1.0,sparse
affirmative_action,6,0,0,6,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
anti_discrimination,100,39,1,60,39,0.39,0.2316666666666667,0.9091426752938198,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
bioethics_end_of_life,17,6,3,8,6,0.35294117647058826,0.11764705882352941,0.9275204136012635,-1.0,-1.0,0.0,1.0,1.0,sparse
business_subsidy,78,0,0,78,0,0.0,0.9927738927738928,0.03640372566903852,0.8,1.0,1.0,1.0,1.0,sparse
campaign_finance_disclosure,24,0,2,22,0,0.0,0.9166666666666666,0.28232985128663995,0.0,1.0,1.0,1.0,1.0,sparse
campaign_finance_restrictions,55,2,1,52,2,0.03636363636363636,0.8636363636363636,0.420771030825072,-1.0,1.0,1.0,1.0,1.0,sparse
campaign_public_funding,1,1,0,0,0,0.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,sparse
childcare_support,45,0,0,45,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
civil_social_liberty,154,76,19,59,59,0.38311688311688313,-0.12738095238095237,0.7841503855136532,-1.0,-1.0,0.0,0.5,1.0,two_sided_usable
climate_energy,9,2,6,1,1,0.1111111111111111,-0.1111111111111111,0.6009252125773316,-1.0,0.0,0.0,0.0,1.0,sparse
confederate_commemoration,10,7,1,2,2,0.2,-0.5,0.8498365855987975,-1.0,-1.0,-1.0,-0.25,1.0,sparse
conservation_preservation,36,3,0,33,3,0.08333333333333333,0.8333333333333334,0.5606119105813882,-1.0,1.0,1.0,1.0,1.0,one_sided
constitutional_reform,32,0,0,32,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
criminal_punishment,184,35,10,139,35,0.19021739130434784,0.39837980566272707,0.6822206499174602,-1.0,0.1666666666666666,0.6,1.0,1.0,two_sided_usable
defense_spending,2,1,0,1,1,0.5,0.0,1.4142135623730951,-1.0,-0.5,0.0,0.5,1.0,sparse
deficit_discipline,40,20,1,19,19,0.475,-0.025,0.9996794357987836,-1.0,-1.0,-0.5,1.0,1.0,two_sided_usable
digital_content_regulation,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
digital_privacy,38,1,0,37,1,0.02631578947368421,0.9473684210526315,0.3244428422615251,-1.0,1.0,1.0,1.0,1.0,sparse
direct_democracy,12,1,0,11,1,0.08333333333333333,0.8333333333333334,0.5773502691896257,-1.0,1.0,1.0,1.0,1.0,sparse
drug_criminalization,47,13,0,34,13,0.2765957446808511,0.3617021276595745,0.8852789271796874,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
drug_treatment,23,0,0,23,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
due_process,32,9,0,23,9,0.28125,0.4375,0.9136068187983487,-1.0,-1.0,1.0,1.0,1.0,weakly_two_sided
economic_stimulus,31,15,4,12,12,0.3870967741935484,0.20430107526881722,0.6648721367180238,-1.0,-0.3333333333333333,0.0,1.0,1.0,two_sided_usable
education_access,40,2,0,38,2,0.05,0.9,0.44144285572630443,-1.0,1.0,1.0,1.0,1.0,sparse
education_accountability,78,1,0,77,1,0.01282051282051282,0.982905982905983,0.15097027121927942,-0.3333333333333333,1.0,1.0,1.0,1.0,sparse
education_curriculum_traditionalism,8,1,4,3,1,0.125,0.25,0.7071067811865476,-1.0,0.0,0.0,1.0,1.0,sparse
education_market_choice,72,46,1,25,25,0.3472222222222222,-0.28055555555555556,0.9389460678387545,-1.0,-1.0,-1.0,1.0,1.0,two_sided_usable
education_public_funding,172,7,12,153,7,0.040697674418604654,0.7515919158361019,0.46884469593193934,-1.0,0.7291666666666666,1.0,1.0,1.0,weakly_two_sided
education_teacher_labor,24,8,0,16,8,0.3333333333333333,0.36111111111111116,0.9320729930709495,-1.0,-1.0,1.0,1.0,1.0,weakly_two_sided
election_integrity_controls,25,0,0,25,0,0.0,0.9333333333333335,0.18633899812498247,0.3333333333333333,1.0,1.0,1.0,1.0,sparse
environmental_protection,128,28,26,74,28,0.21875,0.3927269345238095,0.628661684856505,-1.0,0.0,0.5,1.0,1.0,two_sided_usable
family_support_enforcement,2,0,0,2,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,sparse
federalism,15,11,4,0,0,0.0,-0.7333333333333333,0.45773770821706344,-1.0,-1.0,-1.0,-0.5,0.0,sparse
foreign_aid,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
gambling_policy,34,11,0,23,11,0.3235294117647059,0.3755656108597285,0.9253593975645654,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
government_ethics_transparency,62,5,1,56,5,0.08064516129032258,0.7319508448540708,0.5661090461535899,-1.0,0.7232142857142857,1.0,1.0,1.0,weakly_two_sided
gun_access,283,132,41,110,110,0.38869257950530034,-0.12004749667293839,0.8468532152754693,-1.0,-1.0,0.0,0.8400000000000001,1.0,two_sided_usable
gun_purchase_regulation,68,9,5,54,9,0.1323529411764706,0.6617647058823529,0.7041517415682812,-1.0,1.0,1.0,1.0,1.0,weakly_two_sided
healthcare_access,199,6,7,186,6,0.03015075376884422,0.8598084322810897,0.322109672260255,-0.6666666666666666,0.9017857142857143,1.0,1.0,1.0,weakly_two_sided
healthcare_delivery,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
healthcare_public_responsibility,19,1,0,18,1,0.05263157894736842,0.8947368421052632,0.45883146774112354,-1.0,1.0,1.0,1.0,1.0,sparse
