votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,10895,50%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,10590,30%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,10589,50%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,10112,22%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,10128,23%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,9176,23%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,9175,38%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,American Conservative Union (ACU),1481,10283,8%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,Christian Coalition of Alabama,510,3269,53%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/510/rating/3269,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Conservative,Christian Coalition of Alabama,510,1389,30%,1999-2000,1999,2000,interest_group_rating,https://votesmart.org/interest-group/510/rating/1389,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
