organization,records
American Conservative Union (ACU),1659
Christian Coalition of Alabama,274
Eagle Forum of Alabama,171
Conservative Christians of Alabama,139
LEAP Forward,137
National Journal,132
League of Southeastern Credit Unions,126
The John Birch Society,53
United States Chamber of Commerce,52
Humane World Action Fund,44
Americans for Democratic Action (ADA),35
"NETWORK, A National Catholic Social Justice Lobby",34
Family Research Council (FRC) Action,33
NARAL Pro-Choice America,32
National Education Association (NEA),31
Defenders of Wildlife Action Fund,30
Associated General Contractors of America,30
American Association of University Women,30
National Federation of Independent Business (NFIB),28
Population Connection Action Fund,27
Friends Committee on National Legislation,27
National Association for the Advancement of Colored People (NAACP),26
American Civil Liberties Union (ACLU),26
Federally Employed Women,25
Peace Action,24
National Active and Retired Federal Employees Association,24
Human Rights Campaign,23
American Public Health Association,23
Freedom First Society,23
RESULTS,22
Eagle Forum,22
National Retail Federation (NRF),22
Republican Liberty Caucus,21
Associated Builders & Contractors (ABC),20
National Association of Police Organizations (NAPO),20
Federation for American Immigration Reform (FAIR),19
Communications Workers of America,19
Progressive Punch,18
Americans for the Arts Action Fund,18
Animal Welfare Institute,18
Food Policy Action,18
National Parks Conservation Association (NPCA),18
Heritage Action for America,18
The Lugar Center,17
Children's Defense Fund,17
Independent Petroleum Association of America (IPAA),17
Washington Report on Middle East Affairs (WRMEA),16
Campaign for Working Families,16
National Association of Manufacturers,16
International Brotherhood of Boilermakers,16
National Farmers Union,15
National Tax Limitation Committee,15
Armenian National Committee of America (ANCA),15
Progressive Patriots Fund,15
American Library Association,14
The Public Affairs Alliance of Iranian Americans (PAAIA),14
Public Citizen,14
Brady Campaign to Prevent Gun Violence,14
National Iranian American Council (NIAC),14
International Association of Machinists and Aerospace Workers,14
Center For Biological Diversity Action Fund,14
Environment America,14
Bread for the World,13
American Bakers Association,13
American Farm Bureau Federation,13
Service Employees International Union (SEIU),13
American Council of Engineering Companies,12
National Treasury Employees Union,12
Concerned Women for America,12
Small Business & Entrepreneurship Council,12
UFCW (United Food and Commercial Workers),12
Competitive Enterprise Institute,12
Christian Coalition of America,12
Conservative Review,12
Business-Industry Political Action Committee (BIPAC),12
American Security Council Foundation,11
American Land Rights Association (formerly League of Private Property Voters),11
Sargent Shriver National Center on Poverty Law,11
International Brotherhood of Teamsters,11
Information Technology Industry Council,11
Arab American Institute,11
National Electrical Contractors Association,11
Citizens for Global Solutions,11
Center for Freethought Equality,11
Center for Security Policy,11
Council for a Livable World,11
Common Cause,10
American Forest and Paper Association,10
National Association of Social Workers,10
National Association for College Admission Counseling (NACAC),10
American Energy Alliance (AEA),10
United States Public Interest Research Group (U.S. PIRG),9
Latin America Working Group,9
Drum Major Institute,9
National Lumber and Building Material Dealers Association,9
Americans for Tax Reform,9
The Cato Institute,9
"National Stone, Sand & Gravel Association",9
Taxpayers for Common Sense,8
Secular Coalition for America,8
21Wilberforce,8
Americans United for the Separation of Church and State,8
Eating Disorders Coalition,8
International Warehouse Logistics Association,8
National Ready Mixed Concrete Association,8
National Hispanic Leadership Agenda,8
Coalition of Franchisee Associations,8
EarthRights International,8
American College of Obstetricians and Gynecologists,8
Transportation Communications Union,8
National Committee to Preserve Social Security and Medicare (NCPSSM),8
National Religious Campaign Against Torture,7
Fleet Reserve Association,7
Disabled American Veterans,7
Council on American-Islamic Relations,7
International Brotherhood of Electrical Workers (IBEW),7
National Breast Cancer Coalition (NBCC),7
American Family Association,7
Sportsmen's and Animal Owners' Voting Alliance,7
Clean Water Action,6
Concerned Women For America Legislative Action Committee,6
Foreign Policy For America,6
Concord Coalition,6
ACT! for America,6
Financial Executives International,6
End Citizens United,6
National Shooting Sports Foundation,6
American Immigration Lawyers Association (AILA),6
Teachers of English to Speakers of Other Languages (TESOL),6
The American Hellenic Educational Progressive Association,6
National Small Business Association (NSBA),6
National Committee for an Effective Congress,6
American Society for Radiation Oncology,6
Vietnam Veterans of America,5
Citizens United for Rehabilitation of Errants,5
EnerVest,5
National Family Planning & Reproductive Health Association,5
National Council of Senior Citizens,5
The National Mining Association,5
Consumer Federation of America,5
International Foodservice Distributors Association,5
ConservAmerica,5
"Legion for the Survival of Freedom, Inc. (Liberty Lobby)",5
League of Women Voters,5
National Cannabis Industry Association,4
Nuclear Age Peace Foundation,4
Population Action International,4
American Hospital Association,4
Vote Kids,4
Workplace Choice,4
Plumbing-Heating-Cooling Contractors Association,4
National Organization for Women (NOW),4
Metals Service Center Institute,4
National Association for the Self-Employed,4
Animal Wellness Action,4
Association of University Centers on Disabilities,4
Susan B. Anthony Pro-Life America,4
St. Joseph Health System,4
American Lands Alliance,4
The Center for Education Reform,4
The Children's Health Fund,4
American Wilderness Coalition,4
Alzheimer's Impact Movement,4
AIDS United,4
USA Engage,4
UnidosUS,4
League of United Latin American Citizens,4
Global Exchange,4
Big Cat Rescue,4
Faith and Freedom Coalition,4
AIDS Drug Assistance Program Advocacy Association,4
U.S. Term Limits (USTL),4
American Nurses Association,4
Resolve Uganda,3
Business and Professional Women USA,3
English First,3
Americans for Immigration Control,3
Drug Policy Alliance Network,3
Independent Electrical Contractors,3
Iraq and Afghanistan Veterans of America,3
Federation of American Societies for Experimental Biology,3
National Foreign Trade Council,3
Women's Action for New Directions (WAND),3
School Nutrition Association,3
American Medical Association PAC,3
The Libertarian Party,3
American Veterinary Medical Association,3
Sierra Club,3
United States English,3
United States Border Control,3
National Restaurant Association,3
National Association of Wheat Growers,3
Associated Equipment Distributors,3
Open Doors USA,3
National Association of Counties,3
Non Commissioned Officers Association,3
Workplace Fairness,2
The Population Institute,2
Women Employed,2
Venn Institute,2
Utility Workers Union of America (UWUA),2
The Coalition to Stop Gun Violence,2
The Arc,2
The Poker Players Alliance,2
The Retired Enlisted Association,2
The Cornucopia Institute,2
National Rural Health Association,2
National Latino Congreso/William C. Velásquez Institute,2
NewPolicy.org,2
National Association of Elementary School Principals,2
Military Officers Association of America,2
Americans for Safe Access,2
National Association for Addiction Professionals (formerly National Association of Alcohol and Drug Abuse Counselors),2
Muslim Public Affairs Council,2
National Association of Wholesaler-Distributors,2
State PIRGs Working Together,2
Plug in America,2
Stand Against Spying,2
The American Counseling Association,2
American Family Association Action (AFA Action),2
American Humane Association,2
CNET News,2
Battle For The Net,2
GOPUSA,2
"Bakery, Confectionery, Tobacco Workers and Grain Millers (BCTGM)",2
Campaign for America's Future,2
Home School Legal Defense Association (HSLDA),2
Citizens for Health,2
Church World Service,2
Freedom Democrats,2
Californians for Population Stabilization,2
Heritage Alliance,2
Academy of General Dentistry,2
60 Plus Association,2
United States Women's Chamber of Commerce,2
Center for Worker Freedom (formerly known as Alliance for Worker Freedom),2
American College of Emergency Physicians,2
American Academy of Emergency Medicine,2
Traditional Values Coalition,2
Computer & Communications Industry Association,2
United Seniors Association,2
Americans for Fair Taxation,2
Liberty Guard,2
Marijuana Policy Project (MPP),2
Liberty Central,2
Maryland Free,2
Keep America Safe,2
National Council of Agricultural Employers,2
Outdoor Industry Association Political Action Committee,2
American Road & Transportation Builders Association,2
Plastics Industry Association,2
National School Boards Association,2
Born Free USA,2
National Association of Government Contractors,2
United To End Genocide (formerly known as the Save Darfur Coalition and Genocide Intervention Network),2
American Society for the Prevention of Cruelty to Animals,2
American Veterans,2
Long Term Care Community Coalition,1
Catholic Advocate,1
"Hispanic Federation, LCLAA, LULAC, Mi Familia Vota, NCLR, and Voto Latino",1
Leading Age,1
Campaign for a Color Blind America,1
Bill Stamp,1
Doris Day Animal League,1
Citizens for Tax Justice,1
Depression and Bipolar Support Alliance,1
Christian Action Network,1
Family Policy Alliance,1
Hope for Peace and Justice,1
International Association of Fire Fighters,1
Emergency Committee for American Trade,1
United Fresh Produce Association,1
CompTIA,1
Alliance For Headache Disorders Advocacy,1
Alliance to Stop the War on the Poor,1
American Academy of Family Physicians,1
American Coalition for Ethanol,1
The Woman Activist,1
United States Business and Industry Council,1
Consumer Action,1
Center for International Policy,1
United States Student Association,1
Consumer Energy Alliance,1
Center for Reclaiming America,1
Global AIDS Alliance,1
Grassroots Netroots Alliance,1
Liberty for All,1
American Society of Anesthesiologists,1
American Postal Workers Union,1
American Shareholders Association,1
Parkinsons Action Network,1
"PFLAG, Parents, Families and Friends of Lesbians and Gays",1
Partnership for America,1
American Muslims for Palestine,1
National Parent Teacher Association,1
National Trust for Historic Preservation,1
Association of Community Organization for Reform Now (ACORN),1
Association For Supervision and Curriculum Development,1
Minnesota Farm Bureau,1
National Animal Interest Alliance Trust,1
National Criminal Justice Association,1
National Employment Lawyers Association,1
American Society of Landscape Architects,1
American Federation of Teachers,1
TechCrunch,1
The American College of Physicians,1
Progressive Democrats of America,1
Radical Middle,1
Retire Safe,1
Smokefree Action,1
American Wind Energy Association,1
The American Legion,1
American Institute of Aeronautics and Astronautics,1
The Leukemia & Lymphoma Society (LLS),1
The Partnership for the Homeless,1
Voices for Creative Nonviolence,1
Vote Hemp,1
Young Women's Christian Association (YWCA),1
