scope,bundle_id,bundle_label,outcome,n,mean,median,sd,standard_error,ci_low,ci_high
all,1,high social traditionalism + low material redistribution,presidential_overperformance,21,26.890278245640367,29.731164573996324,21.549565506911033,4.702500720420439,17.673376833616306,36.10717965766443
all,1,high social traditionalism + low material redistribution,federal_index_overperformance,21,25.926806757696507,22.037234731056728,21.853273515417246,4.76877524128444,16.580007284779004,35.27360623061401
all,1,high social traditionalism + low material redistribution,candidate_cmo_total_oof,22,16.564038300584222,22.402350855307972,17.638196797409368,3.7604761924289107,9.193504963423557,23.934571637744888
all,2,high gun rights + high market and development autonomy,presidential_overperformance,31,33.270292223599505,32.8169480974968,24.738737338061462,4.443208391363583,24.561603776526884,41.97898067067213
all,2,high gun rights + high market and development autonomy,federal_index_overperformance,30,37.23263896219562,36.27750694030574,29.013273068207624,5.297074708838146,26.850372532872857,47.61490539151839
all,2,high gun rights + high market and development autonomy,candidate_cmo_total_oof,32,17.11323735831113,17.41855409095693,21.007154226713038,3.713575301785108,9.83462976681232,24.391844949809943
all,3,low racial and political equality + high social traditionalism,presidential_overperformance,36,20.854786348088545,20.271887591556112,29.424735011108943,4.90412250185149,11.242706244459624,30.466866451717465
all,3,low racial and political equality + high social traditionalism,federal_index_overperformance,37,24.05145923196636,19.88114130490617,26.564993936745427,4.367258100973905,15.491633354057505,32.61128510987521
all,3,low racial and political equality + high social traditionalism,candidate_cmo_total_oof,38,4.224250846592594,3.198576485964171,19.781433969607587,3.2089723305540843,-2.0653349212934105,10.513836614478599
all,4,low punitive law and order + high material redistribution,presidential_overperformance,18,-3.545524563309552,2.267191911395977,18.527834825998053,4.3670525487225005,-12.104947558805652,5.013898432186547
all,4,low punitive law and order + high material redistribution,federal_index_overperformance,18,1.8577426932829313,3.446858890973978,14.96290585279654,3.5267907315894385,-5.054767140632368,8.770252527198231
all,4,low punitive law and order + high material redistribution,candidate_cmo_total_oof,19,-3.971250479767234,-5.472685069980805,6.392170923566299,1.466464583456029,-6.84552106334105,-1.0969798961934174
all,5,high material redistribution + low market and development autonomy,presidential_overperformance,17,19.026431987810057,13.853654070273343,19.88265341483529,4.822251773347857,9.574818512048257,28.478045463571856
all,5,high material redistribution + low market and development autonomy,federal_index_overperformance,17,15.551789918863237,16.861083118892992,19.128269682381024,4.63928684327982,6.458787706034791,24.644792131691684
all,5,high material redistribution + low market and development autonomy,candidate_cmo_total_oof,17,9.61211444620787,3.603325392908937,14.56805411959477,3.533272111459043,2.686901107748147,16.537327784667596
all,6,low social traditionalism + high racial and political equality,presidential_overperformance,59,29.97370502187123,33.525807296930886,24.639326040048804,3.2077670244554093,23.68648165393863,36.26092838980383
all,6,low social traditionalism + high racial and political equality,federal_index_overperformance,50,26.79598114590666,20.37597471827215,27.24751796734282,3.85338094504208,19.24335449362418,34.348607798189136
all,6,low social traditionalism + high racial and political equality,candidate_cmo_total_oof,62,15.862774537433197,16.97216687005007,18.88766454066361,2.398735795401273,11.1612523784467,20.564296696419692
era:2008_2014,1,high social traditionalism + low material redistribution,presidential_overperformance,5,34.83682437588485,36.17452576657405,17.566467644776008,7.855963155653956,19.439136590803095,50.23451216096661
era:2008_2014,1,high social traditionalism + low material redistribution,federal_index_overperformance,5,29.80442669321486,22.037234731056728,19.90744624540561,8.90288061262998,12.3547806924601,47.25407269396962
era:2008_2014,1,high social traditionalism + low material redistribution,candidate_cmo_total_oof,6,18.40560790438609,18.46387789636696,13.792375466261499,5.630713705536983,7.369409041533604,29.441806767238578
