canonical_candidate_id,person_id,year,chamber,district_candidate,canonical_party,canonical_name,incumbent,winner,prior_winner_i,expected_prior_officeholder,resolved_name,identity_status,identity_match_method,member_source_id,member_display_name,first_session,last_session,legislative_sessions,legislative_ideology_available,coverage_status,score_member_source_id,identity_member_source_id,votes_used,possible_votes,legislative_evidence_rows,legislative_issue_axes,effective_window_member_id,member_source_id_window,raw_yea_nay_votes,raw_rollcalls,scoring_eligible_votes,scoring_eligible_rollcalls,mapped_issue_votes,mapped_issue_rollcalls,legiscan_identity_resolved,pre_election_identity_resolved,gap_reason
AL-2002-house-28-R-ABEL-DAVID-C,ALPERSON-ABEL-DAVID-C,2002,house,28,R,"Abel, David C.",0,0,False,False,David C. Abel,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2002-house-16-R-ACKER-JOE-D,ALPERSON-ACKER-JOE-D,2002,house,16,R,"Acker, Joe D.",0,0,False,False,Joe D. Acker,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-1994-senate-31-D-ADAMS,ALPERSON-ADAMS,1994,senate,31,D,Adams,0,1,False,False,Adams,unmatched,unmatched,,,,,0,False,archive_unavailable_1994,,,,,0,0,,,0,0,0,0,0,0,False,False,archive_unavailable_1994
AL-1998-senate-31-R-ADAMS,ALPERSON-ADAMS,1998,senate,31,R,Adams,0,1,True,True,Dwight Adams,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,expected_officeholder_identity_unresolved
AL-2014-house-97-D-ADLINE-C-CLARKE,ALPERSON-ADLINE-C-CLARKE,2014,house,97,D,Adline C. Clarke,0,1,False,False,Adline C. Clarke,resolved,first_initial_surname_same_chamber_district,LEGISCAN-16140,Adline Clarke,2014.0,2026.0,13,True,scored_pre_election_legislative_behavior,LEGISCAN-16140,LEGISCAN-16140,109.0,871.0,3,3,LEGISCAN-16140,LEGISCAN-16140,578,578,109,109,3,3,True,True,score_and_issue_evidence_available
AL-2018-house-97-D-ADLINE-C-CLARKE,ALPERSON-ADLINE-C-CLARKE,2018,house,97,D,Adline C. Clarke,1,1,True,True,Adline C. Clarke,resolved,first_initial_surname_same_chamber_district,LEGISCAN-16140,Adline Clarke,2014.0,2026.0,13,True,scored_pre_election_legislative_behavior,LEGISCAN-16140,LEGISCAN-16140,734.0,876.0,32,12,LEGISCAN-16140,LEGISCAN-16140,2402,2402,734,734,32,32,True,True,score_and_issue_evidence_available
AL-2006-house-21-R-AL-WIGGINS,ALPERSON-AL-WIGGINS,2006,house,21,R,AL WIGGINS,0,0,False,False,AL WIGGINS,unmatched,unmatched,,,,,0,False,no_verified_legislative_identity,,,,,0,0,,,0,0,0,0,0,0,False,False,no_verified_pre_election_legislative_identity
AL-2006-house-66-R-ALAN-BAKER,ALPERSON-ALAN-BAKER,2006,house,66,R,ALAN BAKER,0,1,False,False,ALAN BAKER,resolved,exact_name_same_chamber_district,LEGISCAN-3426,Alan Baker,2010.0,2026.0,17,False,verified_identity_no_scored_pre_election_service,,LEGISCAN-3426,,,0,0,LEGISCAN-3426,,0,0,0,0,0,0,True,True,identity_resolved_no_window_votes
AL-2010-house-66-R-ALAN-BAKER,ALPERSON-ALAN-BAKER,2010,house,66,R,ALAN BAKER,1,1,True,True,ALAN BAKER,resolved,exact_name_same_chamber_district,LEGISCAN-3426,Alan Baker,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3426,LEGISCAN-3426,43.0,643.0,3,3,LEGISCAN-3426,LEGISCAN-3426,342,342,43,43,3,3,True,True,score_and_issue_evidence_available
AL-2014-house-66-R-ALAN-BAKER,ALPERSON-ALAN-BAKER,2014,house,66,R,Alan Baker,1,1,True,True,Alan Baker,resolved,exact_name_same_chamber_district,LEGISCAN-3426,Alan Baker,2010.0,2026.0,17,True,scored_pre_election_legislative_behavior,LEGISCAN-3426,LEGISCAN-3426,771.0,871.0,46,12,LEGISCAN-3426,LEGISCAN-3426,3187,3187,771,771,43,43,True,True,score_and_issue_evidence_available
