ontology_version,evidence_id,canonical_candidate_id,person_id,candidate_name,election_cycle,evidence_date,temporal_status,source_type,source_provider,source_record_id,source_url,item_id,policy_family,policy_key,primitive_axis,policy_pole,candidate_stance,position_value,response_mode,family,family_direction,family_contribution,constituency_tags_json,confidence,adjudication_authority,evidence_weight,source_text,raw_answer,source_canonical_candidate_id,temporal_model_eligible
3.0.0,26F27E274C9BF7D0320E,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,49D3B83AC3CB8D47,abortion_reproductive,abortion_general_pro_life,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,a) Do you consider yourself pro-choice or pro-life?,Pro-life,,True
3.0.0,FBC50910F17BC452CE8D,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,36EF03120678C0CB,abortion_reproductive,abortion_first_trimester_legality,abortion_access,expand,oppose,-1.0,binary,social_liberty_equality,1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,b) Should abortion be legal only within the first trimester of pregnancy?,No,,True
3.0.0,FAF1F34730BDF5ABEF2E,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,88AA959DA42A1CCE,abortion_reproductive,abortion_rape_incest_exception,abortion_access,expand,oppose,-1.0,binary,social_liberty_equality,1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,c) Should abortion be legal when the pregnancy resulted from incest or rape?,No,,True
3.0.0,0001EF544762CEDA42E0,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,36A026D945AC7158,abortion_reproductive,abortion_life_exception,abortion_access,expand,oppose,-1.0,binary,social_liberty_equality,1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,d) Should abortion be legal when the life of the woman is endangered?,No,,True
3.0.0,64A120C3C2E600D524E4,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,E578FF3DFA03D3D2,abortion_reproductive,abortion_parental_notification,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,e) Do you support requiring parental notification before an abortion is performed on a minor?,Yes,,True
3.0.0,30986C2B0E3ABB7A548B,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,7F3647D02E04E104,abortion_reproductive,abortion_parental_consent,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,f) Do you support requiring parental consent before an abortion is performed on a minor?,Yes,,True
3.0.0,457970C79BBBA49E4FA9,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,6ADF5D9FEA0FC589,abortion_reproductive,social_comprehensive_sex_education,civil_social_liberty,expand,oppose,-1.0,binary,social_liberty_equality,1.0,-1.0,[],medium,legacy_deterministic_migrated,1.0,"g) Do you support sexual education programs that include information on abstinence, contraceptives, and HIV/STD prevention methods?",No,,True
3.0.0,D17AE6929D0E336C885C,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,C29C7D498310B731,abortion_reproductive,social_abstinence_education,civil_social_liberty,restrict,oppose,-1.0,binary,social_liberty_equality,-1.0,1.0,[],medium,legacy_deterministic_migrated,1.0,h) Do you support abstinence-only sexual education programs?,No,,True
3.0.0,BE46852E8F90807926A7,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,595B03E93DB4DEF0,fiscal_tax_budget,spending_higher_education,education_public_funding,expand,oppose,-0.5,ordinal,,,,[],medium,legacy_deterministic_migrated,1.0,a) Education (higher),Slightly Decrease,,True
3.0.0,1940AC08A938FD62C6F7,,,Daniel Boman,,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,121513,https://j.futurefacts.votesmart.io/candidate/political-courage-test/121513/daniel-boman,98911E44A3204C35,fiscal_tax_budget,spending_k12_education,education_public_funding,expand,support,1.0,ordinal,,,,[],medium,legacy_deterministic_migrated,1.0,b) Education (K-12),Greatly Increase,,True
