canonical_candidate_id,election_year,candidate_name,ballotpedia_url,section,subsection_year,link_text,link_url
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,State legislative scorecards,https://ballotpedia.org/State\_legislative\_scorecards
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,State legislative scorecards in Alabama,https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,scorecard,https://ballotpedia.org/State_legislative_scorecards
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,Click here,https://ballotpedia.org/State_legislative_scorecards
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2017,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2016,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2015,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2014,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2013,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2012,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2011,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,State legislative scorecards,https://ballotpedia.org/State\_legislative\_scorecards
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,State legislative scorecards in Alabama,https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,scorecard,https://ballotpedia.org/State_legislative_scorecards
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,Click here,https://ballotpedia.org/State_legislative_scorecards
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2017,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2016,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2015,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2014,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2013,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2012,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2011,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,State legislative scorecards,https://ballotpedia.org/State\_legislative\_scorecards
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,State legislative scorecards in Alabama,https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,scorecard,https://ballotpedia.org/State_legislative_scorecards
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,Click here,https://ballotpedia.org/State_legislative_scorecards
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2017,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2016,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2015,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,Scorecards,,2014,https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405
