year,canonical_party,candidates,legislative_scores,pct_profiles,any_ideology,any_ideology_share
1994,D,139,0,0,0,0.0
1994,R,72,0,0,0,0.0
1998,D,85,31,26,48,0.5647058823529412
1998,R,85,14,38,45,0.5294117647058824
2002,D,112,32,12,43,0.38392857142857145
2002,R,101,22,29,50,0.49504950495049505
2006,D,103,22,17,37,0.3592233009708738
2006,R,91,27,20,43,0.4725274725274725
2010,D,100,48,8,53,0.53
2010,R,103,31,14,43,0.4174757281553398
2014,D,81,18,2,20,0.24691358024691357
2014,R,115,52,2,53,0.4608695652173913
2018,D,94,14,19,33,0.35106382978723405
2018,R,110,50,1,50,0.45454545454545453
2022,D,61,0,0,0,0.0
2022,R,112,0,0,0,0.0
