outcome,sensitivity,n,coefficient,se,ci_low,ci_high,p_value
federal_index_overperformance,all,184,12.74646927903876,4.808633167541787,3.2549382690066917,22.238000289070825,0.008781139144255313
federal_index_overperformance,majority_white,157,11.721532046321203,5.549489539887187,0.7550609385335534,22.688003154108852,0.03635007077639772
federal_index_overperformance,nonincumbents,141,13.82869658833529,5.52741371235213,2.9000173223087913,24.75737585436179,0.013514669444560527
federal_index_overperformance,incumbents,43,4.063064926820159,13.982749397516127,-24.219715316685196,32.34584517032551,0.7729145075260316
federal_index_overperformance,pre_2008,95,14.384550716978692,7.864106895602366,-1.2320070245179853,30.00110845847537,0.0705833195651323
federal_index_overperformance,2008_2014,51,5.598889733821128,13.448196223164729,-21.440521019824796,32.63830048746705,0.6790242035035425
federal_index_overperformance,post_2016,38,20.30634660297356,6.476408681666613,7.183896144684377,33.42879706126274,0.0033552241367972063
federal_index_overperformance,exclude_1994,184,12.74646927903876,4.808633167541787,3.2549382690066917,22.238000289070825,0.008781139144255313
federal_index_overperformance,exclude_1998,138,13.117920775030935,5.902456763242589,1.4380240293193438,24.797817520742527,0.028022547553513424
federal_index_overperformance,exclude_2002,155,15.980082921729085,5.06638482456016,5.965399567373558,25.99476627608461,0.0019623699190466056
federal_index_overperformance,exclude_2006,164,7.337832414400902,4.506763017431929,-1.5634394948871702,16.239104323688974,0.10547860545110338
federal_index_overperformance,exclude_2010,146,15.430838254815313,5.293639063099614,4.966943220195171,25.894733289435457,0.004130475129840472
federal_index_overperformance,exclude_2014,171,11.235846545351919,4.773198801535357,1.8101355226390474,20.66155756806479,0.019774908347917404
federal_index_overperformance,exclude_2018,157,13.451089848911803,5.731580571425847,2.124149411104284,24.77803028671932,0.020267871123526016
federal_index_overperformance,exclude_2022,173,12.892114576251307,5.209827355629586,2.6037053577596705,23.180523794742946,0.014376042801395155
presidential_overperformance,all,195,15.397628683437851,3.985824065287143,7.53084184542527,23.26441552145043,0.000157769571475487
presidential_overperformance,majority_white,169,14.995277008080851,4.4173674361292345,6.267447181709775,23.723106834451926,0.0008781082728417452
presidential_overperformance,nonincumbents,148,17.066787871650828,4.592043405245885,7.990799771379988,26.142775971921665,0.0002876554236162044
presidential_overperformance,incumbents,47,4.370116229830929,10.55427115382614,-16.92926527229011,25.669497731951964,0.6809361436550128
presidential_overperformance,pre_2008,102,20.607223476103325,6.2377118660593,8.23178079354636,32.982666158660294,0.0013249942508099834
presidential_overperformance,2008_2014,55,6.520366468891789,9.907590555106616,-13.37961481953104,26.420347757314616,0.5134810398041694
presidential_overperformance,post_2016,38,16.49018901983969,6.829238392813861,2.652837660091217,30.327540379588164,0.0208111140801083
presidential_overperformance,exclude_1994,195,15.397628683437851,3.985824065287143,7.53084184542527,23.26441552145043,0.000157769571475487
presidential_overperformance,exclude_1998,150,14.154584237607724,4.588831078780156,5.07613074753392,23.233037727681527,0.0024906161841290217
presidential_overperformance,exclude_2002,167,14.958526012968175,4.222482568001445,6.613440938147317,23.303611087789033,0.0005323691246177403
presidential_overperformance,exclude_2006,166,12.646927165790427,4.069582921114781,4.608731081794371,20.685123249786482,0.0022389019624310487
presidential_overperformance,exclude_2010,157,19.4703905460443,4.357656937548904,10.860536658508313,28.080244433580287,1.5389716757822014e-05
presidential_overperformance,exclude_2014,178,14.376013359895397,4.021362538338562,6.435693985908875,22.31633273388192,0.0004604819741707737
presidential_overperformance,exclude_2018,168,16.298655620659066,4.578862278466171,7.251257235240759,25.346054006077374,0.0004979407892630941
presidential_overperformance,exclude_2022,184,15.695943087764606,4.365004950697202,7.076696841505804,24.315189334023408,0.00042816581422224376
