headline_dimension,n,negative_pole,middle,positive_pole,minority_pole_count,minority_pole_share,stance_mean,stance_sd,stance_min,stance_q25,stance_median,stance_q75,stance_max,variation_class
gun_rights,286,145,41,100,100,0.34965034965034963,-0.17531506372415465,0.82030660545696,-1.0,-1.0,-0.24499999999999994,0.7925,1.0,two_sided_usable
institutional_democratic_reform,55,2,0,53,2,0.03636363636363636,0.8636363636363636,0.41954672421225214,-1.0,1.0,1.0,1.0,1.0,sparse
labor_power,245,12,32,201,12,0.04897959183673469,0.7513637836086816,0.5019796903967949,-1.0,1.0,1.0,1.0,1.0,weakly_two_sided
market_and_development_autonomy,247,127,44,76,76,0.3076923076923077,-0.16834737819516626,0.6486074490901077,-1.0,-0.812027027027027,-0.2083333333333333,0.255,1.0,two_sided_usable
material_redistribution,117,56,27,34,34,0.2905982905982906,-0.04494301994301994,0.7503740344979,-1.0,-0.75,-0.125,1.0,1.0,two_sided_usable
public_services,229,0,11,218,0,0.0,0.8686901537113455,0.26206113502893696,-0.125,0.8571428571428572,1.0,1.0,1.0,sparse
punitive_law_and_order,189,32,28,129,32,0.1693121693121693,0.35462232320650566,0.5975538609393263,-1.0,0.0,0.4,1.0,1.0,two_sided_usable
racial_and_political_equality,127,39,12,76,39,0.30708661417322836,0.2744094488188976,0.8950599165986294,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
social_traditionalism,142,75,25,42,42,0.29577464788732394,-0.19906103286384977,0.6938972538696533,-1.0,-1.0,-0.29999999999999993,0.2,1.0,two_sided_usable
