votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
111312,Bill Holtzclaw,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,7257,93%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1557/rating/7257,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,67%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
114032,Phil Williams,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,100%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,100%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10895,60%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10896,70%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10590,73%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10589,64%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10112,67%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10128,75%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,9176,80%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,9175,69%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Conservative,American Conservative Union (ACU),1481,10283,91%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114032,Phil Williams,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,92%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/114032/phil-williams
114116,Horace Clemmons,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,7257,0%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1557/rating/7257,https://j.futurefacts.votesmart.io/candidate/evaluations/114116/horace-clemmons
