outcome,term,n,coefficient,se,ci_low,ci_high,p_value
federal_index_overperformance,conservative_fit_score,184,19.52122001480638,7.744480826095584,4.2347597346469,34.80768029496586,0.012623383230170674
federal_index_overperformance,fit_x_post_2008,184,-16.696512740404355,13.135222469534023,-42.62350010862281,9.230474627814093,0.20540045538700227
federal_index_overperformance,fit_x_post_2016,184,5.020203791334453,13.26246633861126,-21.15794416391635,31.198351746585256,0.7055058187562626
presidential_overperformance,conservative_fit_score,195,14.369127371578076,6.940610268686853,0.6705042976197824,28.06775044553637,0.03990151325836086
presidential_overperformance,fit_x_post_2008,195,-13.169127044793724,10.704490440467678,-34.29648819404607,7.958234104458624,0.22026667698476554
presidential_overperformance,fit_x_post_2016,195,8.309936814521256,11.345303679319501,-14.082191938732338,30.702065567774852,0.4648757255055809
