canonical_candidate_id,election_cycle,family,evidence_weight,evidence_records,distinct_issues,source_type_count,person_id,candidate_name,family_valence,family_score_available,model_family_valence
AL-1994-house-42-D-SMITH,1994.0,order_justice,0.9,1,1,1,ALPERSON-SMITH,Smith,1.0,False,
AL-1994-house-53-D-NEWTON,1994.0,institutional_reform,0.75,1,1,1,ALPERSON-NEWTON,Newton,1.0,False,
AL-1994-house-53-D-NEWTON,1994.0,social_liberty_equality,0.75,1,1,1,ALPERSON-NEWTON,Newton,1.0,False,
AL-1994-senate-12-D-GHEE,1994.0,order_justice,0.75,1,1,1,ALPERSON-GHEE,Ghee,1.0,False,
AL-1994-senate-18-D-SMITHERMAN,1994.0,material_support,0.75,1,1,1,ALPERSON-SMITHERMAN,Smitherman,1.0,False,
AL-1998-house-1-D-STARKEY,1998.0,environment_resources,4.0,4,1,1,ALPERSON-STARKEY,Starkey,-0.25,False,
AL-1998-house-1-D-STARKEY,1998.0,labor_capital,1.0,1,1,1,ALPERSON-STARKEY,Starkey,1.0,False,
AL-1998-house-1-D-STARKEY,1998.0,market_government_direction,4.65,5,1,2,ALPERSON-STARKEY,Starkey,0.3210752688172043,False,
AL-1998-house-1-D-STARKEY,1998.0,material_support,8.0,8,3,1,ALPERSON-STARKEY,Starkey,0.8125,True,0.8125
AL-1998-house-1-D-STARKEY,1998.0,order_justice,9.0,9,1,1,ALPERSON-STARKEY,Starkey,0.4444444444444444,False,
AL-1998-house-1-D-STARKEY,1998.0,social_liberty_equality,16.0,16,4,1,ALPERSON-STARKEY,Starkey,-0.125,True,-0.125
AL-1998-house-1-R-BEER,1998.0,environment_resources,4.0,4,1,1,ALPERSON-BEER,Beer,-0.875,False,
AL-1998-house-1-R-BEER,1998.0,market_government_direction,2.0,2,1,1,ALPERSON-BEER,Beer,0.0,False,
AL-1998-house-1-R-BEER,1998.0,material_support,3.0,3,2,1,ALPERSON-BEER,Beer,0.0,True,0.0
AL-1998-house-1-R-BEER,1998.0,order_justice,7.0,7,1,1,ALPERSON-BEER,Beer,0.5714285714285714,False,
AL-1998-house-1-R-BEER,1998.0,social_liberty_equality,12.0,12,4,1,ALPERSON-BEER,Beer,-0.16666666666666666,True,-0.16666666666666666
AL-1998-house-10-R-HANEY,1998.0,environment_resources,4.0,4,1,1,ALPERSON-HANEY,Haney,-0.625,False,
AL-1998-house-10-R-HANEY,1998.0,market_government_direction,3.65,4,1,3,ALPERSON-HANEY,Haney,-0.4520547945205479,False,
AL-1998-house-10-R-HANEY,1998.0,material_support,5.0,5,2,2,ALPERSON-HANEY,Haney,0.2,True,0.2
AL-1998-house-10-R-HANEY,1998.0,order_justice,11.0,11,1,2,ALPERSON-HANEY,Haney,0.7727272727272727,False,
AL-1998-house-10-R-HANEY,1998.0,social_liberty_equality,10.0,10,4,2,ALPERSON-HANEY,Haney,-0.6,True,-0.6
AL-1998-house-102-R-TURNER,1998.0,market_government_direction,2.65,3,1,2,ALPERSON-TURNER,Turner,-1.0,False,
AL-1998-house-102-R-TURNER,1998.0,material_support,1.0,1,1,1,ALPERSON-TURNER,Turner,1.0,False,
AL-1998-house-102-R-TURNER,1998.0,order_justice,1.0,1,1,1,ALPERSON-TURNER,Turner,1.0,False,
AL-1998-house-102-R-TURNER,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-TURNER,Turner,-1.0,False,
AL-1998-house-104-R-DEAN,1998.0,market_government_direction,1.65,2,1,2,ALPERSON-DEAN,Dean,-1.0,False,
AL-1998-house-104-R-DEAN,1998.0,material_support,1.0,1,1,1,ALPERSON-DEAN,Dean,1.0,False,
AL-1998-house-104-R-DEAN,1998.0,order_justice,2.0,2,1,1,ALPERSON-DEAN,Dean,1.0,False,
AL-1998-house-104-R-DEAN,1998.0,social_liberty_equality,1.0,1,1,1,ALPERSON-DEAN,Dean,-1.0,False,
AL-1998-house-105-D-STRAUB,1998.0,environment_resources,2.0,2,1,1,ALPERSON-STRAUB,Straub,-0.5,False,
AL-1998-house-105-D-STRAUB,1998.0,labor_capital,1.0,1,1,1,ALPERSON-STRAUB,Straub,1.0,False,
AL-1998-house-105-D-STRAUB,1998.0,market_government_direction,2.0,2,1,1,ALPERSON-STRAUB,Straub,1.0,False,
AL-1998-house-105-D-STRAUB,1998.0,material_support,4.0,4,3,1,ALPERSON-STRAUB,Straub,-0.125,True,-0.125
AL-1998-house-105-D-STRAUB,1998.0,order_justice,7.0,7,1,1,ALPERSON-STRAUB,Straub,0.6428571428571429,False,
AL-1998-house-105-D-STRAUB,1998.0,social_liberty_equality,13.0,13,4,1,ALPERSON-STRAUB,Straub,-0.23076923076923078,True,-0.23076923076923078
AL-1998-house-105-R-CRIGLER,1998.0,environment_resources,4.0,4,1,1,ALPERSON-CRIGLER,Crigler,0.375,False,
AL-1998-house-105-R-CRIGLER,1998.0,labor_capital,1.0,1,1,1,ALPERSON-CRIGLER,Crigler,1.0,False,
AL-1998-house-105-R-CRIGLER,1998.0,market_government_direction,5.65,6,1,2,ALPERSON-CRIGLER,Crigler,0.415929203539823,False,
AL-1998-house-105-R-CRIGLER,1998.0,material_support,10.0,10,3,2,ALPERSON-CRIGLER,Crigler,0.6,True,0.6
AL-1998-house-105-R-CRIGLER,1998.0,order_justice,13.0,13,1,2,ALPERSON-CRIGLER,Crigler,0.8461538461538461,False,
AL-1998-house-105-R-CRIGLER,1998.0,social_liberty_equality,15.0,15,4,2,ALPERSON-CRIGLER,Crigler,-0.2,True,-0.2
AL-1998-house-11-D-WHITE,1998.0,environment_resources,6.0,6,1,1,ALPERSON-WHITE,White,-0.4166666666666667,False,
AL-1998-house-11-D-WHITE,1998.0,labor_capital,1.0,1,1,1,ALPERSON-WHITE,White,1.0,False,
AL-1998-house-11-D-WHITE,1998.0,market_government_direction,5.0,5,1,1,ALPERSON-WHITE,White,0.6,False,
AL-1998-house-11-D-WHITE,1998.0,material_support,7.0,7,3,1,ALPERSON-WHITE,White,0.8571428571428571,True,0.8571428571428571
AL-1998-house-11-D-WHITE,1998.0,order_justice,9.0,9,1,1,ALPERSON-WHITE,White,0.5,False,
AL-1998-house-11-D-WHITE,1998.0,social_liberty_equality,12.0,12,4,1,ALPERSON-WHITE,White,0.3333333333333333,True,0.3333333333333333
AL-1998-house-11-R-ODEN,1998.0,environment_resources,3.0,3,1,1,ALPERSON-ODEN,Oden,0.0,False,
AL-1998-house-11-R-ODEN,1998.0,market_government_direction,3.0,3,1,1,ALPERSON-ODEN,Oden,0.3333333333333333,False,
AL-1998-house-11-R-ODEN,1998.0,material_support,4.0,4,2,1,ALPERSON-ODEN,Oden,0.375,True,0.375
AL-1998-house-11-R-ODEN,1998.0,order_justice,10.0,10,1,1,ALPERSON-ODEN,Oden,0.8,False,
AL-1998-house-11-R-ODEN,1998.0,social_liberty_equality,12.0,12,4,1,ALPERSON-ODEN,Oden,-0.6666666666666666,True,-0.6666666666666666
AL-1998-house-12-D-MORRISON,1998.0,environment_resources,7.0,7,1,1,ALPERSON-MORRISON,Morrison,-0.5714285714285714,False,
AL-1998-house-12-D-MORRISON,1998.0,labor_capital,1.0,1,1,1,ALPERSON-MORRISON,Morrison,1.0,False,
AL-1998-house-12-D-MORRISON,1998.0,market_government_direction,7.65,8,1,3,ALPERSON-MORRISON,Morrison,0.09163398692810458,False,
AL-1998-house-12-D-MORRISON,1998.0,material_support,6.0,6,3,2,ALPERSON-MORRISON,Morrison,0.8333333333333334,True,0.8333333333333334
AL-1998-house-12-D-MORRISON,1998.0,order_justice,11.2,11,1,3,ALPERSON-MORRISON,Morrison,0.7767857142857143,False,
AL-1998-house-12-D-MORRISON,1998.0,social_liberty_equality,11.0,11,4,2,ALPERSON-MORRISON,Morrison,-0.2727272727272727,True,-0.2727272727272727
AL-1998-house-13-D-HOGAN,1998.0,environment_resources,5.0,5,1,1,ALPERSON-HOGAN,Hogan,-0.4,False,
AL-1998-house-13-D-HOGAN,1998.0,labor_capital,1.0,1,1,1,ALPERSON-HOGAN,Hogan,1.0,False,
AL-1998-house-13-D-HOGAN,1998.0,market_government_direction,5.65,6,1,3,ALPERSON-HOGAN,Hogan,0.06194690265486727,False,
