election_cycle,candidates_with_positions,candidate_issue_profiles,distinct_issues
1994.0,9,12,10
1998.0,126,1579,26
2002.0,148,1471,33
2006.0,140,1166,37
2010.0,191,2764,66
2014.0,166,4959,74
2018.0,185,4038,70
2022.0,159,2969,71
