canonical_candidate_id,bundle_id,dimensions_observed,dimensions_used,bundle_label,person_id,cycle,chamber,era,presidential_overperformance,federal_index_overperformance,candidate_cmo_total_oof
AL-1994-house-87-D-MATHIS,1,3,6,high social traditionalism + low material redistribution,ALPERSON-MATHIS,1994,house,pre_2008,-9.566205977293734,27.254983772814423,-3.0255477829076405
AL-1998-house-1-D-STARKEY,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-STARKEY,1998,house,pre_2008,23.16285783731873,10.885087497657482,10.016340350915574
AL-1998-house-105-D-STRAUB,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-STRAUB,1998,house,pre_2008,-4.93161459756138,35.386895863368444,-0.1607406811208118
AL-1998-house-11-D-WHITE,2,6,6,high gun rights + high market and development autonomy,ALPERSON-WHITE,1998,house,pre_2008,13.897856863244211,18.890506949634503,-5.4825246698350245
AL-1998-house-12-D-MORRISON,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-MORRISON,1998,house,pre_2008,46.05643323739498,56.03719865808877,27.88615336635641
AL-1998-house-13-D-HOGAN,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-HOGAN,1998,house,pre_2008,4.652814594113439,30.9148213283596,2.89299086651382
AL-1998-house-17-D-MILLICAN,2,3,6,high gun rights + high market and development autonomy,ALPERSON-MILLICAN,1998,house,pre_2008,46.11370434594326,65.81692223560866,35.84118389653459
AL-1998-house-18-D-MORROW,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-MORROW,1998,house,pre_2008,6.261079843304541,11.908899710146915,-3.328578618937364
AL-1998-house-2-D-HAMILTON,2,3,6,high gun rights + high market and development autonomy,ALPERSON-HAMILTON,1998,house,pre_2008,32.8169480974968,21.779726640213585,21.57885094095501
AL-1998-house-21-D-JONES,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-JONES,1998,house,pre_2008,27.952078360054166,17.73526234018167,12.251374606907554
AL-1998-house-22-D-HALL,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-HALL,1998,house,pre_2008,46.93758687155545,37.53330329925665,27.170576768011166
AL-1998-house-23-D-ROBINSON,2,3,6,high gun rights + high market and development autonomy,ALPERSON-ROBINSON,1998,house,pre_2008,16.02833374801666,14.444333322011506,7.486225462502823
AL-1998-house-25-D-HAWK,2,3,6,high gun rights + high market and development autonomy,ALPERSON-HAWK,1998,house,pre_2008,52.24983470866549,68.93116514748161,31.03110629640132
AL-1998-house-26-D-MCDANIEL,2,3,6,high gun rights + high market and development autonomy,ALPERSON-MCDANIEL,1998,house,pre_2008,62.70041570762905,79.35291117015178,43.054959082657945
AL-1998-house-27-D-MURPHREE,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-MURPHREE,1998,house,pre_2008,27.98703889606387,41.28323626972109,14.167333169194867
AL-1998-house-3-D-BLACK,2,3,6,high gun rights + high market and development autonomy,ALPERSON-BLACK,1998,house,pre_2008,30.078414229671573,25.890369829159003,22.66538460284132
AL-1998-house-30-D-GALLIHER,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-GALLIHER,1998,house,pre_2008,20.77031540040508,38.83429754800804,8.312305519597864
AL-1998-house-31-D-VENABLE,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-VENABLE,1998,house,pre_2008,51.34958886774276,68.3824385773849,32.40100571433042
AL-1998-house-32-D-BOYD,1,6,6,high social traditionalism + low material redistribution,ALPERSON-BOYD,1998,house,pre_2008,27.83556293108929,32.508812489067395,5.535940883568472
AL-1998-house-38-D-FULLER,2,3,6,high gun rights + high market and development autonomy,ALPERSON-FULLER,1998,house,pre_2008,20.896219122525014,41.78681162098265,15.948296241110796
AL-1998-house-49-D-BLAIR,6,4,6,low social traditionalism + high racial and political equality,ALPERSON-BLAIR,1998,house,pre_2008,33.67095741282822,53.20170039815915,21.102034855709647
AL-1998-house-5-D-CARTER,2,3,6,high gun rights + high market and development autonomy,ALPERSON-CARTER,1998,house,pre_2008,40.2220125990595,29.591766645993506,21.035268272151864
AL-1998-house-60-D-HILLIARD,2,3,6,high gun rights + high market and development autonomy,ALPERSON-HILLIARD,1998,house,pre_2008,73.13527385381914,48.548418680458255,6.351734746227102
AL-1998-house-62-D-TINGLE,3,6,6,low racial and political equality + high social traditionalism,ALPERSON-TINGLE,1998,house,pre_2008,-0.9697675726035032,13.845375640171502,-9.9925314088548
AL-1998-house-63-D-STANLEY,3,5,6,low racial and political equality + high social traditionalism,ALPERSON-STANLEY,1998,house,pre_2008,-24.974716813256755,-6.077038036752175,-31.069952131609703
AL-1998-house-64-D-WARREN,2,3,6,high gun rights + high market and development autonomy,ALPERSON-WARREN,1998,house,pre_2008,29.5635607760221,47.23225228824964,16.941576862468864
AL-1998-house-65-D-DOLBARE,2,3,6,high gun rights + high market and development autonomy,ALPERSON-DOLBARE,1998,house,pre_2008,37.0930213359574,65.73568163842702,26.26071293785159
AL-1998-house-72-D-HAYDEN,2,3,6,high gun rights + high market and development autonomy,ALPERSON-HAYDEN,1998,house,pre_2008,5.665800604772194,32.0085239304857,-2.72893423502277
AL-1998-house-8-D-DUKES,2,3,6,high gun rights + high market and development autonomy,ALPERSON-DUKES,1998,house,pre_2008,,40.045981708957605,36.601781576159446
AL-1998-house-80-D-VANCE,2,3,6,high gun rights + high market and development autonomy,ALPERSON-VANCE,1998,house,pre_2008,23.421053991167664,50.91378670506969,17.895531319444995
