legislator_name,chamber,district,party,rating,rating_year,organization,source_url,local_path,source_sha256,election_cycle,name_key,canonical_candidate_id,person_id,canonical_name,year_num,district_num,canonical_party
"Alexander, Louise",house,56.0,D,14.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,LOUISE ALEXANDER,,,,,,
"Allen, Wes",house,89.0,R,38.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,WES ALLEN,,,,,,
"Baker, Alan",house,66.0,R,26.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,ALAN BAKER,AL-2022-house-66-R-GSL066RBAK,ALPERSON-GSL066RBAK,GSL066RBAK,2022.0,66.0,R
"Ball, Mike",house,10.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,MIKE BALL,,,,,,
"Bedsole, Russell",house,49.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,RUSSELL BEDSOLE,AL-2022-house-49-R-GSL049RBED,ALPERSON-GSL049RBED,GSL049RBED,2022.0,49.0,R
"Blackshear, Chris",house,80.0,R,20.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,CHRIS BLACKSHEAR,AL-2022-house-80-R-GSL080RBLA,ALPERSON-GSL080RBLA,GSL080RBLA,2022.0,80.0,R
"Boyd, Barbara",house,32.0,D,6.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,BARBARA BOYD,AL-2022-house-32-D-GSL032DBOY,ALPERSON-GSL032DBOY,GSL032DBOY,2022.0,32.0,D
"Bracy, Napoleon",house,98.0,D,16.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,NAPOLEON BRACY,,,,,,
"Brown, Chip",house,105.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,CHIP BROWN,AL-2022-house-105-R-GSL105RBRO,ALPERSON-GSL105RBRO,GSL105RBRO,2022.0,105.0,R
"Brown, K.L.",house,40.0,R,27.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,K L BROWN,,,,,,
"Carns, Jim",house,48.0,R,31.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,JIM CARNS,AL-2022-house-48-R-GSL048RCAR,ALPERSON-GSL048RCAR,GSL048RCAR,2022.0,48.0,R
"Chestnut, Prince",house,67.0,D,7.0,2021,The Club for Growth,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,data\raw\ballotpedia\linked_scorecards\9c584895306b6269_2021-Alabama-House-Scorecard-FINAL.pdf,7a43df01326112d48bb9568c5501929772fa8e9533c9b695ac02a280cfeffaed,2022,PRINCE CHESTNUT,AL-2022-house-67-D-GSL067DCHE,ALPERSON-GSL067DCHE,GSL067DCHE,2022.0,67.0,D
