source_url,organization,status,rows
https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,The Club for Growth,parsed,103
https://web.archive.org/web/20240318201454/https://acu-ratings-pdfs.s3.amazonaws.com/ACU_Ratings_AL-2021.pdf,American Conservative Union (ACU),parsed,138
https://clubforgrowthfoundation.org/wp-content/uploads/2021/02/2020-Alabama-House-Scorecard-FINAL.pdf,The Club for Growth,parsed,102
https://clubforgrowthfoundation.org/wp-content/uploads/2020/08/2019-Alabama-House-Scorecard-FINAL.pdf,The Club for Growth,parsed,103
https://web.archive.org/web/20210421024106/http://acuratings.conservative.org/wp-content/uploads/sites/5/2019/09/CLA_Alabama_2019_web.pdf,American Conservative Union (ACU),parsed,140
https://web.archive.org/web/20210421055611/http://acuratings.conservative.org/wp-content/uploads/sites/5/2017/07/Alabama_2017_web-1.pdf,American Conservative Union (ACU),parsed,138
https://web.archive.org/web/20210421101303/http://acuratings.conservative.org/wp-content/uploads/sites/5/2016/08/Alabama_2016_web1.pdf,American Conservative Union (ACU),parsed,39
https://web.archive.org/web/20221107142903/https://www.nfib.com/assets/ALABAMA2018_Voting_Record-1.pdf,National Federation of Independent Business - Alabama,parsed,137
https://web.archive.org/web/20190430111223/http://acuratings.conservative.org/wp-content/uploads/sites/5/2018/10/Alabama_2018_web-1.pdf,American Conservative Union (ACU),parsed,80
