people_id,chamber,member_display_name,sessions,first_session,last_session,member_source_id,raw_recorded_votes,raw_rollcalls,classified_votes,classified_rollcalls,career_ideology_available,candidate_identity_linked,coverage_flag
3354,house,John Knight,9,2010,2018,LEGISCAN-3354,5428,5428,188,188,True,True,covered
3356,senate,Tammy Irons,4,2011,2014,LEGISCAN-3356,3334,3334,98,98,True,True,covered
3357,house,Laura Hall,17,2010,2026,LEGISCAN-3357,9946,9946,748,748,True,True,covered
3358,house,Artis McCampbell,17,2010,2026,LEGISCAN-3358,11769,11769,859,859,True,True,covered
3360,house,Barbara Boyd,17,2010,2026,LEGISCAN-3360,12772,12772,906,906,True,True,covered
3361,house,Joseph Mitchell,5,2010,2014,LEGISCAN-3361,647,647,27,27,True,True,covered
3368,house,Demetrius Newton,4,2010,2013,LEGISCAN-3368,1432,1432,60,60,True,True,covered
3370,house,Pebblin Warren,17,2010,2026,LEGISCAN-3370,12092,12092,864,864,True,True,covered
3371,house,Ralph Howard,13,2010,2022,LEGISCAN-3371,7079,7079,267,267,True,True,covered
3372,house,Thad McClammy,12,2010,2021,LEGISCAN-3372,7461,7461,225,225,True,True,covered
3374,house,Christopher England,17,2010,2026,LEGISCAN-3374,12781,12781,922,922,True,True,covered
3375,house,Oliver Robinson,7,2010,2016,LEGISCAN-3375,4556,4556,139,139,True,True,covered
3379,house,Mike Millican,9,2010,2018,LEGISCAN-3379,5900,5900,222,222,True,True,covered
3380,house,Marcel Black,9,2010,2018,LEGISCAN-3380,6354,6354,210,210,True,True,covered
3381,house,Alan Harper,9,2010,2018,LEGISCAN-3381,6360,6360,220,220,True,True,covered
3382,house,Thomas Jackson,17,2010,2026,LEGISCAN-3382,11259,11259,855,855,True,True,covered
3385,house,Lesley Vance,6,2010,2015,LEGISCAN-3385,4068,4068,145,145,True,True,covered
3386,senate,William Beasley,15,2011,2026,LEGISCAN-3386,12537,12537,607,607,True,True,covered
3387,house,Stephen Hurst,17,2010,2026,LEGISCAN-3387,14020,14020,945,945,True,True,covered
