policy_family,year_items,distinct_wordings,candidates_observed,selected_responses,deterministic_rules,unmapped_items,position_only_items,non_scorable_items,mapped_share
fiscal_tax_budget,365,160,4965,4029,147,173,15,30,0.40273972602739727
criminal_justice,134,78,3069,1754,53,72,0,9,0.39552238805970147
campaign_elections_government,133,75,3045,2744,13,64,47,9,0.09774436090225563
education,128,93,2851,1631,72,47,0,9,0.5625
foreign_policy_aid,116,94,148,109,0,103,0,13,0.0
healthcare,113,75,1923,935,31,73,0,9,0.2743362831858407
environment_energy_resources,111,79,1769,974,35,67,0,9,0.3153153153153153
abortion_reproductive,99,46,1884,842,77,14,0,8,0.7777777777777778
guns,84,48,1578,576,58,17,0,9,0.6904761904761905
labor_employment_civil_rights,83,55,1973,1189,27,44,0,12,0.3253012048192771
welfare_poverty_housing,69,50,1675,738,14,47,0,8,0.2028985507246377
social_civil_family,53,35,1165,737,30,19,0,4,0.5660377358490566
legislative_priorities,43,31,177,43,5,33,3,2,0.11627906976744186
economy_business,42,23,368,306,23,17,0,2,0.5476190476190477
immigration,41,33,48,21,0,37,0,4,0.0
defense_security_terrorism,31,26,38,30,0,28,0,3,0.0
drugs,23,18,30,14,3,17,0,3,0.13043478260869565
social_security_retirement,23,20,30,8,1,20,0,2,0.043478260869565216
technology_communications_privacy,19,18,28,17,0,16,1,2,0.0
federalism_intergovernmental,11,11,11,10,0,11,0,0,0.0
trade_globalization,8,8,8,8,0,8,0,0,0.0
