canonical_candidate_id,election_year,candidate_name,ballotpedia_url,section,subsection_year,link_text,link_url,source_category,scorecard_year
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,Alabama Policy Institute,https://indd.adobe.com/view/25a8d1db-7bd5-44f8-abe1-3c6e32b30746,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,National Federation of Independent Business,https://assets.nfib.com/nfibcom/Alabama-Voting-Record-19-22-Final.pdf,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,Alabama Policy Institute,https://indd.adobe.com/view/2846b645-004a-4bb2-8af8-5eab0592c3a7,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,Club for Growth Foundation,https://clubforgrowthfoundation.org/wp-content/uploads/2022/10/2021-Alabama-House-Scorecard-FINAL.pdf,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,The American Conservative Union,https://web.archive.org/web/20240318201454/https://acu-ratings-pdfs.s3.amazonaws.com/ACU_Ratings_AL-2021.pdf,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,Club for Growth Foundation,https://clubforgrowthfoundation.org/wp-content/uploads/2021/02/2020-Alabama-House-Scorecard-FINAL.pdf,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,The American Conservative Union,http://ratings.conservative.org/people?level=state&state=AL&year=2020,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,Club for Growth Foundation,https://clubforgrowthfoundation.org/wp-content/uploads/2020/08/2019-Alabama-House-Scorecard-FINAL.pdf,scorecard_publication,
AL-2018-house-28-R-GIL-F-ISBELL,2018,Gil F. Isbell,https://ballotpedia.org/Gil_Isbell,Scorecards,,The American Conservative Union,https://web.archive.org/web/20210421024106/http://acuratings.conservative.org/wp-content/uploads/sites/5/2019/09/CLA_Alabama_2019_web.pdf,scorecard_publication,
AL-2002-house-28-D-FORD-CRAIG,2002,"Ford, Craig",https://ballotpedia.org/Craig_Ford,Scorecards,,The American Conservative Union,https://web.archive.org/web/20210421055611/http://acuratings.conservative.org/wp-content/uploads/sites/5/2017/07/Alabama_2017_web-1.pdf,scorecard_publication,
AL-2002-house-28-D-FORD-CRAIG,2002,"Ford, Craig",https://ballotpedia.org/Craig_Ford,Scorecards,,The American Conservative Union,https://web.archive.org/web/20210421101303/http://acuratings.conservative.org/wp-content/uploads/sites/5/2016/08/Alabama_2016_web1.pdf,scorecard_publication,
AL-2002-house-28-D-FORD-CRAIG,2002,"Ford, Craig",https://ballotpedia.org/Craig_Ford,Scorecards,,The American Conservative Union,https://web.archive.org/web/20210421135512/http://acuratings.conservative.org/wp-content/uploads/sites/5/2016/02/Alabama_2015_web.pdf,scorecard_publication,
AL-2002-house-28-D-FORD-CRAIG,2002,"Ford, Craig",https://ballotpedia.org/Craig_Ford,Scorecards,,The American Conservative Union,https://web.archive.org/web/20191002062111/http://acuratings.conservative.org/state-rating/2014-alabama-state-legislative-ratings/,scorecard_publication,
AL-1998-house-3-D-BLACK,1998,Marcel Black,https://ballotpedia.org/Marcel_Black,Scorecards,,National Federation of Independent Business,https://web.archive.org/web/20221107142903/https://www.nfib.com/assets/ALABAMA2018_Voting_Record-1.pdf,scorecard_publication,
AL-1998-house-3-D-BLACK,1998,Marcel Black,https://ballotpedia.org/Marcel_Black,Scorecards,,The American Conservative Union,https://web.archive.org/web/20190430111223/http://acuratings.conservative.org/wp-content/uploads/sites/5/2018/10/Alabama_2018_web-1.pdf,scorecard_publication,
