cycle,acs_vintage,cell,prior_strength,catalist_shifted_prior,estimated_dem_support,estimated_turnout,optimizer_success,precinct_weighted_mae,state_dem_share_error,vote_total_error_pct,prior_sensitivity_range,boundary_solution,release_eligible,unweighted_n,effective_n,ces_dem_two_party_share,ei_minus_ces,external_validation_pass
2018,2022,white_nh_noncollege,400.0,0.2019122168738417,0.0429115583468267,0.4542927802964052,True,0.0682071311508081,-0.000172196329155,-0.0010122798251301,0.0057675302121059,False,True,233,120.90342400226673,0.17389566853416585,-0.13098411018733916,True
2018,2022,white_nh_college,400.0,0.3072104799048881,0.3924902715676912,0.6384743350044787,True,0.0682071311508081,-0.000172196329155,-0.0010122798251301,0.0130131807297823,False,True,179,127.1453656846673,0.36287190413175835,0.029618367435932824,True
2018,2022,black_noncollege,400.0,0.8816033545123416,0.9935278456215064,0.5010212533692792,True,0.0682071311508081,-0.000172196329155,-0.0010122798251301,0.0051081016171578,True,False,72,25.975695954433682,0.9534930194991609,0.040034826122345546,True
2018,2022,black_college,400.0,0.8255060756275763,0.9588529219130278,0.5280728728779626,True,0.0682071311508081,-0.000172196329155,-0.0010122798251301,0.016651336900041,False,True,43,22.747259853056214,0.9760889380644765,-0.017236016151448652,True
2018,2022,other_noncollege,400.0,0.3784486143422482,0.5877744153691161,0.3522764198355929,True,0.0682071311508081,-0.000172196329155,-0.0010122798251301,0.0721095956926436,False,True,14,3.702731222240015,0.24555290879773287,0.3422215065713833,False
2018,2022,other_college,400.0,0.4654337582061503,0.6954613726326927,0.4839601804158217,True,0.0682071311508081,-0.000172196329155,-0.0010122798251301,0.2108785847268498,False,False,17,10.136959172224985,0.4415733888470982,0.2538879837855945,False
2020,2022,white_nh_noncollege,400.0,0.1928925887865765,0.0151865686771029,0.6609147613359958,True,0.0647898002998158,0.0012174929124842,0.0003609836507469,0.0073511843474078,True,False,221,123.54842003300328,0.12123527140647714,-0.10604870272937424,True
2020,2022,white_nh_college,400.0,0.3172729595833185,0.35141783595933,0.7502554072643628,True,0.0647898002998158,0.0012174929124842,0.0003609836507469,0.0184831805872613,False,True,125,98.82814986288967,0.19621942361598466,0.15519841234334536,False
2020,2022,black_noncollege,400.0,0.7619699317877097,0.9981356462824318,0.6426572746897152,True,0.0647898002998158,0.0012174929124842,0.0003609836507469,0.0055181812623421,True,False,69,21.355765075079432,0.7831481216606698,0.21498752462176196,False
2020,2022,black_college,400.0,0.7418332864075223,0.98907773648553,0.679643809212919,True,0.0647898002998158,0.0012174929124842,0.0003609836507469,0.0255867105412798,True,False,39,27.893604488375487,0.9676103800978458,0.021467356387684156,True
2020,2022,other_noncollege,400.0,0.3404045269384405,0.7322845175238102,0.5059713782661811,True,0.0647898002998158,0.0012174929124842,0.0003609836507469,0.1161618436754204,False,False,17,11.995331377613601,0.12290215338322752,0.6093823641405827,False
2020,2022,other_college,400.0,0.3985864311076643,0.7466786456928941,0.6562202438719676,True,0.0647898002998158,0.0012174929124842,0.0003609836507469,0.2399439705372619,False,False,18,13.769874055546259,0.36843728206011156,0.37824136363278255,False
