cycle,acs_vintage,cell,prior_strength,shifted_catalist_prior,estimated_dem_support,estimated_turnout,optimizer_success,precinct_weighted_mae,vote_total_error_pct,prior_sensitivity_range,polarization_anchor,anchor_difference,cell_gate_passed
2018,2022,white_nh_noncollege,400.0,0.20070743801466281,0.04770716823128983,0.45350818265665466,True,0.06858532213573636,-0.0020386134990109327,0.004326503021785097,0.9570175438596492,,True
2018,2022,white_nh_college,400.0,0.3056180018749387,0.4151542713250345,0.6463525322595554,True,0.06858532213573636,-0.0020386134990109327,0.0027667945302719543,0.9570175438596492,,True
2018,2022,black_noncollege,400.0,0.8808189875842939,0.993626254993001,0.5052859980465193,True,0.06858532213573636,-0.0020386134990109327,0.006793135032304387,0.9570175438596492,0.036608711133351735,True
2018,2022,black_college,400.0,0.8244240832827989,0.9688829683101297,0.535078853671061,True,0.06858532213573636,-0.0020386134990109327,0.02253859290335214,0.9570175438596492,0.011865424450480444,True
2018,2022,other,400.0,0.41835036650124263,0.41835036650124263,0.347296891987987,True,0.06858532213573636,-0.0020386134990109327,0.0,0.9570175438596492,,True
2020,2022,white_nh_noncollege,400.0,0.19215755097578666,0.0251135066311102,0.6571691594002173,True,0.06597308901819134,-0.0009546067510838785,0.004108521043384078,0.9723874861225767,,True
2020,2022,white_nh_college,400.0,0.3162496711235103,0.3941165880707403,0.75731332439776,True,0.06597308901819134,-0.0009546067510838785,0.0029016586006767597,0.9723874861225767,,True
2020,2022,black_noncollege,400.0,0.7611113120108346,0.9985720069364051,0.6560476565794072,True,0.06597308901819134,-0.0009546067510838785,0.005009494323194974,0.9723874861225767,0.026184520813828382,True
2020,2022,black_college,400.0,0.7409267267327849,0.9909965832939416,0.6915803448046985,True,0.06597308901819134,-0.0009546067510838785,0.023511997970608767,0.9723874861225767,0.01860909717136483,True
2020,2022,other,400.0,0.3675666730089903,0.3675666730089903,0.4939354775123815,True,0.06597308901819134,-0.0009546067510838785,0.0,0.9723874861225767,,True
