method,target_year,groups,weighted_mae_points,median_ae_points
carry_forward,2018,15,9.589929972226756,8.411539843703093
carry_forward,2020,15,10.664708227898,10.081490276960569
carry_forward,2022,15,3.7421182723900177,5.221879464622692
carry_forward,2024,15,4.470362005304797,4.175634890738089
demographic_pooled_transfer,2018,15,7.278533064597498,7.334330716557669
demographic_pooled_transfer,2020,15,10.674839866874338,10.28788817317916
demographic_pooled_transfer,2022,15,4.324840931393636,5.322123834840841
demographic_pooled_transfer,2024,15,4.911919349065704,4.155968008938651
demographic_unit_transfer,2018,15,7.278533064597498,7.334330716557669
demographic_unit_transfer,2020,15,10.670940406601508,10.178565673919588
demographic_unit_transfer,2022,15,4.11979419896517,5.575332040730807
demographic_unit_transfer,2024,15,5.0054350001270285,4.1530162494263445
uniform_national_swing,2018,15,7.667424867995048,6.769543051339633
uniform_national_swing,2020,15,10.806113002490177,10.235545402941765
uniform_national_swing,2022,15,3.9761482210131294,4.668258052922564
uniform_national_swing,2024,15,4.819598367166222,4.620684962984736
carry_forward,all,60,7.3054261506009,6.528771497804517
demographic_pooled_transfer,all,60,6.906210380858259,6.977406336283563
demographic_unit_transfer,all,60,6.887626180491619,7.254634617150648
uniform_national_swing,all,60,6.950663667098275,6.198500575002949
