sha256,poll_ids,local_path,reason
0ad1992f54424f2be25ccb2e0b7ccb2b55858e674cc92ea52764dc7a658703ac,gen202foc42312cd7|gen202focde986d92,data\raw\polling\votehub_crosstabs\gen202foc42312cd7_0ad1992f5442.xlsx,No final House generic-ballot banner (component questions only)
2d57384f9e8070b0f2feb65280f110baad8c784837f6b7ba66a417562f554fa9,gen202foc290a9926|gen202foc15ef8992,data\raw\polling\votehub_crosstabs\gen202foc290a9926_2d57384f9e80.xlsx,No final House generic-ballot banner (component questions only)
610cbf6a544d8998808851d01d1958c50342a758849fbf67318b62054d0f7ce0,gen202foc4dadf601|gen202foccaecc3f9,data\raw\polling\votehub_crosstabs\gen202foc4dadf601_610cbf6a544d.xlsx,No final House generic-ballot banner (component questions only)
e154a2f1c3297b06d09d21799d46e06933f2ccd52f8e2e89506b6567def4ef2f,gen202focec036b61|gen202foc64195cbb|gen202foc9688c25e|gen202foc331c995c,data\raw\polling\votehub_crosstabs\gen202foc64195cbb_e154a2f1c329.xlsx,No final House generic-ballot banner (component questions only)
