poll_id,dimension,group,dem_pct,rep_pct,cell_base,population_override,source_url,page_or_table,extraction_method,reviewed
gen202mart725c1lc,race,hispanic,59.0,35.0,,rv,https://maristpoll.marist.edu/wp-content/uploads/2025/11/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202511141156-1.pdf,PDF page 8,marist_pdf_table_adapter_v1,True
gen202mart725c1lc,education,marist_not_college_grad,51.0,46.0,,rv,https://maristpoll.marist.edu/wp-content/uploads/2025/11/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202511141156-1.pdf,PDF page 8,marist_pdf_table_adapter_v1,True
gen202mart725c1lc,education,marist_college_grad,62.0,33.0,,rv,https://maristpoll.marist.edu/wp-content/uploads/2025/11/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202511141156-1.pdf,PDF page 8,marist_pdf_table_adapter_v1,True
gen202mart725c1lc,race_education,white_noncollege,44.0,54.0,,rv,https://maristpoll.marist.edu/wp-content/uploads/2025/11/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202511141156-1.pdf,PDF page 8,marist_pdf_table_adapter_v1,True
gen202mart725c1lc,race_education,white_college,60.0,35.0,,rv,https://maristpoll.marist.edu/wp-content/uploads/2025/11/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202511141156-1.pdf,PDF page 8,marist_pdf_table_adapter_v1,True
gen202pub1eunsp9r,overall,all,48.0,41.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF pages 4-5,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,race,hispanic,46.0,36.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 4,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,race,white,43.0,48.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 4,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,race,black,71.0,13.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 4,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,race,other,75.0,23.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 4,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,education,ppp_hs_or_less,30.0,53.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 5,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,education,ppp_some_college,55.0,38.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 5,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,education,ppp_associate,34.0,47.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 5,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,education,ppp_bachelors,55.0,37.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 5,ppp_pdf_table_adapter_v1,True
gen202pub1eunsp9r,education,ppp_postgrad,62.0,32.0,,rv,https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf,PDF page 5,ppp_pdf_table_adapter_v1,True
