dimension,group,date,dem_raw_share,rep_raw_share,unweighted_base,dem_two_party_share,dem_margin_two_party
overall,all,2017-04-11,0.4,0.37,1324,0.5194805194805195,3.8961038961038996
overall,all,2017-04-18,0.38,0.32,1284,0.5428571428571429,8.571428571428571
overall,all,2017-04-25,0.39,0.34,1289,0.5342465753424658,6.84931506849315
overall,all,2017-05-02,0.38,0.35,1245,0.5205479452054794,4.109589041095894
overall,all,2017-05-09,0.4,0.35,1278,0.5333333333333333,6.666666666666672
overall,all,2017-05-16,0.4,0.33,1293,0.5479452054794521,9.589041095890412
overall,all,2017-05-23,0.38,0.36,1266,0.5135135135135135,2.7027027027027053
overall,all,2017-05-30,0.39,0.33,1266,0.5416666666666667,8.333333333333334
overall,all,2017-06-06,0.41,0.37,1275,0.5256410256410255,5.128205128205126
overall,all,2017-06-13,0.38,0.36,1298,0.5135135135135135,2.7027027027027053
overall,all,2017-06-20,0.38,0.35,1271,0.5205479452054794,4.109589041095894
overall,all,2017-06-27,0.41,0.35,1279,0.5394736842105263,7.894736842105263
overall,all,2017-07-04,0.37,0.35,1310,0.513888888888889,2.7777777777777803
overall,all,2017-07-11,0.39,0.32,1274,0.5492957746478874,9.859154929577466
overall,all,2017-07-18,0.4,0.34,1264,0.5405405405405406,8.108108108108109
overall,all,2017-07-25,0.4,0.34,1270,0.5405405405405406,8.108108108108109
overall,all,2017-08-01,0.39,0.34,1316,0.5342465753424658,6.84931506849315
overall,all,2017-08-08,0.39,0.34,1293,0.5342465753424658,6.84931506849315
overall,all,2017-08-15,0.41,0.33,1282,0.5540540540540541,10.810810810810807
overall,all,2017-08-22,0.39,0.33,1316,0.5416666666666667,8.333333333333334
overall,all,2017-08-29,0.4,0.32,1268,0.5555555555555556,11.111111111111114
overall,all,2017-09-05,0.39,0.33,1303,0.5416666666666667,8.333333333333334
overall,all,2017-09-12,0.4,0.31,1309,0.5633802816901409,12.676056338028172
overall,all,2017-09-19,0.39,0.33,1278,0.5416666666666667,8.333333333333334
overall,all,2017-09-26,0.4,0.34,1245,0.5405405405405406,8.108108108108109
overall,all,2017-10-03,0.39,0.32,1293,0.5492957746478874,9.859154929577466
overall,all,2017-10-10,0.4,0.33,1272,0.5479452054794521,9.589041095890412
overall,all,2017-10-17,0.41,0.33,1320,0.5540540540540541,10.810810810810807
overall,all,2017-10-24,0.4,0.33,1310,0.5479452054794521,9.589041095890412
overall,all,2017-10-31,0.39,0.36,1278,0.52,4.0000000000000036
overall,all,2017-11-07,0.4,0.33,1329,0.5479452054794521,9.589041095890412
overall,all,2017-11-14,0.42,0.34,1277,0.5526315789473684,10.52631578947368
overall,all,2017-11-21,0.42,0.33,1333,0.5599999999999999,11.999999999999995
overall,all,2017-11-28,0.41,0.35,1313,0.5394736842105263,7.894736842105263
overall,all,2017-12-05,0.42,0.36,1337,0.5384615384615384,7.692307692307692
overall,all,2017-12-12,0.44,0.36,1328,0.5499999999999999,10.000000000000002
