year,election_type,dimension,group,metric,value,source_vintage,source_url
2012,president,intersectional,Other Non-College,dem_two_party_share_pct,57.17,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Other Women,dem_two_party_share_pct,61.99,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Rural AAPI,dem_two_party_share_pct,61.21,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Rural Black,dem_two_party_share_pct,94.88,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Rural Latino,dem_two_party_share_pct,52.35,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Rural Other,dem_two_party_share_pct,46.13,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Rural White,dem_two_party_share_pct,32.85,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Suburban AAPI,dem_two_party_share_pct,70.28,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Suburban Black,dem_two_party_share_pct,95.85,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Suburban Latino,dem_two_party_share_pct,63.16,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Suburban Other,dem_two_party_share_pct,56.55,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Suburban White,dem_two_party_share_pct,42.1,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Urban AAPI,dem_two_party_share_pct,79.57,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Urban Black,dem_two_party_share_pct,98.0,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Urban Latino,dem_two_party_share_pct,75.8,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Urban Other,dem_two_party_share_pct,73.81,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,Urban White,dem_two_party_share_pct,61.49,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White 18-29,dem_two_party_share_pct,49.98,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White 30-44,dem_two_party_share_pct,41.6,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White 45-64,dem_two_party_share_pct,41.34,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White 65+,dem_two_party_share_pct,40.37,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White College,dem_two_party_share_pct,46.73,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White College Men,dem_two_party_share_pct,41.83,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White College Women,dem_two_party_share_pct,51.35,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Married Men,dem_two_party_share_pct,33.97,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Married Women,dem_two_party_share_pct,40.24,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Men,dem_two_party_share_pct,38.77,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Non-College,dem_two_party_share_pct,39.8,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Non-College Men,dem_two_party_share_pct,36.97,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Non-College Women,dem_two_party_share_pct,42.15,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Single Men,dem_two_party_share_pct,47.08,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Single Women,dem_two_party_share_pct,51.61,2024_workbook,https://catalist.us/whathappened2024/
2012,president,intersectional,White Women,dem_two_party_share_pct,45.28,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Baby Boomers,dem_two_party_share_pct,50.31,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Female 18-29,dem_two_party_share_pct,65.81,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Female 30-44,dem_two_party_share_pct,57.25,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Female 45-64,dem_two_party_share_pct,54.21,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Female 65+,dem_two_party_share_pct,49.75,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Gen X,dem_two_party_share_pct,52.06,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Gen Z / Millennials,dem_two_party_share_pct,61.84,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Latina Women,dem_two_party_share_pct,71.25,2024_workbook,https://catalist.us/whathappened2024/
2012,president,other,Male 18-29,dem_two_party_share_pct,57.87,2024_workbook,https://catalist.us/whathappened2024/
