year,unweighted_n,effective_n,dem_two_party_margin
2006,227,177.81103783982533,4.143440790478678
2008,138,95.08903504654121,-21.47098149574728
2010,348,174.38433180988991,-43.81037708287967
2012,480,206.07763167535148,-29.42454931063176
2014,329,143.32308313386025,-57.81121861240076
2016,414,160.5578224887171,-36.276623749342384
2018,558,251.39264680554288,-19.4535440619362
2020,489,233.8025332858499,-39.61652461585733
2022,414,197.43535448276137,-40.31040027007986
2024,504,263.57886935623156,-44.14583779964531
