war_outcome_id,state_code,cycle,chamber,district,dem_candidate_name,rep_candidate_name,ambiguous_result_rows,ambiguous_two_party_votes,validation_status,build_run_id,blocking_reason,resolution_needed
WAROUT-D127BA66C9EACF3A8C1B,MS,2019,lower,7,"GILLESPIEISOM, THERESA","HOPKINS, STEVE",1,1549.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-AADE9452D20234B453FA,MS,2019,lower,10,"DAILEY, BOBBY E","WILLIAMSON, BRADY",1,326.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-9B1A17CD6A6DAF77C251,MS,2019,lower,13,"DENHAM, PAMELA J","MASSENGILL, STEVE E",1,347.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-D62057F42ABD2B21A435,MS,2019,lower,15,"MONTGOMERY, PAT","HUDDLESTON, E MAC",2,884.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-DD54BEBF78B1741A876E,MS,2019,lower,22,"LANCASTER, JON","FUTRAL, THOMAS (TOMMY)",2,884.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-3D84B71F9A5F5F420948,MS,2019,lower,28,"WILLIAMS, MATT","DARNELL, JERRY",1,1549.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-23EBAE759477F9B20E10,MS,2019,lower,40,"JACKSONMCCRAY, HESTER","HENLEY, ASHLEY",1,1549.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-5AAFE36141F3C8FAFF06,MS,2019,lower,53,"WILKINSONGOSS, RITA","MANGOLD, VINCE",9,2154.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-66029E97FAC3BDCE8029,MS,2019,lower,56,"SLATER, VICKI","GUNN, PHILIP",4,5052.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
WAROUT-826F97470C1CF78DA6F5,MS,2019,lower,64,"YATES, SHANDA M","DENNY, WILLIAM C (BILL), JR",4,4778.0,review,RUN-971118910F5E4DF68E316573C3AAABB2,unresolved 2012 result has plausible donor geometry in multiple 2019-plan districts,official precinct identity evidence or validated 2012 result-to-precinct crosswalk
