bill_id,session_id,session_year,session_name,bill_number,title,description,status,status_date,url,state_link,source_archive,source_member,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,terminal_statuses,issue_codes,classification_sources,text_documents,documents_present,document_types,taxonomy_warning,review_priority,frontier_review_status,frontier_decision,frontier_axes,frontier_poles,frontier_confidence,frontier_rationale
299382,131,2011,Regular Session 2011,SB309,"State Employees' Health Insurance Plan, employees retiring after December 31, 2011, required to have at least 10 years creditable service for retiree coverage, premiums subject to sliding scale calculation, based on years of service and difference between the age of the employee at retirement and the Medicare entitlement age, false information basis for disqualification of coverage, employer contribution for non-Medicare retiree not to exceed contribution for active employee, Secs. 36-29-1, 36-29-7, 36-29-8, 36-29-10, 36-29-19.4, 36-29-19.7 am'd. (2011-20786)","State Employees' Health Insurance Plan, employees retiring after December 31, 2011, required to have at least 10 years creditable service for retiree coverage, premiums subject to sliding scale calculation, based on years of service and difference between the age of the employee at retirement and the Medicare entitlement age, false information basis for disqualification of coverage, employer contribution for non-Medicare retiree not to exceed contribution for active employee, Secs. 36-29-1, 36-29-7, 36-29-8, 36-29-10, 36-29-19.4, 36-29-19.7 am'd. (2011-20786)",4,2011-06-09,https://legiscan.com/AL/bill/SB309/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB309,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/SB309.json,13,1,public_employee_compensation,reduce,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,healthcare|public_employee_benefits,human_anchor_review|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,map,public_employee_compensation,reduce,high,"Raises service requirements and shifts retiree health-premium costs toward later retirees; this is a direct reduction in public-employee compensation, not a generic spending vote."
300106,131,2011,Regular Session 2011,SB419,"Public Education Employees' Health Insurance Plan (PEEHIP), employees retiring after December 31, 2011, subject to sliding scale premium calculation based on years of service and difference between age of employee at retirement and Medicare entitlement age, limit on employer contribution based on other health insurance of spouse, false information basis for disqualification of coverage, employer contribution for non-Medicare retiree not to exceed contribution for active employee, Secs. 16-25A-1, 16-25A-8.1, 16-25A-17.1, 16-25A-20, 16-25A-22 am'd. (2011-20825)","Public Education Employees' Health Insurance Plan (PEEHIP), employees retiring after December 31, 2011, subject to sliding scale premium calculation based on years of service and difference between age of employee at retirement and Medicare entitlement age, limit on employer contribution based on other health insurance of spouse, false information basis for disqualification of coverage, employer contribution for non-Medicare retiree not to exceed contribution for active employee, Secs. 16-25A-1, 16-25A-8.1, 16-25A-17.1, 16-25A-20, 16-25A-22 am'd. (2011-20825)",4,2011-06-09,https://legiscan.com/AL/bill/SB419/2011,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB419,AL_2011-2011_Regular_Session_JSON_20110609_8630dd6dd02598534d1c350c45095228.zip,AL/2011-2011_Regular_Session/bill/SB419.json,8,1,labor_rights,restrict,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,healthcare|labor_unions,human_anchor_review|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,map,public_employee_compensation,reduce,high,Raises service requirements and shifts PEEHIP retiree premium costs toward education retirees. The prior labor-rights label confused employee compensation with collective-bargaining power.
520754,959,2013,Regular Session 2013,SB286,"Firearms, preemption of, municipalities to regulate under limited conditions, possession of a pistol further provided for, possession of in motor vehicles under certain conditions, pistol permits, further provided for, revocation and appeal of denials, business license tax for gun shows, further provided for, use of force to protect business property or self authorized, Sec. 11-45-1.1 repealed; Secs. 11-80-11, 13A-3-23, 13A-11-7, 13A-11-52, 13A-11-70, 13A-11-73, 13A-11-75, 13A-11-85, 40-12-143 am'd.","Firearms, preemption of, municipalities to regulate under limited conditions, possession of a pistol further provided for, possession of in motor vehicles under certain conditions, pistol permits, further provided for, revocation and appeal of denials, business license tax for gun shows, further provided for, use of force to protect business property or self authorized, Sec. 11-45-1.1 repealed; Secs. 11-80-11, 13A-3-23, 13A-11-7, 13A-11-52, 13A-11-70, 13A-11-73, 13A-11-75, 13A-11-85, 40-12-143 am'd.",4,2013-05-20,https://legiscan.com/AL/bill/SB286/2013,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=SB286,AL_2013-2013_Regular_Session_JSON_20130520_57dd2f44a1f468732ac4db74fd0e8e2e.zip,AL/2013-2013_Regular_Session/bill/SB286.json,27,1,gun_access,expand,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,guns,human_anchor_review|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,multi_axis,gun_access;self_defense,expand;expand,high,"Broad firearms-preemption, vehicle-possession, permit, and defensive-force measure. Its principal effect expands gun access and constrains local regulation; the defensive-force provision independently broadens self-defense authority."
834755,1172,2016,Regular Session 2016,HB45,"Unborn infants, bodily remains disposition regulated, sale or unlawful disposition of bodily remains of unborn infant prohibited, use of unborn infant for certain research or transplantation, prohibited, criminal penalties, Unborn Infants Dignity of Life Act","Unborn infants, bodily remains disposition regulated, sale or unlawful disposition of bodily remains of unborn infant prohibited, use of unborn infant for certain research or transplantation, prohibited, criminal penalties, Unborn Infants Dignity of Life Act",4,2016-04-07,https://legiscan.com/AL/bill/HB45/2016,http://alisondb.legislature.state.al.us/alison/SESSBillResult.ASPX?WIN_TYPE=BillResult&BILL=HB45,AL_2016-2016_Regular_Session_JSON_20160504_e800c0b0cdea4446e6a9ef36040ac9ba.zip,AL/2016-2016_Regular_Session/bill/HB45.json,4,1,abortion_access,restrict,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,abortion|criminal_justice,human_anchor_review|none,1,1,Introduced,,0,reviewed,map,abortion_access,restrict,high,"Regulates disposition and use of fetal remains and prohibits specified research or transfer. This belongs under abortion and fetal-personhood policy, with a restrictive direction."
947158,1254,2017,Regular Session 2017,HB95,"Health care providers, authorized to decline to perform services that violate their consciences, exceptions, Health Care Rights of Conscience Act","Health care providers, authorized to decline to perform services that violate their consciences, exceptions, Health Care Rights of Conscience Act",4,2017-04-20,https://legiscan.com/AL/bill/HB95/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB95&WIN_TYPE=SELECTED_STATUS,AL_2017-2017_Regular_Session_JSON_20170519_a6e8167b88b79bd5122564de30d42fb2.zip,AL/2017-2017_Regular_Session/bill/HB95.json,4,1,religion_state,accommodation_establishment,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|v3_direction_accepted,healthcare|healthcare_conscience,human_anchor_review|none,1,1,Introduced,,0,reviewed,multi_axis,religion_state;abortion_access,accommodation_establishment;restrict,medium,Creates a broad conscience refusal right for health-care providers. It expands religious accommodation and can restrict practical access to services including reproductive care; the second effect should be retained only where the enacted exceptions confirm that scope.
947461,1254,2017,Regular Session 2017,HB96,"Suicide, Assisted Suicide Ban Act, established, person or health care provider prohibited from deliberately providing aid in dying under certain conditions, civil and criminal penalties","Suicide, Assisted Suicide Ban Act, established, person or health care provider prohibited from deliberately providing aid in dying under certain conditions, civil and criminal penalties",4,2017-04-27,https://legiscan.com/AL/bill/HB96/2017,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB96&WIN_TYPE=SELECTED_STATUS,AL_2017-2017_Regular_Session_JSON_20170519_a6e8167b88b79bd5122564de30d42fb2.zip,AL/2017-2017_Regular_Session/bill/HB96.json,5,1,bioethics_end_of_life,restrictive,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,assisted_dying|criminal_justice,human_anchor_review|none,1,1,Introduced,,0,reviewed,map,bioethics_end_of_life,restrictive,high,Creates civil and criminal prohibitions on assisted suicide. This is a direct restrictive end-of-life-policy vote and should not be generalized to unrelated criminal punishment.
1101910,1468,2018,Regular Session 2018,HB490,"Interpreters and Transliterators, members of public, with prior written approval of local bd of ed., provide services to public school students in emergency and incidental situations, Sec. 34-16-7 am'd.","Interpreters and Transliterators, members of public, with prior written approval of local bd of ed., provide services to public school students in emergency and incidental situations, Sec. 34-16-7 am'd.",1,2018-03-06,https://legiscan.com/AL/bill/HB490/2018,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB490&WIN_TYPE=SELECTED_STATUS,AL_2018-2018_Regular_Session_JSON_20180329_d0d7e3346110d0a0729590eab6a018f3.zip,AL/2018-2018_Regular_Session/bill/HB490.json,2,1,market_governance,market_autonomy,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|v3_direction_accepted,occupational_licensing|public_education,human_anchor_review|none,1,1,Introduced,,0,reviewed,local_non_generalizable,market_governance,market_autonomy,high,"Allows narrowly supervised emergency or incidental interpreting in public schools. Although it relaxes one licensing rule, the exception is too narrow and operational to support a general market-autonomy score."
1057149,1468,2018,Regular Session 2018,SB159,"Public schools, professional educators' associations granted same level of access to employees of public schools","Public schools, professional educators' associations granted same level of access to employees of public schools",4,2018-03-08,https://legiscan.com/AL/bill/SB159/2018,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB159&WIN_TYPE=SELECTED_STATUS,AL_2018-2018_Regular_Session_JSON_20180329_d0d7e3346110d0a0729590eab6a018f3.zip,AL/2018-2018_Regular_Session/bill/SB159.json,2,1,labor_rights,restrict,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|v3_direction_accepted,labor_unions|public_education,human_anchor_review|none,1,1,Introduced,,0,reviewed,map,labor_rights,restrict,medium,"Requires equal school access for professional educators' associations, weakening exclusive or preferential access by the incumbent education association. The labor-direction inference is plausible but indirect because the synopsis does not identify bargaining or dues rights."
1250323,1621,2019,Regular Session 2019,HB380,"Pardons and Paroles Board, Governor, appointment of bd. members, nominations, appointment of Director of Pardons and Paroles, responsibilities, criteria for board to determine consideration for parole, procedures for deviations, AG to reveiw, Secs. 15-22-20, 15-22-21, 15-22-26, 15-22-28, 15-22-36, 15-22-37 am'd.","Pardons and Paroles Board, Governor, appointment of bd. members, nominations, appointment of Director of Pardons and Paroles, responsibilities, criteria for board to determine consideration for parole, procedures for deviations, AG to reveiw, Secs. 15-22-20, 15-22-21, 15-22-26, 15-22-28, 15-22-36, 15-22-37 am'd.",4,2019-05-30,https://legiscan.com/AL/bill/HB380/2019,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB380&WIN_TYPE=SELECTED_STATUS,AL_2019-2019_Regular_Session_JSON_20190531_9b74165d24c2ec12859de227180a7c75.zip,AL/2019-2019_Regular_Session/bill/HB380.json,11,1,criminal_punishment,punitive,ministral_structured_then_schema_validated|prior_v3_audit,excluded_after_substantive_text_review|procedural_or_amendment_excluded|v3_direction_accepted,criminal_justice,human_anchor_review|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,multi_axis,criminal_punishment;institutional_executive_power,punitive;expand_executive,high,Tightens parole consideration and restructures appointment and oversight of the parole board. It is both a punitive parole measure and a transfer of institutional authority toward the Governor and Attorney General.
1445941,1756,2021,Regular Session 2021,SB221,"Corrections Dept., to create Deputy Commissioner of Prison Rehabilitation within Dept. of Corrections, to create Deputy Director for Parolee Rehabilitation within Board of Pardons and Paroles, to create the Study Commission on Interagency Cooperation and Collaboration on the Rehabilitation and Reintegration of Formerly Incarcerated Individuals and to provide for its duties, to provide for membership, Sec. 14-1-1.5 am'd.","Corrections Dept., to create Deputy Commissioner of Prison Rehabilitation within Dept. of Corrections, to create Deputy Director for Parolee Rehabilitation within Board of Pardons and Paroles, to create the Study Commission on Interagency Cooperation and Collaboration on the Rehabilitation and Reintegration of Formerly Incarcerated Individuals and to provide for its duties, to provide for membership, Sec. 14-1-1.5 am'd.",4,2021-05-17,https://legiscan.com/AL/bill/SB221/2021,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB221&WIN_TYPE=SELECTED_STATUS,AL_2021-2021_Regular_Session_JSON_20210517_9dbae3295ccffea07cbd134e93992ed4.zip,AL/2021-2021_Regular_Session/bill/SB221.json,6,1,criminal_punishment,rehabilitative,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,criminal_justice,deterministic_high_precision_rule|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,map,criminal_punishment,rehabilitative,high,Creates senior rehabilitation offices and an interagency reintegration commission. The stated institutional purpose directly favors rehabilitation and reentry.
1586808,1836,2022,Regular Session 2022,HB322,"Public schools, restrooms or changing areas, required to be used based on individual's biological sex, kindergarden to fifth grade classroom instruction, limited regarding sexual orientation or gender identity, St. Board of Education to adopt rules","Public schools, restrooms or changing areas, required to be used based on individual's biological sex, kindergarden to fifth grade classroom instruction, limited regarding sexual orientation or gender identity, St. Board of Education to adopt rules",4,2022-04-07,https://legiscan.com/AL/bill/HB322/2022,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB322&WIN_TYPE=SELECTED_STATUS,AL_2022-2022_Regular_Session_JSON_20220407_7dc12ea62a642080f5e7d5407a5ef9ca.zip,AL/2022-2022_Regular_Session/bill/HB322.json,7,1,education_public_funding,reduce,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|procedural_or_amendment_excluded|v3_direction_accepted,public_education,deterministic_high_precision_rule|none,2,2,Enrolled|Introduced,,0,reviewed,multi_axis,christian_sexual_morality;education_curriculum_control,traditionalist;restrict_instruction,high,Requires sex-designated school facilities and limits early-grade instruction on sexual orientation or gender identity. The former public-school-funding label was substantively wrong.
1744754,2014,2023,Regular Session 2023,HB131,"Relating to parole; to amend Section 15-22-28, Code of Alabama 1975, to provide that a prisoner is not eligible for parole of he or she has been duly charged with a new offense that has not been disposed.","Relating to parole; to amend Section 15-22-28, Code of Alabama 1975, to provide that a prisoner is not eligible for parole of he or she has been duly charged with a new offense that has not been disposed.",4,2023-05-26,https://legiscan.com/AL/bill/HB131/2023,https://alison.legislature.state.al.us/bill-search,AL_2023-2023_Regular_Session_JSON_20230607_d17b533ce7196680956ab4bbbb4cfb99.zip,AL/2023-2023_Regular_Session/bill/HB131.json,5,3,criminal_punishment,rehabilitative,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|v3_direction_accepted,criminal_justice,deterministic_high_precision_rule|none,2,2,Enrolled|Introduced,,0,reviewed,map,criminal_punishment,punitive,high,"Makes a prisoner charged with a new unresolved offense ineligible for parole. This restricts parole eligibility and is punitive, the opposite of the prior rehabilitative label."
1685332,2014,2023,Regular Session 2023,SB1,"Relating to correctional incentive time; to amend Section 14-9-41, as last amended by Act 2022-322, 2022 Regular Session, Code of Alabama 1975, to reduce the amount of correctional incentive time a prisoner receives; to require a prisoner to remain in a certain classification for a longer period of time before moving up to a higher classification; to provide for additional circumstances in which a prisoner may be required to forfeit his or her correctional incentive time; and to require the Department of Corrections to provide annual reports to the Legislature, the Governor, and the Attorney General regarding correctional incentive time.","Relating to correctional incentive time; to amend Section 14-9-41, as last amended by Act 2022-322, 2022 Regular Session, Code of Alabama 1975, to reduce the amount of correctional incentive time a prisoner receives; to require a prisoner to remain in a certain classification for a longer period of time before moving up to a higher classification; to provide for additional circumstances in which a prisoner may be required to forfeit his or her correctional incentive time; and to require the Department of Corrections to provide annual reports to the Legislature, the Governor, and the Attorney General regarding correctional incentive time.",4,2023-04-12,https://legiscan.com/AL/bill/SB1/2023,https://alison.legislature.state.al.us/bill-search,AL_2023-2023_Regular_Session_JSON_20230607_d17b533ce7196680956ab4bbbb4cfb99.zip,AL/2023-2023_Regular_Session/bill/SB1.json,5,1,criminal_punishment,punitive,ministral_structured_then_schema_validated|prior_v3_audit,excluded_text_or_model_output_insufficient|v3_direction_accepted,criminal_justice,human_anchor_review|none,3,3,Engrossed|Enrolled|Introduced,,0,reviewed,map,criminal_punishment,punitive,high,"Reduces correctional incentive time, slows progression to favorable classifications, and expands forfeiture. These provisions directly increase time served and punitive control."
