review_batch,path,bills,with_rollcalls,first_year,last_year,minimum_priority,maximum_priority
46,research/cmo_ideology/frontier_legislative_review/batches/batch_046.csv,84,0,2010,2010,5,5
47,research/cmo_ideology/frontier_legislative_review/batches/batch_047.csv,200,0,2010,2010,5,5
48,research/cmo_ideology/frontier_legislative_review/batches/batch_048.csv,200,0,2010,2010,5,5
49,research/cmo_ideology/frontier_legislative_review/batches/batch_049.csv,200,0,2010,2010,5,5
50,research/cmo_ideology/frontier_legislative_review/batches/batch_050.csv,200,0,2010,2010,5,5
51,research/cmo_ideology/frontier_legislative_review/batches/batch_051.csv,200,0,2010,2010,5,5
52,research/cmo_ideology/frontier_legislative_review/batches/batch_052.csv,200,0,2010,2010,5,5
53,research/cmo_ideology/frontier_legislative_review/batches/batch_053.csv,200,0,2010,2010,5,5
54,research/cmo_ideology/frontier_legislative_review/batches/batch_054.csv,200,0,2010,2010,5,5
55,research/cmo_ideology/frontier_legislative_review/batches/batch_055.csv,200,0,2010,2010,5,5
56,research/cmo_ideology/frontier_legislative_review/batches/batch_056.csv,200,0,2010,2010,5,5
57,research/cmo_ideology/frontier_legislative_review/batches/batch_057.csv,200,0,2010,2010,5,5
58,research/cmo_ideology/frontier_legislative_review/batches/batch_058.csv,200,0,2010,2011,5,5
59,research/cmo_ideology/frontier_legislative_review/batches/batch_059.csv,200,0,2011,2011,5,5
60,research/cmo_ideology/frontier_legislative_review/batches/batch_060.csv,200,0,2011,2011,5,5
61,research/cmo_ideology/frontier_legislative_review/batches/batch_061.csv,200,0,2011,2011,5,5
62,research/cmo_ideology/frontier_legislative_review/batches/batch_062.csv,200,0,2011,2011,5,5
63,research/cmo_ideology/frontier_legislative_review/batches/batch_063.csv,200,0,2011,2011,5,5
64,research/cmo_ideology/frontier_legislative_review/batches/batch_064.csv,200,0,2011,2011,5,5
65,research/cmo_ideology/frontier_legislative_review/batches/batch_065.csv,200,0,2011,2011,5,5
66,research/cmo_ideology/frontier_legislative_review/batches/batch_066.csv,200,0,2011,2011,5,5
67,research/cmo_ideology/frontier_legislative_review/batches/batch_067.csv,200,0,2011,2011,5,5
68,research/cmo_ideology/frontier_legislative_review/batches/batch_068.csv,200,0,2011,2012,5,5
69,research/cmo_ideology/frontier_legislative_review/batches/batch_069.csv,200,0,2012,2012,5,5
70,research/cmo_ideology/frontier_legislative_review/batches/batch_070.csv,200,0,2012,2012,5,5
71,research/cmo_ideology/frontier_legislative_review/batches/batch_071.csv,200,0,2012,2012,5,5
72,research/cmo_ideology/frontier_legislative_review/batches/batch_072.csv,200,0,2012,2012,5,5
73,research/cmo_ideology/frontier_legislative_review/batches/batch_073.csv,200,0,2012,2012,5,5
74,research/cmo_ideology/frontier_legislative_review/batches/batch_074.csv,200,0,2012,2012,5,5
75,research/cmo_ideology/frontier_legislative_review/batches/batch_075.csv,200,0,2012,2013,5,5
76,research/cmo_ideology/frontier_legislative_review/batches/batch_076.csv,200,0,2013,2013,5,5
77,research/cmo_ideology/frontier_legislative_review/batches/batch_077.csv,200,0,2013,2013,5,5
78,research/cmo_ideology/frontier_legislative_review/batches/batch_078.csv,200,0,2013,2013,5,5
