left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,relationship
18312,20475,100.0,0,50.765916706558166,1,93.43545556087443,1,12.222004148715499,review,0,unresolved
18313,20483,100.0,0,50.5786249149081,1,93.41048332198775,1,12.89341955979124,review,0,unresolved
18314,20470,100.0,0,50.48375950241879,1,93.39783460032251,1,9.525892651462797,review,0,unresolved
18315,20479,100.0,0,50.62645011600928,1,93.4168600154679,1,6.193890177880888,review,0,unresolved
18316,20469,100.0,0,50.4047093451067,1,93.38729457934757,1,11.918558814254183,review,0,unresolved
18317,20474,100.0,0,51.09809663250366,1,93.47974621766716,1,25.6021001550084,review,0,unresolved
18318,20482,100.0,0,50.68812689526475,1,93.4250835860353,1,4.192520021771244,review,0,unresolved
18319,20482,100.0,0,74.68936953520479,1,96.62524927136064,1,3.181010207897913,review,0,unresolved
18320,20485,100.0,0,50.943396226415096,1,93.45911949685535,1,10.373490066886305,review,0,unresolved
18321,20468,100.0,0,50.67750677506775,1,93.42366757000903,1,93.42366757000903,review,0,unresolved
18322,20476,100.0,0,50.85616438356164,1,93.44748858447488,1,93.44748858447488,review,0,unresolved
18323,20478,100.0,0,50.48286309411096,1,93.3977150792148,1,44.57330642031316,review,0,unresolved
18324,20484,100.0,0,50.88323998276605,1,93.45109866436881,1,31.2795490449519,review,0,unresolved
18325,20467,100.0,0,50.62421972534332,1,93.41656263004577,1,14.203451043338688,review,0,unresolved
18326,20480,100.0,0,50.765462339252906,1,93.43539497856706,1,93.43539497856706,review,0,unresolved
18327,20473,100.0,0,51.00671140939597,1,93.4675615212528,1,9.739400234366684,review,0,unresolved
18328,20471,100.0,0,50.82706766917293,1,93.4436090225564,1,93.4436090225564,review,0,unresolved
18329,20477,100.0,0,51.486486486486484,1,93.53153153153154,1,13.848455598455615,review,0,unresolved
18330,20472,100.0,0,50.68631408962454,1,93.4248418786166,1,93.4248418786166,review,0,unresolved
18333,20508,100.0,0,52.59515570934256,1,93.67935409457901,1,93.67935409457901,review,0,unresolved
18334,20531,100.0,0,55.18672199170125,1,94.02489626556017,1,5.845874362626702,review,0,unresolved
18335,20532,100.0,0,51.31086142322096,1,93.50811485642947,1,11.118853770267847,review,0,unresolved
18336,20493,100.0,0,51.437371663244356,1,93.52498288843259,1,93.52498288843259,review,0,unresolved
18337,20496,100.0,0,52.31388329979879,1,93.64185110663985,1,13.266264252179752,review,0,unresolved
18338,20491,100.0,0,50.950292397660824,1,93.46003898635477,1,11.098850671859068,review,0,unresolved
18339,20514,100.0,0,51.10814864189302,1,93.48108648558573,1,93.48108648558573,review,0,unresolved
18340,20498,100.0,0,50.83986562150056,1,93.44531541620007,1,11.395510051725054,review,0,unresolved
18341,20510,100.0,0,50.65274151436031,1,93.42036553524804,1,12.921758050478672,review,0,unresolved
18342,20509,100.0,0,52.23880597014925,1,93.6318407960199,1,10.430001024625142,review,0,unresolved
18343,20529,100.0,0,50.41518386714117,1,93.3886911822855,1,93.3886911822855,review,0,unresolved
18344,20521,100.0,0,51.257861635220124,1,93.50104821802935,1,12.144739157440128,review,0,unresolved
18345,20517,100.0,0,51.487826871055,1,93.531710249474,1,4.645927261797411,review,0,unresolved
18346,20488,100.0,0,51.06628242074929,1,93.47550432276658,1,18.508255098442845,review,0,unresolved
18347,20518,100.0,0,51.41903171953255,1,93.52253756260434,1,12.815258546379042,review,0,unresolved
18348,20533,100.0,0,51.244416081684754,1,93.49925547755797,1,9.663173703733008,review,0,unresolved
18349,20528,100.0,0,51.16926503340758,1,93.48923533778768,1,12.18804751299183,review,0,unresolved
18350,20503,100.0,0,50.933333333333344,1,93.45777777777778,1,9.495844838921755,review,0,unresolved
18351,20492,100.0,0,51.04895104895104,1,93.47319347319348,1,15.441921995530237,review,0,unresolved
18352,20523,100.0,0,50.67226890756302,1,93.42296918767508,1,93.42296918767508,review,0,unresolved
18353,20489,100.0,0,51.15124153498871,1,93.48683220466516,1,9.060491878324825,review,0,unresolved
18354,20525,100.0,0,51.0314875135722,1,93.47086500180963,1,30.68018820123055,review,0,unresolved
18355,20522,100.0,0,51.08548168249661,1,93.47806422433288,1,36.78114478114478,review,0,unresolved
18356,20499,100.0,0,51.03001765744556,1,93.47066902099274,1,11.407511284338952,review,0,unresolved
18357,20524,100.0,0,51.315789473684205,1,93.50877192982456,1,10.002564102564094,review,0,unresolved
18358,20507,100.0,0,51.05319528739736,1,93.47375937165299,1,10.49597762703796,review,0,unresolved
18359,20516,100.0,0,51.75688509021843,1,93.5675846786958,1,4.004115226337447,review,0,unresolved
18360,20512,100.0,0,50.977614054973074,1,93.46368187399642,1,16.639652403891574,review,0,unresolved
18361,20530,100.0,0,51.259657373194486,1,93.50128764975926,1,6.591971783674836,review,0,unresolved
18362,20497,100.0,0,50.92558983666062,1,93.45674531155476,1,17.276222182862725,review,0,unresolved
18363,20513,100.0,0,50.86160473882606,1,93.44821396517682,1,19.983485909172515,review,0,unresolved
18364,20505,100.0,0,50.991831971995325,1,93.46557759626604,1,6.813340944029392,review,0,unresolved
18365,20511,100.0,0,50.80552359033372,1,93.44073647871117,1,93.44073647871117,review,0,unresolved
18366,20490,100.0,0,50.87463556851313,1,93.44995140913508,1,93.44995140913508,review,0,unresolved
18367,20501,100.0,0,51.05143966353931,1,93.47352528847192,1,14.010284338042354,review,0,unresolved
18368,20504,100.0,0,50.77605321507761,1,93.43680709534368,1,93.43680709534368,review,0,unresolved
18369,20502,100.0,0,50.61898211829436,1,93.41586428243926,1,8.285884984647026,review,0,unresolved
18370,20515,100.0,0,50.935408985388506,1,93.45805453138514,1,8.309056002472616,review,0,unresolved
