left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,relationship,left_year,left_county_key,left_precinct_key,left_name_norm,left_precinct_code,right_precinct_key,right_name_norm,right_precinct_code
18807,20979,100.0,0,50.78569040454697,1,93.4380920539396,1,16.355811880084687,review,0,unresolved,2012,CULLMAN,CULLMAN CIVIC CENTER,CULLMAN CIVIC CENTER,,CULLMAN CIVIC CENTER,CULLMAN CIVIC CENTER,
18832,20986,100.0,0,50.73529411764706,1,93.43137254901961,1,93.43137254901961,review,0,unresolved,2012,CULLMAN,FRIENDSHIP METHODIST CH.,FRIENDSHIP METHODIST CHURCH,,FRIENDSHIP METHODIST CH.,FRIENDSHIP METHODIST CHURCH,
18823,21004,100.0,0,50.71982281284606,1,93.42930970837948,1,12.93580657069029,review,0,unresolved,2012,CULLMAN,TRIMBLE FIRE STATION,TRIMBLE FIRE STATION,,TRIMBLE FIRE STATION,TRIMBLE FIRE STATION,
18825,20977,100.0,0,50.69949636261891,1,93.42659951501585,1,19.453252917158892,review,0,unresolved,2012,CULLMAN,CRANE HILL FIRE DEPT.,CRANE HILL FIRE DEPARTMENT,,CRANE HILL FIRE DEPT.,CRANE HILL FIRE DEPARTMENT,
18852,20963,100.0,0,50.69284064665127,1,93.42571208622017,1,4.53933467642868,review,0,unresolved,2012,CULLMAN,BALDWIN COMMUNITY CENTER,BALDWIN COMMUNITY CENTER,,BALDWIN COMMUNITY CENTER,BALDWIN COMMUNITY CENTER,
18835,20988,100.0,0,50.6875,1,93.42500000000001,1,19.57612612612614,review,0,unresolved,2012,CULLMAN,GOLD RIDGE COMMUNITY CTR,GOLD RIDGE COMMUNITY CENTER,,GOLD RIDGE COMMUNITY CTR,GOLD RIDGE COMMUNITY CENTER,
18853,20981,100.0,0,50.67985166872682,1,93.42398022249691,1,11.33977099476435,review,0,unresolved,2012,CULLMAN,CULLMAN CO. HEALTH DEPT.,CULLMAN COUNTY HEALTH DEPARTMENT,,CULLMAN CO. HEALTH DEPT.,CULLMAN COUNTY HEALTH DEPARTMENT,
18840,20992,100.0,0,50.66176470588235,1,93.42156862745098,1,21.546725073007934,review,0,unresolved,2012,CULLMAN,HOLLY POND FIRE DEPT.,HOLLY POND FIRE DEPARTMENT,,HOLLY POND FIRE DEPT.,HOLLY POND FIRE DEPARTMENT,
18809,20978,100.0,0,50.65616797900263,1,93.42082239720035,1,12.63165854268216,review,0,unresolved,2012,CULLMAN,CULLMAN CITY HALL,CULLMAN CITY HALL,,CULLMAN CITY HALL,CULLMAN CITY HALL,
18833,21006,100.0,0,50.654349499615094,1,93.42057993328201,1,18.39296671910388,review,0,unresolved,2012,CULLMAN,VINEMONT FIRE DEPT.,VINEMONT FIRE DEPARTMENT,,VINEMONT FIRE DEPT.,VINEMONT FIRE DEPARTMENT,
18844,20972,100.0,0,50.631578947368425,1,93.41754385964913,1,13.304068682344152,review,0,unresolved,2012,CULLMAN,BRUSHY POND COMMUNITY CTR,BRUSHY POND COMMUNITY CENTER,,BRUSHY POND COMMUNITY CTR,BRUSHY POND COMMUNITY CENTER,
18826,20968,100.0,0,50.63131313131313,1,93.41750841750842,1,15.398125398125401,review,0,unresolved,2012,CULLMAN,BETHSADIA FIRE DEPT.,BETHSADIA FIRE DEPARTMENT,,BETHSADIA FIRE DEPT.,BETHSADIA FIRE DEPARTMENT,
18817,20997,100.0,0,50.625,1,93.41666666666667,1,12.275962596259617,review,0,unresolved,2012,CULLMAN,MOODY TOWN UNION HILL CH,MOODY TOWN UNION HILL CHURCH,,MOODY TOWN UNION HILL CH,MOODY TOWN UNION HILL CHURCH,
18851,21001,100.0,0,50.62056737588653,1,93.4160756501182,1,16.807482783430984,review,0,unresolved,2012,CULLMAN,SIMCOE COMMUNITY CENTER,SIMCOE COMMUNITY CENTER,,SIMCOE COMMUNITY CENTER,SIMCOE COMMUNITY CENTER,
18824,21005,100.0,0,50.61808718282368,1,93.41574495770983,1,16.085447842116693,review,0,unresolved,2012,CULLMAN,VALLEY GROVE COMM. CTR,VALLEY GROVE COMMUNITY CENTER,,VALLEY GROVE COMM. CTR,VALLEY GROVE COMMUNITY CENTER,
18816,21003,100.0,0,50.617283950617285,1,93.41563786008231,1,18.576131687242807,review,0,unresolved,2012,CULLMAN,STOUTS MOUNTAIN CHURCH,STOUTS MOUNTAIN CHURCH,,STOUTS MOUNTAIN CHURCH,STOUTS MOUNTAIN CHURCH,
18841,20966,100.0,0,50.5786249149081,1,93.41048332198775,1,11.97910480908034,review,0,unresolved,2012,CULLMAN,BERLIN COMMUNITY CENTER,BERLIN COMMUNITY CENTER,,BERLIN COMMUNITY CENTER,BERLIN COMMUNITY CENTER,
18836,20962,100.0,0,50.53995680345572,1,93.4053275737941,1,26.115807878226875,review,0,unresolved,2012,CULLMAN,BAILEYTON TOWN HALL,BAILEYTON TOWN HALL,,BAILEYTON TOWN HALL,BAILEYTON TOWN HALL,
18847,20985,100.0,0,50.49382716049382,1,93.39917695473251,1,26.884271805681024,review,0,unresolved,2012,CULLMAN,FAIRVIEW TOWN HALL (L-Z),FAIRVIEW TOWN HALL L Z,,FAIRVIEW TOWN HALL (L-Z),FAIRVIEW TOWN HALL L Z,
18850,20973,100.0,0,50.47770700636942,1,93.39702760084926,1,10.920192757930963,review,0,unresolved,2012,CULLMAN,CENTER HILL COMMUNITY CTR,CENTER HILL COMMUNITY CENTER,,CENTER HILL COMMUNITY CTR,CENTER HILL COMMUNITY CENTER,
18810,20976,100.0,0,50.442477876106196,1,93.39233038348083,1,93.39233038348083,review,0,unresolved,2012,CULLMAN,COURT HOUSE CONF ROOM,COURT HOUSE CONF ROOM,,COURT HOUSE CONF ROOM,COURT HOUSE CONF ROOM,
18837,20971,100.0,0,50.441361916771754,1,93.3921815889029,1,5.066204287515745,review,0,unresolved,2012,CULLMAN,BROOKLYN COMMUNITY CTR,BROOKLYN COMMUNITY CENTER,,BROOKLYN COMMUNITY CTR,BROOKLYN COMMUNITY CENTER,
18855,20969,100.0,0,50.43290043290043,1,93.39105339105339,1,40.81575634767124,review,0,unresolved,2012,CULLMAN,BOLTE-WHITE GROVE CHURCH,BOLTE WHITE GROVE CHURCH,,BOLTE-WHITE GROVE CHURCH,BOLTE WHITE GROVE CHURCH,
18819,20961,100.0,0,50.38314176245211,1,93.38441890166028,1,15.373563218390814,review,0,unresolved,2012,CULLMAN,ARKADELPHIA FIRE DEPT.,ARKADELPHIA FIRE DEPARTMENT,,ARKADELPHIA FIRE DEPT.,ARKADELPHIA FIRE DEPARTMENT,
18845,21010,100.0,0,50.327653997378775,1,93.37702053298383,1,7.472739187418071,review,0,unresolved,2012,CULLMAN,WHITE CITY COMMUNITY CTR,WHITE CITY COMMUNITY CENTER,,WHITE CITY COMMUNITY CTR,WHITE CITY COMMUNITY CENTER,
18849,20995,100.0,0,50.32757593805837,1,93.37701012507445,1,15.882469724042096,review,0,unresolved,2012,CULLMAN,KELLEY COMMUNITY CENTER,KELLEY COMMUNITY CENTER,,KELLEY COMMUNITY CENTER,KELLEY COMMUNITY CENTER,
