model_run_id,war_outcome_id,state_code,cycle,chamber,district,direct_overperformance,incumbency_balance,dem_incumbent,rep_incumbent,canonical_party,candidate_result_id,candidate_name,incumbent,normalized_candidate_name,surname_only,same_cycle_name_collision,candidate_effect_id,identity_status,raw_gap,fitted_structural_expected_gap,fitted_structural_nonlag_expected_gap,fitted_lag_component,war,war_party,war_magnitude,war_definition,candidate_cycle_war,candidate_cycle_result,score_identification
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-0B11BB069581CB67A433,AL,2018,lower,27,-0.8329961802433274,0,0,0,D,AL-2018-house-27-D-BILL-JONES,Bill Jones,0,BILL JONES,False,False,AL-NAME-BILL-JONES,state_scoped_normalized_full_name,-0.8329961802433274,12.801144776466026,21.92200425957573,-9.120859483109703,-13.634140956709354,R,13.634140956709354,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-13.634140956709354,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-4534A50A3F0C32B00D0C,AL,2018,lower,28,5.7580751277891675,0,0,0,D,AL-2018-house-28-D-KYLE-PIERCE,Kyle Pierce,0,KYLE PIERCE,False,False,AL-NAME-KYLE-PIERCE,state_scoped_normalized_full_name,5.7580751277891675,0.9806347373318354,3.60523408541291,-2.6245993480810745,4.777440390457333,D,4.777440390457333,actual_raw_gap_minus_same_cycle_fitted_structural_gap,4.777440390457333,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-63B16F2F0D91F0512B10,AL,2018,lower,29,8.189223853845661,-1,0,1,D,AL-2018-house-29-D-JARED-MILLICAN,Jared Millican,0,JARED MILLICAN,False,False,AL-NAME-JARED-MILLICAN,state_scoped_normalized_full_name,8.189223853845661,7.341702274643168,16.213253726069397,-8.871551451426228,0.8475215792024926,D,0.8475215792024926,actual_raw_gap_minus_same_cycle_fitted_structural_gap,0.8475215792024926,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-CD34A37642F7D3251CD7,AL,2018,lower,30,2.3712209180790467,0,0,0,D,AL-2018-house-30-D-JARED-VAUGHN,Jared Vaughn,0,JARED VAUGHN,False,False,AL-NAME-JARED-VAUGHN,state_scoped_normalized_full_name,2.3712209180790467,12.611824591254168,21.639250288934498,-9.02742569768033,-10.240603673175121,R,10.240603673175121,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-10.240603673175121,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-EB1E9CDC394519857DB2,AL,2018,lower,32,8.76780183195456,1,1,0,D,AL-2018-house-32-D-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,1,BARBARA BIGSBY BOYD,False,False,AL-NAME-BARBARA-BIGSBY-BOYD,state_scoped_normalized_full_name,8.76780183195456,5.591804889384493,3.5558871198802926,2.0359177695042003,3.175996942570068,D,3.175996942570068,actual_raw_gap_minus_same_cycle_fitted_structural_gap,3.175996942570068,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-F64FC5C1463801ACAFA3,AL,2018,lower,33,-1.0904257275877924,-1,0,1,D,AL-2018-house-33-D-SCOTT-BREWER,Scott Brewer,0,SCOTT BREWER,False,False,AL-NAME-SCOTT-BREWER,state_scoped_normalized_full_name,-1.0904257275877924,-1.430211592895691,3.234576771268798,-4.6647883641644885,0.33978586530789867,D,0.33978586530789867,actual_raw_gap_minus_same_cycle_fitted_structural_gap,0.33978586530789867,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-A2D88A443A08A5EA5804,AL,2018,lower,36,-3.7750421481304386,-1,0,1,D,AL-2018-house-36-D-NICKI-ARNOLD-SWINDLE,Nicki Arnold-Swindle,0,NICKI ARNOLD SWINDLE,False,False,AL-NAME-NICKI-ARNOLD-SWINDLE,state_scoped_normalized_full_name,-3.7750421481304386,-0.5696631475076347,6.005843663003137,-6.575506810510772,-3.205379000622804,R,3.205379000622804,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-3.205379000622804,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-711FC1A2417B12059371,AL,2018,lower,37,-4.086500493421347,-1,0,1,D,AL-2018-house-37-D-CHARLOTTE-A-CLARK-FRIESON,Charlotte A. Clark-Frieson,0,CHARLOTTE A CLARK FRIESON,False,False,AL-NAME-CHARLOTTE-A-CLARK-FRIESON,state_scoped_normalized_full_name,-4.086500493421347,-0.4038295547866174,4.801601687850485,-5.205431242637102,-3.68267093863473,R,3.68267093863473,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-3.68267093863473,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-83E6477F86FF9ACD255B,AL,2018,lower,38,-1.3926164530273368,0,0,0,D,AL-2018-house-38-D-BRIAN-MCGEE,Brian McGee,0,BRIAN MCGEE,False,False,AL-NAME-BRIAN-MCGEE,state_scoped_normalized_full_name,-1.3926164530273368,4.321597152266128,9.470738164627027,-5.149141012360899,-5.714213605293465,R,5.714213605293465,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-5.714213605293465,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-A6E469FF7C193CB30C08,AL,2018,lower,40,-1.156329445946362,-1,0,1,D,AL-2018-house-40-D-PAMELA-JEAN-HOWARD,Pamela Jean Howard,0,PAMELA JEAN HOWARD,False,False,AL-NAME-PAMELA-JEAN-HOWARD,state_scoped_normalized_full_name,-1.156329445946362,1.225233586591524,8.25400235738229,-7.028768770790767,-2.381563032537886,R,2.381563032537886,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-2.381563032537886,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-745E97831C752256E0D7,AL,2018,lower,41,-0.05611104784581755,-1,0,1,D,AL-2018-house-41-D-EMILY-ANNE-MARCUM,Emily Anne Marcum,0,EMILY ANNE MARCUM,False,False,AL-NAME-EMILY-ANNE-MARCUM,state_scoped_normalized_full_name,-0.05611104784581755,2.059727277892226,9.301474984654854,-7.241747706762628,-2.1158383257380438,R,2.1158383257380438,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-2.1158383257380438,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-45C77278A9EFF958B377,AL,2018,lower,43,1.535556861049315,-1,0,1,D,AL-2018-house-43-D-CARIN-MAYO,Carin Mayo,0,CARIN MAYO,False,False,AL-NAME-CARIN-MAYO,state_scoped_normalized_full_name,1.535556861049315,0.8215209707615259,7.342914518161747,-6.521393547400221,0.7140358902877892,D,0.7140358902877892,actual_raw_gap_minus_same_cycle_fitted_structural_gap,0.7140358902877892,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-B8B4955F7DCEEC533930,AL,2018,lower,45,4.292418915850199,-1,0,1,D,AL-2018-house-45-D-JENN-GRAY,Jenn Gray,0,JENN GRAY,False,False,AL-NAME-JENN-GRAY,state_scoped_normalized_full_name,4.292418915850199,0.3590965835996746,3.8904322262325546,-3.53133564263288,3.9333223322505244,D,3.9333223322505244,actual_raw_gap_minus_same_cycle_fitted_structural_gap,3.9333223322505244,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-F5BE3F8F42DB66846F81,AL,2018,lower,46,5.163561654715917,-1,0,1,D,AL-2018-house-46-D-FELICIA-STEWART,Felicia Stewart,0,FELICIA STEWART,False,False,AL-NAME-FELICIA-STEWART,state_scoped_normalized_full_name,5.163561654715917,1.0471095869670246,1.454606655402531,-0.40749706843550637,4.116452067748892,D,4.116452067748892,actual_raw_gap_minus_same_cycle_fitted_structural_gap,4.116452067748892,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-B869A8F443CC63FFCB70,AL,2018,lower,47,7.320309182645959,0,0,0,D,AL-2018-house-47-D-JIM-TOOMEY,Jim Toomey,0,JIM TOOMEY,False,False,AL-NAME-JIM-TOOMEY,state_scoped_normalized_full_name,7.320309182645959,3.555630567758791,3.4976436685174326,0.05798689924135836,3.764678614887168,D,3.764678614887168,actual_raw_gap_minus_same_cycle_fitted_structural_gap,3.764678614887168,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-87099FC87DAE60980D27,AL,2018,lower,48,10.086054719559904,-1,0,1,D,AL-2018-house-48-D-ALLI-SUMMERFORD,Alli Summerford,0,ALLI SUMMERFORD,False,False,AL-NAME-ALLI-SUMMERFORD,state_scoped_normalized_full_name,10.086054719559904,3.401398304104616,5.649843005372831,-2.2484447012682147,6.684656415455288,D,6.684656415455288,actual_raw_gap_minus_same_cycle_fitted_structural_gap,6.684656415455288,overperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-F4AD795E4D6FC318967C,AL,2018,lower,51,-3.0795132660959794,-1,0,1,D,AL-2018-house-51-D-VERONICA-R-JOHNSON,Veronica R. Johnson,0,VERONICA R JOHNSON,False,False,AL-NAME-VERONICA-R-JOHNSON,state_scoped_normalized_full_name,-3.0795132660959794,12.645704552010113,14.444694797461006,-1.7989902454508933,-15.725217818106092,R,15.725217818106092,actual_raw_gap_minus_same_cycle_fitted_structural_gap,-15.725217818106092,underperformed,race_differential_party_orientation
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,WAROUT-46BCD48A7B5449467D90,AL,2018,lower,61,20.44554172506697,0,0,0,D,AL-2018-house-61-D-THOMAS-TOMMY-HYCHE,"Thomas ""Tommy"" Hyche",0,THOMAS TOMMY HYCHE,False,False,AL-NAME-THOMAS-TOMMY-HYCHE,state_scoped_normalized_full_name,20.44554172506697,9.737555478486371,14.817423284211435,-5.079867805725064,10.7079862465806,D,10.7079862465806,actual_raw_gap_minus_same_cycle_fitted_structural_gap,10.7079862465806,overperformed,race_differential_party_orientation
