model_run_id,state_code,cycle,chamber,races,lag_context_rows,finance_complete_rows,raw_gap_mae,war_mae,war_bias
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AL,2018,lower,49,49,49,6.553050423908099,5.58533246072307,-0.7655751989018132
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AL,2018,upper,15,15,15,6.980205276270463,7.50362157754029,2.8342863636161963
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AL,2022,lower,25,25,25,7.854204893130816,6.939026173869138,-0.06420728759356731
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AL,2022,upper,8,8,8,1.9774216621067988,3.2062226999776535,0.1629129128963196
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2018,lower,40,0,0,16.028219742373572,9.459514690265527,1.636184327604295
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2018,upper,7,0,0,10.988138907258124,8.09793514806598,-3.9639246214877994
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2020,lower,38,0,0,6.200915395713615,5.955501514002651,-0.021860476502504007
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2020,upper,8,0,0,8.226441094332422,6.19477089165426,1.149667166180713
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2022,lower,35,35,0,4.902311530898073,2.7700110686907924,0.09405668541429155
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2022,upper,13,13,0,5.023409282973857,2.466811411780412,1.326280777667466
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2024,lower,49,49,27,4.4977419490701225,3.690655418565746,-0.1847426817546906
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,AR,2024,upper,5,5,4,3.696331627228962,3.8286377080948015,3.2891437706677307
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2018,lower,77,0,65,4.121430225908724,3.144803918577593,-0.005746001765694191
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2018,upper,17,0,13,3.4722234749305763,3.308518803557522,0.7738441536586504
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2020,lower,95,0,85,4.692675322155691,3.319345520720063,-0.12503263472366474
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2020,upper,18,0,15,3.494337261643749,2.4125556268380794,-0.06760301091498085
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2022,lower,67,0,63,2.3045002385668174,1.7587921662939072,0.18487027677576742
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2022,upper,23,0,22,1.9409789400680872,1.4145284942155487,0.016242317256573345
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2024,lower,86,0,82,3.0900467225055777,2.336439973202362,-0.0430095506346328
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,FL,2024,upper,17,0,16,4.084846786262447,2.9263900714032594,1.1214505319597354
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2018,lower,68,68,66,4.106169042279906,3.725545630510172,-0.10531036517785498
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2018,upper,23,23,23,2.7993884121020365,4.365185835837665,-0.27820537413160884
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2020,lower,86,86,83,5.458953621943459,3.487855971959867,-0.21458506790768297
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2020,upper,28,28,27,4.200459180976969,1.9652760850492699,0.5389657971997494
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2022,lower,86,86,80,7.832888500644166,2.678513877114694,-0.6415858770469035
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2022,upper,26,26,24,7.895424656839231,2.2288811035795013,-0.11126581027503414
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2024,lower,89,89,85,5.186484125604256,2.981539510816654,-0.4302797409337095
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,GA,2024,upper,23,23,21,3.826163152622785,2.107288271936358,0.6613109156815152
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2018,lower,85,0,77,13.282376669226093,9.560102460312336,0.7762813417425747
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2018,upper,16,0,16,10.61155621119607,8.124695474540104,-1.1976119718667204
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2020,lower,60,0,51,12.64870733829319,10.966097760905258,0.6535835200147894
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2020,upper,8,0,4,13.072049132671394,11.83035148186222,0.9522779036993609
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2022,lower,46,0,39,5.706071023821444,5.968669368079977,0.4697471182711427
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2022,upper,8,0,6,4.236058713500682,4.067073434567465,-0.6596381035955395
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2024,lower,42,0,36,6.849743904226464,6.961904714445152,0.9284199022085913
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,KY,2024,upper,1,0,1,2.7762195940937318,7.576511101900074,-7.576511101900074
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,LA,2019,lower,13,0,12,23.8689139543122,14.143391462578812,-1.173038695856172
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,LA,2019,upper,4,0,4,13.271024171734332,3.7153952646836075,-2.1144061869910935
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,LA,2023,lower,12,0,12,8.138804670935878,5.7681326283566134,0.9503505075134536
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,LA,2023,upper,5,0,3,16.632382395920324,9.601602466702465,8.06579846742367
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2018,lower,117,0,0,8.13732421906302,5.477828784930716,-0.37103314292930367
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2018,upper,16,0,0,6.514133998009168,6.261034915857402,-0.43004667260039087
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2020,lower,80,0,0,5.511467362294553,4.405750026364525,-0.20547256513375975
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2020,upper,10,0,0,4.159135768071403,3.0127572981023527,0.43647055860176887
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2022,lower,69,0,0,6.54662735168842,3.7108155681607053,-0.20952113885083884
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2022,upper,11,0,0,8.222283756827492,2.8830293443226735,-1.8533646770462917
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2024,lower,103,0,0,4.076060507107553,3.717354884433517,0.6174977121369718
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MO,2024,upper,6,0,0,4.316837788592444,4.068427002631152,3.0084859088321885
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MS,2019,lower,24,0,0,17.635180793023764,13.468039304263321,0.5434329579281797
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MS,2019,upper,16,0,0,12.76650012512604,6.223170509352499,-0.1900332228017908
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MS,2023,lower,9,0,0,13.817950132478915,8.671081646807744,-2.7436790633914003
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,MS,2023,upper,7,0,0,8.261140668498319,7.09760073017893,-5.264607293349719
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2018,lower,117,0,117,8.937462455117616,8.200380311690605,0.11625868868065078
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2018,upper,50,0,50,9.098268802589223,7.829390352081168,-0.036375215164912794
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2020,lower,107,0,107,4.316455572778142,4.59657679816587,0.09498508719844694
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2020,upper,49,0,49,3.226163469937751,3.479298220969698,-0.15072303021479386
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2022,lower,81,0,81,3.4715166330748266,2.92328289635443,-0.361683141340313
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2022,upper,35,0,35,2.776877235981221,2.3926860578409808,0.6587290993467679
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,NC,2024,lower,68,0,68,20.185022867541466,5.269478589937693,-1.1152143754657882
