canonical_candidate_id,cmo,person_id,canonical_name,year,chamber,primitive_axis,weighted_valence,absolute_evidence_weight,evidence_records,issue_valence
AL-1994-house-42-D-SMITH,61.34631182439114,ALPERSON-SMITH,Smith,1994,house,criminal_punishment,0.9,0.9,1,1.0
AL-1994-house-53-D-NEWTON,30.619312948289007,ALPERSON-NEWTON,Newton,1994,house,anti_discrimination,0.75,0.75,1,1.0
AL-1994-house-53-D-NEWTON,30.619312948289007,ALPERSON-NEWTON,Newton,1994,house,government_ethics_transparency,0.75,0.75,1,1.0
AL-1994-house-96-D-BOX,31.147270425462423,ALPERSON-BOX,Box,1994,house,federalism,-0.75,0.75,1,-1.0
AL-1994-senate-12-D-GHEE,22.541786284071208,ALPERSON-GHEE,Ghee,1994,senate,criminal_punishment,0.75,0.75,1,1.0
AL-1994-senate-18-D-SMITHERMAN,32.010592009600416,ALPERSON-SMITHERMAN,Smitherman,1994,senate,education_public_funding,0.75,0.75,1,1.0
AL-1994-senate-18-D-SMITHERMAN,32.010592009600416,ALPERSON-SMITHERMAN,Smitherman,1994,senate,welfare_generosity,0.75,0.75,1,1.0
AL-1994-senate-23-D-SANDERS,52.78255101022032,ALPERSON-SANDERS,Sanders,1994,senate,tax_burden,-0.85,0.85,1,-1.0
AL-1994-senate-23-D-SANDERS,52.78255101022032,ALPERSON-SANDERS,Sanders,1994,senate,tax_distribution,0.85,0.85,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,abortion_access,-1.0,5.0,5,-0.2
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,anti_discrimination,-4.0,4.0,4,-1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,childcare_support,1.0,1.0,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,civil_social_liberty,2.9999999999999996,7.0,7,0.4285714285714285
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,criminal_punishment,6.0,11.0,11,0.5454545454545454
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,deficit_discipline,1.0,1.0,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,education_accountability,1.0,1.0,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,education_market_choice,1.0,1.0,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,education_public_funding,2.0,3.0,3,0.6666666666666666
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,environmental_protection,-1.0,4.0,4,-0.25
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,gun_access,1.2349999999999999,1.3,2,0.9499999999999998
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,healthcare_access,2.5,3.0,3,0.8333333333333334
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,labor_capital_alignment,1.0,1.0,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,land_use_property_rights,-1.0,1.0,1,-1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,market_governance,0.4929999999999995,5.65,6,0.0872566371681415
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,marriage_equality,-1.0,1.0,1,-1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,public_employee_compensation,1.0,1.0,1,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,religion_state,2.0,2.0,2,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,tax_burden,2.5,10.0,10,0.25
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,voting_access,-1.0,1.0,1,-1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,welfare_conditionality,3.0,3.0,3,1.0
AL-1998-house-1-D-STARKEY,19.16285783731873,ALPERSON-STARKEY,Starkey,1998,house,welfare_generosity,3.0,4.0,4,0.75
AL-1998-house-2-D-HAMILTON,28.8169480974968,ALPERSON-HAMILTON,Hamilton,1998,house,civil_social_liberty,-1.0,1.0,1,-1.0
